Waiting for operation to complete...
Transcript: Juliusz Słowacki Testament mój żyłem z wami cierpiałem i płakałem z wami nigdy mi kto szlachetny nie był obojętny liczba zarzucam i dalej idą w cień z duchami A jak gdyby to szczęście było idę smętny nie zostawiłem tutaj żadnego dziedzica ani dla mojej lutni ani dla imienia imię moje tak przeszło jako Błyskawica i będzie jak dźwięk pusty trwać przez pokolenia Jakby coś się nie znali w podaniach przekażcie że dla ojczyzny starał moje lata młode Buki okręt walczył siedziałem na maszcie a gdy tonął z okrętem poszedłem pod wodę Ale kiedyś o smutnych losach zadumany mojej biednej ojczyzny Poznań kto szlachetny że płaszcz na moim duchu
Confidence: 0.8817372918128967
Word: Juliusz, start_time: 0.0, end_time: 1.1
Word: Słowacki, start_time: 1.1, end_time: 1.2
Word: Testament, start_time: 1.2, end_time: 1.9
Word: mój, start_time: 1.9, end_time: 3.4
Word: żyłem, start_time: 3.4, end_time: 5.6
Word: z, start_time: 5.6, end_time: 5.6
Word: wami, start_time: 5.6, end_time: 5.7
Word: cierpiałem, start_time: 5.7, end_time: 7.0
Word: i, start_time: 7.0, end_time: 7.3
Word: płakałem, start_time: 7.3, end_time: 7.4
Word: z, start_time: 7.4, end_time: 8.0
Word: wami, start_time: 8.0, end_time: 8.0
Word: nigdy, start_time: 8.0, end_time: 9.9
Word: mi, start_time: 9.9, end_time: 10.1
Word: kto, start_time: 10.1, end_time: 10.3
Word: szlachetny, start_time: 10.3, end_time: 10.8
Word: nie, start_time: 10.8, end_time: 11.0
Word: był, start_time: 11.0, end_time: 11.1
Word: obojętny, start_time: 11.1, end_time: 11.8
Word: liczba, start_time: 11.8, end_time: 13.3
Word: zarzucam, start_time: 13.3, end_time: 13.8
Word: i, start_time: 13.8, end_time: 13.9
Word: dalej, start_time: 13.9, end_time: 14.6
Word: idą, start_time: 14.6, end_time: 14.8
Word: w, start_time: 14.8, end_time: 14.9
Word: cień, start_time: 14.9, end_time: 15.0
Word: z, start_time: 15.0, end_time: 15.2
Word: duchami, start_time: 15.2, end_time: 16.4
Word: A, start_time: 16.4, end_time: 16.5
Word: jak, start_time: 16.5, end_time: 17.8
Word: gdyby, start_time: 17.8, end_time: 18.2
Word: to, start_time: 18.2, end_time: 18.3
Word: szczęście, start_time: 18.3, end_time: 18.8
Word: było, start_time: 18.8, end_time: 19.1
Word: idę, start_time: 19.1, end_time: 19.7
Word: smętny, start_time: 19.7, end_time: 20.3
Word: nie, start_time: 20.3, end_time: 21.9
Word: zostawiłem, start_time: 21.9, end_time: 22.6
Word: tutaj, start_time: 22.6, end_time: 22.9
Word: żadnego, start_time: 22.9, end_time: 23.3
Word: dziedzica, start_time: 23.3, end_time: 23.9
Word: ani, start_time: 23.9, end_time: 25.0
Word: dla, start_time: 25.0, end_time: 25.1
Word: mojej, start_time: 25.1, end_time: 25.5
Word: lutni, start_time: 25.5, end_time: 25.8
Word: ani, start_time: 25.8, end_time: 26.5
Word: dla, start_time: 26.5, end_time: 26.6
Word: imienia, start_time: 26.6, end_time: 26.9
Word: imię, start_time: 26.9, end_time: 28.8
Word: moje, start_time: 28.8, end_time: 29.0
Word: tak, start_time: 29.0, end_time: 29.2
Word: przeszło, start_time: 29.2, end_time: 29.7
Word: jako, start_time: 29.7, end_time: 30.4
Word: Błyskawica, start_time: 30.4, end_time: 31.1
Word: i, start_time: 31.1, end_time: 31.2
Word: będzie, start_time: 31.2, end_time: 32.7
Word: jak, start_time: 32.7, end_time: 32.9
Word: dźwięk, start_time: 32.9, end_time: 33.1
Word: pusty, start_time: 33.1, end_time: 33.7
Word: trwać, start_time: 33.7, end_time: 34.2
Word: przez, start_time: 34.2, end_time: 34.5
Word: pokolenia, start_time: 34.5, end_time: 34.8
Word: Jakby, start_time: 34.8, end_time: 37.2
Word: coś, start_time: 37.2, end_time: 37.6
Word: się, start_time: 37.6, end_time: 37.7
Word: nie, start_time: 37.7, end_time: 37.9
Word: znali, start_time: 37.9, end_time: 38.3
Word: w, start_time: 38.3, end_time: 38.5
Word: podaniach, start_time: 38.5, end_time: 39.1
