Waiting for operation to complete...
Transcript: Przybieżeli do Betlejem pasterze grając skocznie dzieciąteczku na lirze Chwała na wysokości chwała na wysokości a pokój na ziemi chwała na wysokości chwała na wysokości a pokój na ziemi chwała na wysokości chwała na wysokości a pokój na ziemi chwała na wysokości chwała na wysokości a pokój na ziemi Anioł Pański sam ogłosił te dziwy których oni nie słyszy
Confidence: 0.9615902900695801
Word: Przybieżeli, start_time: 0.0, end_time: 9.2
Word: do, start_time: 9.2, end_time: 9.4
Word: Betlejem, start_time: 9.4, end_time: 9.7
Word: pasterze, start_time: 9.7, end_time: 10.4
Word: grając, start_time: 10.4, end_time: 12.6
Word: skocznie, start_time: 12.6, end_time: 12.7
Word: dzieciąteczku, start_time: 12.7, end_time: 13.2
Word: na, start_time: 13.2, end_time: 14.1
Word: lirze, start_time: 14.1, end_time: 14.6
Word: Chwała, start_time: 14.6, end_time: 15.6
Word: na, start_time: 15.6, end_time: 16.9
Word: wysokości, start_time: 16.9, end_time: 17.9
Word: chwała, start_time: 17.9, end_time: 18.0
Word: na, start_time: 18.0, end_time: 18.7
Word: wysokości, start_time: 18.7, end_time: 19.0
Word: a, start_time: 19.0, end_time: 19.9
Word: pokój, start_time: 19.9, end_time: 20.4
Word: na, start_time: 20.4, end_time: 21.5
Word: ziemi, start_time: 21.5, end_time: 22.3
Word: chwała, start_time: 22.3, end_time: 23.3
Word: na, start_time: 23.3, end_time: 24.6
Word: wysokości, start_time: 24.6, end_time: 25.5
Word: chwała, start_time: 25.5, end_time: 25.6
Word: na, start_time: 25.6, end_time: 26.4
Word: wysokości, start_time: 26.4, end_time: 26.7
Word: a, start_time: 26.7, end_time: 27.6
Word: pokój, start_time: 27.6, end_time: 28.1
Word: na, start_time: 28.1, end_time: 29.1
Word: ziemi, start_time: 29.1, end_time: 30.0
Word: chwała, start_time: 30.0, end_time: 31.0
Word: na, start_time: 31.0, end_time: 39.9
Word: wysokości, start_time: 39.9, end_time: 40.9
Word: chwała, start_time: 40.9, end_time: 41.0
Word: na, start_time: 41.0, end_time: 41.7
Word: wysokości, start_time: 41.7, end_time: 42.1
Word: a, start_time: 42.1, end_time: 43.0
Word: pokój, start_time: 43.0, end_time: 43.4
Word: na, start_time: 43.4, end_time: 44.6
Word: ziemi, start_time: 44.6, end_time: 45.3
Word: chwała, start_time: 45.3, end_time: 46.4
Word: na, start_time: 46.4, end_time: 47.7
Word: wysokości, start_time: 47.7, end_time: 48.5
Word: chwała, start_time: 48.5, end_time: 48.7
