Waiting for operation to complete...
Transcript: Nazajutrz Rozmowa przy stole człowiek rozsądny uderzając w wieku swej tabakiery Szkoda jednak że teraz już długo nie usłyszymy opery dobrze wykonanej płynie to stay fatalnej przesady człowiek o twarzy mulata tak tak mówiłem to nieraz runy Anny zbyt żywo ją wczoraj przejmowała była niby opętana przez cały Antrakt leżała bez przytomności a w scenie drugiego aktu miała atak nerwowy jegomość bez znaczenia pach co pan mówi człowiek o twarzy mulata ależ tak atak nerwowy i nie można jej było wynieść z teatru ja na łaskę nieba sądzę że te ataki nie są niebezpieczne to usłyszymy znów senior
Confidence: 0.9574217796325684
Word: Nazajutrz, start_time: 0.0, end_time: 1.2
Word: Rozmowa, start_time: 1.2, end_time: 2.4
Word: przy, start_time: 2.4, end_time: 2.7
Word: stole, start_time: 2.7, end_time: 2.7
Word: człowiek, start_time: 2.7, end_time: 5.0
Word: rozsądny, start_time: 5.0, end_time: 5.3
Word: uderzając, start_time: 5.3, end_time: 6.8
Word: w, start_time: 6.8, end_time: 7.0
Word: wieku, start_time: 7.0, end_time: 7.5
Word: swej, start_time: 7.5, end_time: 7.8
Word: tabakiery, start_time: 7.8, end_time: 8.5
Word: Szkoda, start_time: 8.5, end_time: 9.9
Word: jednak, start_time: 9.9, end_time: 10.2
Word: że, start_time: 10.2, end_time: 10.4
Word: teraz, start_time: 10.4, end_time: 11.3
Word: już, start_time: 11.3, end_time: 11.6
Word: długo, start_time: 11.6, end_time: 12.3
Word: nie, start_time: 12.3, end_time: 12.3
Word: usłyszymy, start_time: 12.3, end_time: 13.1
Word: opery, start_time: 13.1, end_time: 13.7
Word: dobrze, start_time: 13.7, end_time: 14.2
Word: wykonanej, start_time: 14.2, end_time: 14.9
Word: płynie, start_time: 14.9, end_time: 15.9
Word: to, start_time: 15.9, end_time: 16.1
Word: stay, start_time: 16.1, end_time: 16.5
Word: fatalnej, start_time: 16.5, end_time: 17.4
Word: przesady, start_time: 17.4, end_time: 18.0
Word: człowiek, start_time: 18.0, end_time: 19.2
Word: o, start_time: 19.2, end_time: 19.3
Word: twarzy, start_time: 19.3, end_time: 19.7
Word: mulata, start_time: 19.7, end_time: 20.1
Word: tak, start_time: 20.1, end_time: 21.3
Word: tak, start_time: 21.3, end_time: 21.6
Word: mówiłem, start_time: 21.6, end_time: 22.7
Word: to, start_time: 22.7, end_time: 22.7
Word: nieraz, start_time: 22.7, end_time: 23.1
Word: runy, start_time: 23.1, end_time: 24.6
Word: Anny, start_time: 24.6, end_time: 25.1
Word: zbyt, start_time: 25.1, end_time: 25.5
Word: żywo, start_time: 25.5, end_time: 26.2
Word: ją, start_time: 26.2, end_time: 26.4
Word: wczoraj, start_time: 26.4, end_time: 26.7
Word: przejmowała, start_time: 26.7, end_time: 27.8
