Waiting for operation to complete...
Transcript: Pieśń o domu malarskim przeznaczona na uroczyste przedstawienie na rzecz budowy domu uczniów szkoły Sztuk Pięknych i lekkomyślnie odrzucona przez komitet tejże uroczystości nie masz nic w świecie ponad życie domowe uczciwe a szczęśliwe tanie i zdrowe Któż nie wzdycham za sielskim domkiem swym rodzicielskim choć zwykle miał w zysku sińce na pysku każdy stroi swój domek w glorie prześliczną miłością go otacza choć platoniczna nawet przy szklankę wódki społeczeństwa wyrzutki śnią o własnym domeczku w ciepłym syneczku wszystkim młodość się święci jajka i czysta czemuż to się musi biedny artysta gdy nasz Kraków niepomny swojej rzeczy bezdomnej to love sztuki plastyczne domy publiczne
Confidence: 0.8923220038414001
Word: Pieśń, start_time: 0.0, end_time: 0.6000000000000001
Word: o, start_time: 0.6000000000000001, end_time: 0.8
Word: domu, start_time: 0.8, end_time: 1.4
Word: malarskim, start_time: 1.4, end_time: 2.2
Word: przeznaczona, start_time: 2.2, end_time: 3.5
Word: na, start_time: 3.5, end_time: 3.6
Word: uroczyste, start_time: 3.6, end_time: 4.5
Word: przedstawienie, start_time: 4.5, end_time: 5.3
Word: na, start_time: 5.3, end_time: 5.7
Word: rzecz, start_time: 5.7, end_time: 6.0
Word: budowy, start_time: 6.0, end_time: 6.2
Word: domu, start_time: 6.2, end_time: 6.9
Word: uczniów, start_time: 6.9, end_time: 7.6
Word: szkoły, start_time: 7.6, end_time: 8.0
Word: Sztuk, start_time: 8.0, end_time: 8.3
Word: Pięknych, start_time: 8.3, end_time: 8.8
Word: i, start_time: 8.8, end_time: 9.0
Word: lekkomyślnie, start_time: 9.0, end_time: 10.3
Word: odrzucona, start_time: 10.3, end_time: 11.3
Word: przez, start_time: 11.3, end_time: 11.5
Word: komitet, start_time: 11.5, end_time: 12.3
Word: tejże, start_time: 12.3, end_time: 12.7
Word: uroczystości, start_time: 12.7, end_time: 13.7
Word: nie, start_time: 13.7, end_time: 14.4
Word: masz, start_time: 14.4, end_time: 14.6
