Waiting for operation to complete...
Transcript: piosenka sentymentalna której jednak nie trzeba brać zanadto serio do Czy pamiętasz jeszcze te wieśniany dni pierwszego twych zmysłów dziewczęcych rozkwitu może o nich czasem serce twoje śnij kto wie może we śnie omdlewa z zachwytu a gdy cię of ładnie wspomnień tęskni chrzan może czasem marzysz o Cichej sielance w dym z ust wpół dziecięcych pierwszy uścisk grał w jakiejś ogrodowej ustronnej altance może czasem wspomnisz słodkie chwile gdy uczył pierwszych pieszczot twe nieśmiałe rączki kiedy się upijam pierwszym dreszczem twym młodziutkiego ciała gdym rozwijał pączki dziś Ty w pełnej krasie jak dojrzały Kłos innym daje szczęście na twoje piersi białej głos nie ma piersi to nic nie szkodzi proszę nie przez
Confidence: 0.8601217865943909
Word: piosenka, start_time: 0.0, end_time: 0.7000000000000001
Word: sentymentalna, start_time: 0.7000000000000001, end_time: 1.6
Word: której, start_time: 1.6, end_time: 2.3
Word: jednak, start_time: 2.3, end_time: 2.8
Word: nie, start_time: 2.8, end_time: 3.0
Word: trzeba, start_time: 3.0, end_time: 3.3
Word: brać, start_time: 3.3, end_time: 3.7
Word: zanadto, start_time: 3.7, end_time: 4.6
Word: serio, start_time: 4.6, end_time: 5.1
Word: do, start_time: 5.1, end_time: 6.1
Word: Czy, start_time: 6.1, end_time: 6.9
Word: pamiętasz, start_time: 6.9, end_time: 7.4
Word: jeszcze, start_time: 7.4, end_time: 7.7
Word: te, start_time: 7.7, end_time: 8.2
Word: wieśniany, start_time: 8.2, end_time: 8.9
Word: dni, start_time: 8.9, end_time: 9.2
Word: pierwszego, start_time: 9.2, end_time: 10.3
Word: twych, start_time: 10.3, end_time: 10.8
Word: zmysłów, start_time: 10.8, end_time: 11.5
Word: dziewczęcych, start_time: 11.5, end_time: 12.4
Word: rozkwitu, start_time: 12.4, end_time: 13.0
Word: może, start_time: 13.0, end_time: 14.0
Word: o, start_time: 14.0, end_time: 14.1
Word: nich, start_time: 14.1, end_time: 14.4
Word: czasem, start_time: 14.4, end_time: 14.9
Word: serce, start_time: 14.9, end_time: 15.5
Word: twoje, start_time: 15.5, end_time: 15.9
Word: śnij, start_time: 15.9, end_time: 16.3
Word: kto, start_time: 16.3, end_time: 17.0
Word: wie, start_time: 17.0, end_time: 17.2
Word: może, start_time: 17.2, end_time: 18.1
Word: we, start_time: 18.1, end_time: 18.3
Word: śnie, start_time: 18.3, end_time: 18.5
Word: omdlewa, start_time: 18.5, end_time: 19.3
Word: z, start_time: 19.3, end_time: 19.4
Word: zachwytu, start_time: 19.4, end_time: 20.1
Word: a, start_time: 20.1, end_time: 20.2
Word: gdy, start_time: 20.2, end_time: 21.0
Word: cię, start_time: 21.0, end_time: 21.2
Word: of, start_time: 21.2, end_time: 21.3
Word: ładnie, start_time: 21.3, end_time: 21.9
Word: wspomnień, start_time: 21.9, end_time: 22.7
Word: tęskni, start_time: 22.7, end_time: 23.3
Word: chrzan, start_time: 23.3, end_time: 23.7
Word: może, start_time: 23.7, end_time: 24.5
Word: czasem, start_time: 24.5, end_time: 24.8
Word: marzysz, start_time: 24.8, end_time: 25.4
Word: o, start_time: 25.4, end_time: 25.7
Word: Cichej, start_time: 25.7, end_time: 26.2
Word: sielance, start_time: 26.2, end_time: 26.8
Word: w, start_time: 26.8, end_time: 27.0
Word: dym, start_time: 27.0, end_time: 27.9
Word: z, start_time: 27.9, end_time: 27.9
Word: ust, start_time: 27.9, end_time: 28.1
Word: wpół, start_time: 28.1, end_time: 29.0
Word: dziecięcych, start_time: 29.0, end_time: 30.0
Word: pierwszy, start_time: 30.0, end_time: 30.8
Word: uścisk, start_time: 30.8, end_time: 31.4
Word: grał, start_time: 31.4, end_time: 31.7
Word: w, start_time: 31.7, end_time: 31.9
Word: jakiejś, start_time: 31.9, end_time: 32.7
Word: ogrodowej, start_time: 32.7, end_time: 33.6
Word: ustronnej, start_time: 33.6, end_time: 34.6
Word: altance, start_time: 34.6, end_time: 35.3
Word: może, start_time: 35.3, end_time: 36.1
Word: czasem, start_time: 36.1, end_time: 36.4
Word: wspomnisz, start_time: 36.4, end_time: 37.2
Word: słodkie, start_time: 37.2, end_time: 37.7
Word: chwile, start_time: 37.7, end_time: 37.9
Word: gdy, start_time: 37.9, end_time: 38.6
Word: uczył, start_time: 38.6, end_time: 39.2
Word: pierwszych, start_time: 39.2, end_time: 39.9
Word: pieszczot, start_time: 39.9, end_time: 40.5
Word: twe, start_time: 40.5, end_time: 40.8
Word: nieśmiałe, start_time: 40.8, end_time: 41.3
Word: rączki, start_time: 41.3, end_time: 41.8
Word: kiedy, start_time: 41.8, end_time: 42.6
Word: się, start_time: 42.6, end_time: 42.9
Word: upijam, start_time: 42.9, end_time: 43.5
Word: pierwszym, start_time: 43.5, end_time: 44.3
Word: dreszczem, start_time: 44.3, end_time: 44.9
Word: twym, start_time: 44.9, end_time: 45.2
Word: młodziutkiego, start_time: 45.2, end_time: 46.3
Word: ciała, start_time: 46.3, end_time: 46.9
Word: gdym, start_time: 46.9, end_time: 47.3
Word: rozwijał, start_time: 47.3, end_time: 47.9
Word: pączki, start_time: 47.9, end_time: 48.5
Word: dziś, start_time: 48.5, end_time: 49.5
Word: Ty, start_time: 49.5, end_time: 49.8
Word: w, start_time: 49.8, end_time: 49.8
Word: pełnej, start_time: 49.8, end_time: 50.3
Word: krasie, start_time: 50.3, end_time: 50.5
Word: jak, start_time: 50.5, end_time: 51.4
Word: dojrzały, start_time: 51.4, end_time: 51.9
Word: Kłos, start_time: 51.9, end_time: 52.2
Word: innym, start_time: 52.2, end_time: 53.4
Word: daje, start_time: 53.4, end_time: 53.7
Word: szczęście, start_time: 53.7, end_time: 54.5
Word: na, start_time: 54.5, end_time: 54.7
Word: twoje, start_time: 54.7, end_time: 55.0
Word: piersi, start_time: 55.0, end_time: 55.4
Word: białej, start_time: 55.4, end_time: 56.1
Word: głos, start_time: 56.1, end_time: 56.8
Word: nie, start_time: 56.8, end_time: 57.0
Word: ma, start_time: 57.0, end_time: 57.1
Word: piersi, start_time: 57.1, end_time: 57.6
Word: to, start_time: 57.6, end_time: 58.2
Word: nic, start_time: 58.2, end_time: 58.3
Word: nie, start_time: 58.3, end_time: 58.5
Word: szkodzi, start_time: 58.5, end_time: 58.5
Word: proszę, start_time: 58.5, end_time: 59.3
Word: nie, start_time: 59.3, end_time: 59.5
Word: przez, start_time: 59.5, end_time: 59.8
Transcript: mnie inne ramiona rzucił dobry los dziś u moich kolan igras synek mały gdy to dziecko dojdzie już chłopięcych lat kiedy przyjdzie czas wiosenny chroń wówczas twej piękności na wpół zwiędły kwiat dyszeć będzie czarem ostatnich upojeni Ocal biedne dzieci od miłosnych mąż Niech jest twoja dobroć do siebie przygarnie Niechaj pierwszą słodyczy weźmiesz twoich rąk niech nie zna co pragnie młodzieńczych męczarnie Halina nie spłynie dawna tkliwość 2 on odda ci w zamian pieszczot syf pierwiosnki chcieli być tym dla niego czym dla ciebie Ja niech się odezwie Eko dawnej cudnej piosenki
Confidence: 0.8245777487754822
Word: mnie, start_time: 59.9, end_time: 61.1
Word: inne, start_time: 61.1, end_time: 61.8
Word: ramiona, start_time: 61.8, end_time: 62.3
Word: rzucił, start_time: 62.3, end_time: 62.8
Word: dobry, start_time: 62.8, end_time: 63.3
Word: los, start_time: 63.3, end_time: 63.6
Word: dziś, start_time: 63.6, end_time: 64.7
Word: u, start_time: 64.7, end_time: 65.0
Word: moich, start_time: 65.0, end_time: 65.3
Word: kolan, start_time: 65.3, end_time: 65.9
Word: igras, start_time: 65.9, end_time: 66.6
Word: synek, start_time: 66.6, end_time: 67.1
Word: mały, start_time: 67.1, end_time: 67.5
Word: gdy, start_time: 67.5, end_time: 68.4
Word: to, start_time: 68.4, end_time: 68.5
Word: dziecko, start_time: 68.5, end_time: 68.9
Word: dojdzie, start_time: 68.9, end_time: 69.4
Word: już, start_time: 69.4, end_time: 69.7
Word: chłopięcych, start_time: 69.7, end_time: 70.5
Word: lat, start_time: 70.5, end_time: 70.8
Word: kiedy, start_time: 70.8, end_time: 71.8
Word: przyjdzie, start_time: 71.8, end_time: 72.6
Word: czas, start_time: 72.6, end_time: 72.7
Word: wiosenny, start_time: 72.7, end_time: 73.8
Word: chroń, start_time: 73.8, end_time: 74.2
Word: wówczas, start_time: 74.2, end_time: 75.3
Word: twej, start_time: 75.3, end_time: 75.8
Word: piękności, start_time: 75.8, end_time: 76.6
Word: na, start_time: 76.6, end_time: 76.8
Word: wpół, start_time: 76.8, end_time: 77.2
