Waiting for operation to complete...
Transcript: opowieści dziadkowa o zaginionej Hrabi nie straszna okropność w Warszawie się stała Jak opisuje nasza praca cała zjadły hrabiny jakieś ludożercy srogie morderce coś popatrzymy sobie te bandyty do nieszczęśliwej bezbronny kobity nic jej nie pomógł bilet pierwszej klasy okropny czasy wlazła ci za nią jedna z drugą świnia jak zacznie kurzyć paskudne Virginia za małą chwilę wszystko w kupie spało Tak ci śmierdziało dalej że zbóje do on a nie bąki biedną hrabinę wywlekli za nogi nos jej z krwawily podbije Joka płynie posoka łatwiej wszyscy prawie bez hałasu tak po kamieniach wlekły ją do lasu ledwie że czasem który okien łypie czy jeszcze zipie potem Te zbóje
Confidence: 0.8333773612976074
Word: opowieści, start_time: 0.0, end_time: 0.7000000000000001
Word: dziadkowa, start_time: 0.7000000000000001, end_time: 1.4
Word: o, start_time: 1.4, end_time: 1.6
Word: zaginionej, start_time: 1.6, end_time: 2.3
Word: Hrabi, start_time: 2.3, end_time: 2.7
Word: nie, start_time: 2.7, end_time: 2.9
Word: straszna, start_time: 2.9, end_time: 5.0
Word: okropność, start_time: 5.0, end_time: 5.9
Word: w, start_time: 5.9, end_time: 6.1
Word: Warszawie, start_time: 6.1, end_time: 6.9
Word: się, start_time: 6.9, end_time: 7.0
Word: stała, start_time: 7.0, end_time: 7.5
Word: Jak, start_time: 7.5, end_time: 8.2
Word: opisuje, start_time: 8.2, end_time: 8.8
Word: nasza, start_time: 8.8, end_time: 9.2
Word: praca, start_time: 9.2, end_time: 9.7
Word: cała, start_time: 9.7, end_time: 10.1
Word: zjadły, start_time: 10.1, end_time: 11.3
Word: hrabiny, start_time: 11.3, end_time: 12.0
Word: jakieś, start_time: 12.0, end_time: 12.5
Word: ludożercy, start_time: 12.5, end_time: 13.6
Word: srogie, start_time: 13.6, end_time: 14.6
Word: morderce, start_time: 14.6, end_time: 15.3
Word: coś, start_time: 15.3, end_time: 16.4
Word: popatrzymy, start_time: 16.4, end_time: 17.1
Word: sobie, start_time: 17.1, end_time: 17.2
Word: te, start_time: 17.2, end_time: 17.7
Word: bandyty, start_time: 17.7, end_time: 18.2
