Waiting for operation to complete...
Transcript: Gore gwiazda Jezusowi w obłoku ilustrujący Stoją przy boku przy boku żelatyna dla dzieci
Confidence: 0.6416509747505188
Word: Gore, start_time: 0.0, end_time: 16.4
Word: gwiazda, start_time: 16.4, end_time: 16.6
Word: Jezusowi, start_time: 16.6, end_time: 17.4
Word: w, start_time: 17.4, end_time: 19.1
Word: obłoku, start_time: 19.1, end_time: 19.2
Word: ilustrujący, start_time: 19.2, end_time: 25.5
Word: Stoją, start_time: 25.5, end_time: 26.3
Word: przy, start_time: 26.3, end_time: 26.9
Word: boku, start_time: 26.9, end_time: 27.7
Word: przy, start_time: 27.7, end_time: 28.7
Word: boku, start_time: 28.7, end_time: 29.6
Word: żelatyna, start_time: 29.6, end_time: 33.3
Word: dla, start_time: 33.3, end_time: 33.7
Word: dzieci, start_time: 33.7, end_time: 37.1
Transcript: proszę Jezusa na temat narodził się bóg dzieciną wtedy wtedy żyjący ludzie się nudzić i wściekli 8 stażysta w Rzeszowie Przyjeżdża o sobie o sobie hejże dyna narodził się Bóg dzieciną w Betlejem
Confidence: 0.7874005436897278
Word: proszę, start_time: 59.9, end_time: 67.3
Word: Jezusa, start_time: 67.3, end_time: 68.4
Word: na, start_time: 68.4, end_time: 68.8
Word: temat, start_time: 68.8, end_time: 70.1
Word: narodził, start_time: 70.1, end_time: 71.1
Word: się, start_time: 71.1, end_time: 71.4
Word: bóg, start_time: 71.4, end_time: 71.7
Word: dzieciną, start_time: 71.7, end_time: 72.2
Word: wtedy, start_time: 72.2, end_time: 73.8
Word: wtedy, start_time: 73.8, end_time: 75.2
Word: żyjący, start_time: 75.2, end_time: 79.1
Word: ludzie, start_time: 79.1, end_time: 79.3
Word: się, start_time: 79.3, end_time: 81.7
Word: nudzić, start_time: 81.7, end_time: 82.8
Word: i, start_time: 82.8, end_time: 83.0
Word: wściekli, start_time: 83.0, end_time: 86.4
Word: 8, start_time: 86.4, end_time: 92.5
Word: stażysta, start_time: 92.5, end_time: 93.2
Word: w, start_time: 93.2, end_time: 93.9
Word: Rzeszowie, start_time: 93.9, end_time: 95.4
Word: Przyjeżdża, start_time: 95.4, end_time: 98.7
Word: o, start_time: 98.7, end_time: 100.8
Word: sobie, start_time: 100.8, end_time: 102.3
Word: o, start_time: 102.3, end_time: 102.8
Word: sobie, start_time: 102.8, end_time: 103.4
Word: hejże, start_time: 103.4, end_time: 105.6
Word: dyna, start_time: 105.6, end_time: 106.4
Word: narodził, start_time: 106.4, end_time: 107.5
Word: się, start_time: 107.5, end_time: 109.5
Word: Bóg, start_time: 109.5, end_time: 110.0
Word: dzieciną, start_time: 110.0, end_time: 110.4
Word: w, start_time: 110.4, end_time: 111.6
Word: Betlejem, start_time: 111.6, end_time: 111.7
Transcript: dzieci na Betlejem Betlejem
Confidence: 0.6713979244232178
Word: dzieci, start_time: 119.9, end_time: 121.3
Word: na, start_time: 121.3, end_time: 121.8
Word: Betlejem, start_time: 121.8, end_time: 123.5
Word: Betlejem, start_time: 123.5, end_time: 124.6
Transcript:  narodził się Bóg dzieciną w Betlejem w Betlejem narodził się Bóg dzieciną w Betlejem
Confidence: 0.9645392298698425
Word: narodził, start_time: 143.8, end_time: 160.0
Word: się, start_time: 160.0, end_time: 160.1
Word: Bóg, start_time: 160.1, end_time: 160.6
Word: dzieciną, start_time: 160.6, end_time: 161.1
Word: w, start_time: 161.1, end_time: 162.3
Word: Betlejem, start_time: 162.3, end_time: 162.4
Word: w, start_time: 162.4, end_time: 164.1
Word: Betlejem, start_time: 164.1, end_time: 165.2
Word: narodził, start_time: 165.2, end_time: 170.7
Word: się, start_time: 170.7, end_time: 171.5
Word: Bóg, start_time: 171.5, end_time: 171.8
Word: dzieciną, start_time: 171.8, end_time: 172.3
Word: w, start_time: 172.3, end_time: 173.6
Word: Betlejem, start_time: 173.6, end_time: 173.7
