Waiting for operation to complete...
Transcript: Miłosz Biedrzycki hołd
Confidence: 0.9558084607124329
Word: Miłosz, start_time: 0.0, end_time: 0.5
Word: Biedrzycki, start_time: 0.5, end_time: 0.9
Word: hołd, start_time: 0.9, end_time: 2.3
Transcript:  2 sonety
Confidence: 0.6322650909423828
Word: 2, start_time: 3.4, end_time: 3.9
Word: sonety, start_time: 3.9, end_time: 4.4
Transcript:  Kraków 29 stycznia 1991
Confidence: 0.9678434729576111
Word: Kraków, start_time: 6.5, end_time: 7.2
Word: 29, start_time: 7.2, end_time: 8.4
Word: stycznia, start_time: 8.4, end_time: 9.2
Word: 1991, start_time: 9.2, end_time: 11.3
Transcript:  Hej Co u was nowego słychać bo u mnie nic nowego nie słychać Ale może u was słychać coś nowego ponieważ Jak już wspomniałem u mnie nie słychać nic nowego Ciekaw jestem co takiego nowego słychać u was bo niestety u mnie nic nowego nie słychać To więc idę posłuchać Co nowego słychać u moich znajomych ale jak się dowiaduję u nich niestety też nic nowego nie słychać I on mnie pytają co u mnie nowego słychać No i niestety rozczarowaly się ponieważ u mnie nie słychać nic nowego i Powiedziałem im że u moich znajomych z Głuszyna też nic nowego nie słychać
Confidence: 0.9601079225540161
Word: Hej, start_time: 12.6, end_time: 13.1
Word: Co, start_time: 13.1, end_time: 14.2
Word: u, start_time: 14.2, end_time: 14.2
Word: was, start_time: 14.2, end_time: 14.3
Word: nowego, start_time: 14.3, end_time: 14.6
Word: słychać, start_time: 14.6, end_time: 14.8
Word: bo, start_time: 14.8, end_time: 16.2
Word: u, start_time: 16.2, end_time: 16.3
Word: mnie, start_time: 16.3, end_time: 16.3
Word: nic, start_time: 16.3, end_time: 16.6
Word: nowego, start_time: 16.6, end_time: 16.7
Word: nie, start_time: 16.7, end_time: 17.1
Word: słychać, start_time: 17.1, end_time: 17.2
Word: Ale, start_time: 17.2, end_time: 17.7
Word: może, start_time: 17.7, end_time: 18.3
Word: u, start_time: 18.3, end_time: 18.4
Word: was, start_time: 18.4, end_time: 18.7
Word: słychać, start_time: 18.7, end_time: 19.2
Word: coś, start_time: 19.2, end_time: 20.5
Word: nowego, start_time: 20.5, end_time: 20.7
Word: ponieważ, start_time: 20.7, end_time: 21.3
Word: Jak, start_time: 21.3, end_time: 21.4
