Waiting for operation to complete...
Transcript: spowiedź poety kiedy za oknem śnieg pruszy lub szemrzą jesienne deszcze naówczas w głąb własnej duszy chmurnej wpatrują się w jeszcze myśl ich szybuje Skrzydlata henna trzech by tu gdzieś progiem a Duch Wyniosły się brata z sobą jedynie i z Bogiem rozwiedzie się jakaś otwiera na Niebios błękitny szersza a skutek gebethnera Pokot 50 od wiersza i mnie choć biorę mniej słono Zdarza się w nocy czy za dnia żeliwnymi spłoną gdy duch sam siebie zapładnia że lecę w nieziemskie kraje ze skrzydeł dwojgiem u ramion i krótko mówiąc doznaje natchnienia klasycznych znamion plecach gdy pruje powietrze w sferyczną wsłuchany ciszę i duch mój z wolna na wietrze nad jasienią mąż
Confidence: 0.8335309624671936
Word: spowiedź, start_time: 0.0, end_time: 0.7000000000000001
Word: poety, start_time: 0.7000000000000001, end_time: 1.3
Word: kiedy, start_time: 1.3, end_time: 2.2
Word: za, start_time: 2.2, end_time: 2.3
Word: oknem, start_time: 2.3, end_time: 2.8
Word: śnieg, start_time: 2.8, end_time: 3.0
Word: pruszy, start_time: 3.0, end_time: 3.3
Word: lub, start_time: 3.3, end_time: 4.4
Word: szemrzą, start_time: 4.4, end_time: 5.0
Word: jesienne, start_time: 5.0, end_time: 5.6
Word: deszcze, start_time: 5.6, end_time: 6.1
Word: naówczas, start_time: 6.1, end_time: 7.5
Word: w, start_time: 7.5, end_time: 8.0
Word: głąb, start_time: 8.0, end_time: 8.7
Word: własnej, start_time: 8.7, end_time: 9.2
Word: duszy, start_time: 9.2, end_time: 9.5
Word: chmurnej, start_time: 9.5, end_time: 10.8
Word: wpatrują, start_time: 10.8, end_time: 11.4
Word: się, start_time: 11.4, end_time: 11.6
Word: w, start_time: 11.6, end_time: 11.8
Word: jeszcze, start_time: 11.8, end_time: 12.2
Word: myśl, start_time: 12.2, end_time: 13.6
Word: ich, start_time: 13.6, end_time: 13.9
Word: szybuje, start_time: 13.9, end_time: 14.4
Word: Skrzydlata, start_time: 14.4, end_time: 15.1
Word: henna, start_time: 15.1, end_time: 16.1
Word: trzech, start_time: 16.1, end_time: 16.6
Word: by, start_time: 16.6, end_time: 16.8
Word: tu, start_time: 16.8, end_time: 17.0
Word: gdzieś, start_time: 17.0, end_time: 17.3
Word: progiem, start_time: 17.3, end_time: 17.8
Word: a, start_time: 17.8, end_time: 18.0
Word: Duch, start_time: 18.0, end_time: 18.7
Word: Wyniosły, start_time: 18.7, end_time: 19.6
Word: się, start_time: 19.6, end_time: 19.7
Word: brata, start_time: 19.7, end_time: 20.2
Word: z, start_time: 20.2, end_time: 20.3
Word: sobą, start_time: 20.3, end_time: 21.2
Word: jedynie, start_time: 21.2, end_time: 21.6
Word: i, start_time: 21.6, end_time: 21.9
Word: z, start_time: 21.9, end_time: 22.4
Word: Bogiem, start_time: 22.4, end_time: 22.7
Word: rozwiedzie, start_time: 22.7, end_time: 24.0
Word: się, start_time: 24.0, end_time: 24.1
Word: jakaś, start_time: 24.1, end_time: 24.6
Word: otwiera, start_time: 24.6, end_time: 25.1
Word: na, start_time: 25.1, end_time: 25.8
Word: Niebios, start_time: 25.8, end_time: 26.4
Word: błękitny, start_time: 26.4, end_time: 27.2
Word: szersza, start_time: 27.2, end_time: 27.6
Word: a, start_time: 27.6, end_time: 27.8
Word: skutek, start_time: 27.8, end_time: 28.6
Word: gebethnera, start_time: 28.6, end_time: 29.7
Word: Pokot, start_time: 29.7, end_time: 30.8
Word: 50, start_time: 30.8, end_time: 32.0
Word: od, start_time: 32.0, end_time: 32.3
Word: wiersza, start_time: 32.3, end_time: 32.8
Word: i, start_time: 32.8, end_time: 32.9
Word: mnie, start_time: 32.9, end_time: 33.5
Word: choć, start_time: 33.5, end_time: 33.9
Word: biorę, start_time: 33.9, end_time: 34.2
Word: mniej, start_time: 34.2, end_time: 34.5
Word: słono, start_time: 34.5, end_time: 35.0
Word: Zdarza, start_time: 35.0, end_time: 35.7
Word: się, start_time: 35.7, end_time: 35.9
Word: w, start_time: 35.9, end_time: 35.9
Word: nocy, start_time: 35.9, end_time: 36.4
Word: czy, start_time: 36.4, end_time: 36.7
Word: za, start_time: 36.7, end_time: 37.0
Word: dnia, start_time: 37.0, end_time: 37.2
Word: żeliwnymi, start_time: 37.2, end_time: 39.0
Word: spłoną, start_time: 39.0, end_time: 39.5
Word: gdy, start_time: 39.5, end_time: 40.2
Word: duch, start_time: 40.2, end_time: 40.5
Word: sam, start_time: 40.5, end_time: 40.9
Word: siebie, start_time: 40.9, end_time: 41.3
Word: zapładnia, start_time: 41.3, end_time: 42.1
Word: że, start_time: 42.1, end_time: 42.9
Word: lecę, start_time: 42.9, end_time: 43.2
Word: w, start_time: 43.2, end_time: 43.3
Word: nieziemskie, start_time: 43.3, end_time: 43.8
Word: kraje, start_time: 43.8, end_time: 44.3
Word: ze, start_time: 44.3, end_time: 44.9
Word: skrzydeł, start_time: 44.9, end_time: 45.4
Word: dwojgiem, start_time: 45.4, end_time: 46.0
Word: u, start_time: 46.0, end_time: 46.2
Word: ramion, start_time: 46.2, end_time: 46.6
Word: i, start_time: 46.6, end_time: 46.9
Word: krótko, start_time: 46.9, end_time: 47.7
Word: mówiąc, start_time: 47.7, end_time: 47.8
Word: doznaje, start_time: 47.8, end_time: 48.6
Word: natchnienia, start_time: 48.6, end_time: 49.6
Word: klasycznych, start_time: 49.6, end_time: 50.4
Word: znamion, start_time: 50.4, end_time: 51.0
Word: plecach, start_time: 51.0, end_time: 52.2
Word: gdy, start_time: 52.2, end_time: 52.8
Word: pruje, start_time: 52.8, end_time: 53.3
Word: powietrze, start_time: 53.3, end_time: 53.4
Word: w, start_time: 53.4, end_time: 54.0
Word: sferyczną, start_time: 54.0, end_time: 54.9
Word: wsłuchany, start_time: 54.9, end_time: 55.6
Word: ciszę, start_time: 55.6, end_time: 56.1
Word: i, start_time: 56.1, end_time: 56.2
Word: duch, start_time: 56.2, end_time: 56.9
Word: mój, start_time: 56.9, end_time: 57.2
Word: z, start_time: 57.2, end_time: 57.3
Word: wolna, start_time: 57.3, end_time: 57.8
Word: na, start_time: 57.8, end_time: 57.9
Word: wietrze, start_time: 57.9, end_time: 58.3
Word: nad, start_time: 58.3, end_time: 58.9
Word: jasienią, start_time: 58.9, end_time: 59.4
Word: mąż, start_time: 59.4, end_time: 59.9
Transcript: kołysze gdy spojrzę z kresów wieczności na moją rękę przyziemną gorzki żal w piersi my gości i w oczach od łez mi ciemno im bliżej mi już do granic przelotne ziemskiej pielgrzymki tym bardziej w sercu mam za nic te moje mizerne rynki młodości rozmach bezczelny w chłodną rozwagę się zmienia i w duszy przedtem tak dzielnej lęgną się hydry zwątpienia myślisz pytajnik się Platon i w głowie zamęt mi czynią Czy jestem Bożym poetą czy tylko zwyczajną świnią Czy jestem tańczącym Faunem na gaju Świętego zrębie czy tylko cyrkowym klaunem co sam się pierze po gębie czym owoc duszy mej rodził w żywota pobożnych mękach czym tylko figlarnie chodził po jasnym świecie na rękach czy jak mi radził
Confidence: 0.8651735782623291
Word: kołysze, start_time: 59.9, end_time: 60.6
Word: gdy, start_time: 60.6, end_time: 61.4
Word: spojrzę, start_time: 61.4, end_time: 61.8
Word: z, start_time: 61.8, end_time: 61.8
Word: kresów, start_time: 61.8, end_time: 62.3
Word: wieczności, start_time: 62.3, end_time: 63.1
Word: na, start_time: 63.1, end_time: 63.5
Word: moją, start_time: 63.5, end_time: 63.7
Word: rękę, start_time: 63.7, end_time: 64.0
Word: przyziemną, start_time: 64.0, end_time: 64.9
Word: gorzki, start_time: 64.9, end_time: 65.9
Word: żal, start_time: 65.9, end_time: 66.2
Word: w, start_time: 66.2, end_time: 66.4
Word: piersi, start_time: 66.4, end_time: 67.0
Word: my, start_time: 67.0, end_time: 67.2
Word: gości, start_time: 67.2, end_time: 67.8
