Waiting for operation to complete...
Transcript: Cześć doniosłość społeczna satyry Moliera Molier odkrył jedną tajemnice odkrył w teatrze nową potęgę jedną z największych Jakie istnieją mianowicie zabijać śmiechem śmiechem brzmiących ze sceny w rynku Moliera komedia staje się satyrą Jedną z najważniejszych najcenniejszych Jakie istnieją a równocześnie piętnujący to co go przyjmuje wstrętem Molier głosi swoją twórczością własny ideał życia komedia staje się u niego niejednokrotnie trybunał mównicę i posiada uszyte potęgę Molier jest nie tylko twórca komedii on jest i twórcą życia przyszedł spojrzał dokoła siebie i powiedział to a to jest głupie złej śmieszne Nie chcę aby to istniało i to co on tak na piętnował znikało strawione własną śmieszności jeżeli problem świętoszka jest dziś poniekąd przebrzmiały to właśnie jest największą zdobyczą Moliera nie zmieniło oczywiście Molier
Confidence: 0.9773345589637756
Word: Cześć, start_time: 0.0, end_time: 0.8
Word: doniosłość, start_time: 0.8, end_time: 1.9
Word: społeczna, start_time: 1.9, end_time: 2.6
Word: satyry, start_time: 2.6, end_time: 3.0
Word: Moliera, start_time: 3.0, end_time: 3.5
Word: Molier, start_time: 3.5, end_time: 4.4
Word: odkrył, start_time: 4.4, end_time: 4.8
Word: jedną, start_time: 4.8, end_time: 5.1
Word: tajemnice, start_time: 5.1, end_time: 5.3
Word: odkrył, start_time: 5.3, end_time: 6.7
Word: w, start_time: 6.7, end_time: 6.8
Word: teatrze, start_time: 6.8, end_time: 7.3
Word: nową, start_time: 7.3, end_time: 7.6
Word: potęgę, start_time: 7.6, end_time: 7.9
Word: jedną, start_time: 7.9, end_time: 9.0
Word: z, start_time: 9.0, end_time: 9.2
Word: największych, start_time: 9.2, end_time: 9.5
Word: Jakie, start_time: 9.5, end_time: 10.2
Word: istnieją, start_time: 10.2, end_time: 10.7
Word: mianowicie, start_time: 10.7, end_time: 11.6
Word: zabijać, start_time: 11.6, end_time: 12.3
Word: śmiechem, start_time: 12.3, end_time: 12.8
Word: śmiechem, start_time: 12.8, end_time: 13.5
Word: brzmiących, start_time: 13.5, end_time: 14.2
Word: ze, start_time: 14.2, end_time: 14.2
Word: sceny, start_time: 14.2, end_time: 14.7
Word: w, start_time: 14.7, end_time: 14.8
Word: rynku, start_time: 14.8, end_time: 15.3
Word: Moliera, start_time: 15.3, end_time: 15.8
Word: komedia, start_time: 15.8, end_time: 16.3
Word: staje, start_time: 16.3, end_time: 16.6
Word: się, start_time: 16.6, end_time: 16.7
Word: satyrą, start_time: 16.7, end_time: 17.3
Word: Jedną, start_time: 17.3, end_time: 17.9
Word: z, start_time: 17.9, end_time: 18.1
Word: najważniejszych, start_time: 18.1, end_time: 18.4
Word: najcenniejszych, start_time: 18.4, end_time: 20.5
Word: Jakie, start_time: 20.5, end_time: 21.0
Word: istnieją, start_time: 21.0, end_time: 21.6
Word: a, start_time: 21.6, end_time: 21.8
Word: równocześnie, start_time: 21.8, end_time: 22.5
Word: piętnujący, start_time: 22.5, end_time: 23.6
Word: to, start_time: 23.6, end_time: 23.7
Word: co, start_time: 23.7, end_time: 24.1
Word: go, start_time: 24.1, end_time: 24.2
Word: przyjmuje, start_time: 24.2, end_time: 24.7
Word: wstrętem, start_time: 24.7, end_time: 25.3
Word: Molier, start_time: 25.3, end_time: 26.0
Word: głosi, start_time: 26.0, end_time: 26.5
Word: swoją, start_time: 26.5, end_time: 26.8
Word: twórczością, start_time: 26.8, end_time: 27.5
Word: własny, start_time: 27.5, end_time: 28.0
Word: ideał, start_time: 28.0, end_time: 28.4
Word: życia, start_time: 28.4, end_time: 28.6
Word: komedia, start_time: 28.6, end_time: 29.5
Word: staje, start_time: 29.5, end_time: 30.0
Word: się, start_time: 30.0, end_time: 30.1
Word: u, start_time: 30.1, end_time: 30.2
Word: niego, start_time: 30.2, end_time: 30.4
Word: niejednokrotnie, start_time: 30.4, end_time: 31.0
Word: trybunał, start_time: 31.0, end_time: 32.0
Word: mównicę, start_time: 32.0, end_time: 32.7
Word: i, start_time: 32.7, end_time: 32.9
Word: posiada, start_time: 32.9, end_time: 34.0
Word: uszyte, start_time: 34.0, end_time: 34.3
Word: potęgę, start_time: 34.3, end_time: 34.8
Word: Molier, start_time: 34.8, end_time: 35.6
Word: jest, start_time: 35.6, end_time: 35.9
Word: nie, start_time: 35.9, end_time: 36.1
Word: tylko, start_time: 36.1, end_time: 36.4
Word: twórca, start_time: 36.4, end_time: 36.8
Word: komedii, start_time: 36.8, end_time: 37.2
Word: on, start_time: 37.2, end_time: 38.1
Word: jest, start_time: 38.1, end_time: 38.5
Word: i, start_time: 38.5, end_time: 38.6
Word: twórcą, start_time: 38.6, end_time: 39.2
Word: życia, start_time: 39.2, end_time: 39.6
Word: przyszedł, start_time: 39.6, end_time: 40.6
Word: spojrzał, start_time: 40.6, end_time: 41.3
Word: dokoła, start_time: 41.3, end_time: 41.7
Word: siebie, start_time: 41.7, end_time: 41.9
Word: i, start_time: 41.9, end_time: 42.1
Word: powiedział, start_time: 42.1, end_time: 42.8
Word: to, start_time: 42.8, end_time: 43.3
Word: a, start_time: 43.3, end_time: 43.4
Word: to, start_time: 43.4, end_time: 43.6
Word: jest, start_time: 43.6, end_time: 43.8
Word: głupie, start_time: 43.8, end_time: 44.2
Word: złej, start_time: 44.2, end_time: 44.6
Word: śmieszne, start_time: 44.6, end_time: 45.2
Word: Nie, start_time: 45.2, end_time: 45.4
Word: chcę, start_time: 45.4, end_time: 45.7
Word: aby, start_time: 45.7, end_time: 46.0
Word: to, start_time: 46.0, end_time: 46.2
Word: istniało, start_time: 46.2, end_time: 46.8
Word: i, start_time: 46.8, end_time: 46.9
