Waiting for operation to complete...
Transcript: Henryk Sienkiewicz Bartek zwycięzca bohater mój nazywał się Bartek Słowik ale ponieważ miał zwyczaj wytrzeszczać oczy gdy do niego mówiono że to sąsiedzi nazwali go Bartek wyłupiaste ze słowikiem istot niemało miał wspólnego natomiast jego przymioty umysłowe i prawdziwie homeryczne naiwność zjednał rymu także przezwisko głupi Bartek to ostatnie było najpopularniejsze i zapewne Samo jedno tylko przejdzie do historii chociaż Bartek nosił jeszcze czwarte urzędowe ponieważ wyrazy człowiek i słowik nie przedstawiają dla ucha niemieckiego żadnej różnicy a Niemcy lubią imię cywilizacji przekładać barbarzyńskie słowiańskie nazwy najbardziej kulturny język czyta w swoim czasie przypisach wojskowych miała miejsce następujące rozmowa jak się nazywasz pytał Bartka oficer
Confidence: 0.8657289147377014
Word: Henryk, start_time: 0.0, end_time: 1.4
Word: Sienkiewicz, start_time: 1.4, end_time: 1.5
Word: Bartek, start_time: 1.5, end_time: 4.1
Word: zwycięzca, start_time: 4.1, end_time: 4.9
Word: bohater, start_time: 4.9, end_time: 7.2
Word: mój, start_time: 7.2, end_time: 7.4
Word: nazywał, start_time: 7.4, end_time: 7.8
Word: się, start_time: 7.8, end_time: 7.9
Word: Bartek, start_time: 7.9, end_time: 8.5
Word: Słowik, start_time: 8.5, end_time: 9.6
Word: ale, start_time: 9.6, end_time: 10.6
Word: ponieważ, start_time: 10.6, end_time: 11.0
Word: miał, start_time: 11.0, end_time: 11.2
Word: zwyczaj, start_time: 11.2, end_time: 11.7
Word: wytrzeszczać, start_time: 11.7, end_time: 12.5
Word: oczy, start_time: 12.5, end_time: 12.6
Word: gdy, start_time: 12.6, end_time: 13.4
Word: do, start_time: 13.4, end_time: 13.5
Word: niego, start_time: 13.5, end_time: 13.6
Word: mówiono, start_time: 13.6, end_time: 14.1
Word: że, start_time: 14.1, end_time: 14.3
Word: to, start_time: 14.3, end_time: 14.8
Word: sąsiedzi, start_time: 14.8, end_time: 15.2
Word: nazwali, start_time: 15.2, end_time: 15.7
Word: go, start_time: 15.7, end_time: 15.9
Word: Bartek, start_time: 15.9, end_time: 16.8
Word: wyłupiaste, start_time: 16.8, end_time: 18.2
Word: ze, start_time: 18.2, end_time: 19.0
Word: słowikiem, start_time: 19.0, end_time: 19.4
Word: istot, start_time: 19.4, end_time: 19.7
Word: niemało, start_time: 19.7, end_time: 20.3
Word: miał, start_time: 20.3, end_time: 20.4
Word: wspólnego, start_time: 20.4, end_time: 21.1
Word: natomiast, start_time: 21.1, end_time: 21.6
Word: jego, start_time: 21.6, end_time: 21.9
Word: przymioty, start_time: 21.9, end_time: 22.5
Word: umysłowe, start_time: 22.5, end_time: 23.1
Word: i, start_time: 23.1, end_time: 23.2
Word: prawdziwie, start_time: 23.2, end_time: 24.2
Word: homeryczne, start_time: 24.2, end_time: 24.9
Word: naiwność, start_time: 24.9, end_time: 25.5
Word: zjednał, start_time: 25.5, end_time: 26.4
Word: rymu, start_time: 26.4, end_time: 26.6
Word: także, start_time: 26.6, end_time: 27.0
Word: przezwisko, start_time: 27.0, end_time: 27.7
Word: głupi, start_time: 27.7, end_time: 28.6
Word: Bartek, start_time: 28.6, end_time: 29.1
Word: to, start_time: 29.1, end_time: 30.2
Word: ostatnie, start_time: 30.2, end_time: 30.6
Word: było, start_time: 30.6, end_time: 30.8
Word: najpopularniejsze, start_time: 30.8, end_time: 32.0
Word: i, start_time: 32.0, end_time: 32.2
Word: zapewne, start_time: 32.2, end_time: 32.7
Word: Samo, start_time: 32.7, end_time: 33.6
Word: jedno, start_time: 33.6, end_time: 34.0
Word: tylko, start_time: 34.0, end_time: 34.2
Word: przejdzie, start_time: 34.2, end_time: 34.7
Word: do, start_time: 34.7, end_time: 34.8
Word: historii, start_time: 34.8, end_time: 34.8
Word: chociaż, start_time: 34.8, end_time: 36.0
Word: Bartek, start_time: 36.0, end_time: 36.3
