Waiting for operation to complete...
Transcript: historia prawicy Narodowej od Bolesława Chrobrego aż do jej wskrzeszenia w roku pańskim 1907 król Bolesław to rycerz był mężny szkołach przyjaciół Chrobrym zwane w swojej łapie miecz dzierżył potężny i puszczał wrogów w Krwawy tam co wieczora w Zamkowej świetlicy leżąc w łóżku zwykły grubo się śmiać hohoho póki jeszcze trzyma miecz w prawicy możecie dzieci zdrowo spać jadwisieńczak kochała Wilhelma ale w narodzie powstał krzyk co królem naszym Niemiec szelma naklepszy już litewski dzik chodził z gorzkie zrażają jej nic lecz odważnie podaję swą dłoń przyjm ojczyzno te czystą prawicę idź mój wianku polskiej ziemi broni i Nasz naród przy pomocy nieba
Confidence: 0.8713832497596741
Word: historia, start_time: 0.0, end_time: 1.1
Word: prawicy, start_time: 1.1, end_time: 1.8
Word: Narodowej, start_time: 1.8, end_time: 2.4
Word: od, start_time: 2.4, end_time: 3.0
Word: Bolesława, start_time: 3.0, end_time: 3.5
Word: Chrobrego, start_time: 3.5, end_time: 3.9
Word: aż, start_time: 3.9, end_time: 4.5
Word: do, start_time: 4.5, end_time: 4.7
Word: jej, start_time: 4.7, end_time: 4.9
Word: wskrzeszenia, start_time: 4.9, end_time: 5.6
Word: w, start_time: 5.6, end_time: 5.7
Word: roku, start_time: 5.7, end_time: 5.9
Word: pańskim, start_time: 5.9, end_time: 6.0
Word: 1907, start_time: 6.0, end_time: 8.0
Word: król, start_time: 8.0, end_time: 9.0
Word: Bolesław, start_time: 9.0, end_time: 9.2
Word: to, start_time: 9.2, end_time: 10.1
Word: rycerz, start_time: 10.1, end_time: 10.4
Word: był, start_time: 10.4, end_time: 10.7
Word: mężny, start_time: 10.7, end_time: 11.4
Word: szkołach, start_time: 11.4, end_time: 12.2
Word: przyjaciół, start_time: 12.2, end_time: 12.9
Word: Chrobrym, start_time: 12.9, end_time: 13.8
Word: zwane, start_time: 13.8, end_time: 14.3
Word: w, start_time: 14.3, end_time: 14.4
Word: swojej, start_time: 14.4, end_time: 15.2
Word: łapie, start_time: 15.2, end_time: 15.6
Word: miecz, start_time: 15.6, end_time: 15.9
Word: dzierżył, start_time: 15.9, end_time: 16.6
Word: potężny, start_time: 16.6, end_time: 17.4
Word: i, start_time: 17.4, end_time: 17.5
Word: puszczał, start_time: 17.5, end_time: 18.4
Word: wrogów, start_time: 18.4, end_time: 18.9
Word: w, start_time: 18.9, end_time: 19.1
Word: Krwawy, start_time: 19.1, end_time: 19.9
Word: tam, start_time: 19.9, end_time: 20.2
Word: co, start_time: 20.2, end_time: 20.9
Word: wieczora, start_time: 20.9, end_time: 21.3
Word: w, start_time: 21.3, end_time: 21.4
Word: Zamkowej, start_time: 21.4, end_time: 21.8
Word: świetlicy, start_time: 21.8, end_time: 22.5
Word: leżąc, start_time: 22.5, end_time: 23.4
Word: w, start_time: 23.4, end_time: 23.5
Word: łóżku, start_time: 23.5, end_time: 23.7
Word: zwykły, start_time: 23.7, end_time: 24.8
Word: grubo, start_time: 24.8, end_time: 25.4
Word: się, start_time: 25.4, end_time: 25.5
Word: śmiać, start_time: 25.5, end_time: 26.0
Word: hohoho, start_time: 26.0, end_time: 27.2
Word: póki, start_time: 27.2, end_time: 28.4
Word: jeszcze, start_time: 28.4, end_time: 28.6
Word: trzyma, start_time: 28.6, end_time: 29.4
Word: miecz, start_time: 29.4, end_time: 29.5
Word: w, start_time: 29.5, end_time: 29.9
Word: prawicy, start_time: 29.9, end_time: 30.5
Word: możecie, start_time: 30.5, end_time: 31.5
Word: dzieci, start_time: 31.5, end_time: 32.0
Word: zdrowo, start_time: 32.0, end_time: 32.8
Word: spać, start_time: 32.8, end_time: 33.0
Word: jadwisieńczak, start_time: 33.0, end_time: 34.3
Word: kochała, start_time: 34.3, end_time: 35.3
Word: Wilhelma, start_time: 35.3, end_time: 36.0
Word: ale, start_time: 36.0, end_time: 36.6
Word: w, start_time: 36.6, end_time: 36.7
Word: narodzie, start_time: 36.7, end_time: 37.1
Word: powstał, start_time: 37.1, end_time: 37.8
Word: krzyk, start_time: 37.8, end_time: 38.2
Word: co, start_time: 38.2, end_time: 39.0
Word: królem, start_time: 39.0, end_time: 40.1
Word: naszym, start_time: 40.1, end_time: 40.5
Word: Niemiec, start_time: 40.5, end_time: 41.3
Word: szelma, start_time: 41.3, end_time: 41.8
