Waiting for operation to complete...
Transcript: Polały się łzy me czyste rzęsiste chce mi się pisać wiersze jak psi psi dziecko chce się słóweczka rzucam pierwsze może mi coś przyniesie może inne liczne popłyną zanim ciurkiem floresy kreśląc śliczne pod skrzętny moim piórkiem może wytrysk No ze mnie w obrazku w dziwnych żołądek po której bym daremnie wysyłał mój rozsądek Zawsze ci to duszy zdrowiej i chodź na nich szemrzą różni że iść jest pielgrzymowi gdy w drodze się wypróżnić Ach tak pielgrzymem jestem dawcą cym po asfalcie co utrudzony gestem kuli się w swoim palcie wśród ulic po kręcenia błądzę po mieście obcym brnę poprzez mgły wspomnienia gdyby żył to młodym chłopcem błąd że wśród tysiąca co będę mógł
Confidence: 0.8156969547271729
Word: Polały, start_time: 0.0, end_time: 1.1
Word: się, start_time: 1.1, end_time: 1.2
Word: łzy, start_time: 1.2, end_time: 1.4
Word: me, start_time: 1.4, end_time: 1.8
Word: czyste, start_time: 1.8, end_time: 1.9
Word: rzęsiste, start_time: 1.9, end_time: 2.5
Word: chce, start_time: 2.5, end_time: 4.8
Word: mi, start_time: 4.8, end_time: 4.9
Word: się, start_time: 4.9, end_time: 5.0
Word: pisać, start_time: 5.0, end_time: 5.3
Word: wiersze, start_time: 5.3, end_time: 5.8
Word: jak, start_time: 5.8, end_time: 6.5
Word: psi, start_time: 6.5, end_time: 6.8
Word: psi, start_time: 6.8, end_time: 7.0
Word: dziecko, start_time: 7.0, end_time: 7.7
Word: chce, start_time: 7.7, end_time: 8.0
Word: się, start_time: 8.0, end_time: 8.2
Word: słóweczka, start_time: 8.2, end_time: 9.2
Word: rzucam, start_time: 9.2, end_time: 9.9
Word: pierwsze, start_time: 9.9, end_time: 10.4
Word: może, start_time: 10.4, end_time: 11.2
Word: mi, start_time: 11.2, end_time: 11.4
Word: coś, start_time: 11.4, end_time: 11.5
Word: przyniesie, start_time: 11.5, end_time: 12.3
Word: może, start_time: 12.3, end_time: 12.8
Word: inne, start_time: 12.8, end_time: 13.5
Word: liczne, start_time: 13.5, end_time: 14.2
Word: popłyną, start_time: 14.2, end_time: 15.0
Word: zanim, start_time: 15.0, end_time: 15.5
Word: ciurkiem, start_time: 15.5, end_time: 16.0
Word: floresy, start_time: 16.0, end_time: 17.2
Word: kreśląc, start_time: 17.2, end_time: 17.9
Word: śliczne, start_time: 17.9, end_time: 18.6
Word: pod, start_time: 18.6, end_time: 19.1
Word: skrzętny, start_time: 19.1, end_time: 19.9
Word: moim, start_time: 19.9, end_time: 20.3
Word: piórkiem, start_time: 20.3, end_time: 20.8
Word: może, start_time: 20.8, end_time: 21.6
Word: wytrysk, start_time: 21.6, end_time: 22.0
Word: No, start_time: 22.0, end_time: 22.1
Word: ze, start_time: 22.1, end_time: 22.3
Word: mnie, start_time: 22.3, end_time: 22.4
Word: w, start_time: 22.4, end_time: 22.7
Word: obrazku, start_time: 22.7, end_time: 23.6
Word: w, start_time: 23.6, end_time: 23.7
Word: dziwnych, start_time: 23.7, end_time: 24.2
Word: żołądek, start_time: 24.2, end_time: 24.5
Word: po, start_time: 24.5, end_time: 25.3
Word: której, start_time: 25.3, end_time: 25.7
Word: bym, start_time: 25.7, end_time: 25.8
Word: daremnie, start_time: 25.8, end_time: 26.4
Word: wysyłał, start_time: 26.4, end_time: 27.2
Word: mój, start_time: 27.2, end_time: 27.5
Word: rozsądek, start_time: 27.5, end_time: 28.2
Word: Zawsze, start_time: 28.2, end_time: 29.4
Word: ci, start_time: 29.4, end_time: 29.6
Word: to, start_time: 29.6, end_time: 29.7
Word: duszy, start_time: 29.7, end_time: 30.1
Word: zdrowiej, start_time: 30.1, end_time: 30.7
Word: i, start_time: 30.7, end_time: 30.9
Word: chodź, start_time: 30.9, end_time: 31.4
Word: na, start_time: 31.4, end_time: 31.7
Word: nich, start_time: 31.7, end_time: 31.8
Word: szemrzą, start_time: 31.8, end_time: 32.3
Word: różni, start_time: 32.3, end_time: 32.9
Word: że, start_time: 32.9, end_time: 33.6
Word: iść, start_time: 33.6, end_time: 34.2
Word: jest, start_time: 34.2, end_time: 34.6
Word: pielgrzymowi, start_time: 34.6, end_time: 35.4
Word: gdy, start_time: 35.4, end_time: 36.1
Word: w, start_time: 36.1, end_time: 36.2
Word: drodze, start_time: 36.2, end_time: 36.6
Word: się, start_time: 36.6, end_time: 36.8
Word: wypróżnić, start_time: 36.8, end_time: 37.5
Word: Ach, start_time: 37.5, end_time: 38.7
Word: tak, start_time: 38.7, end_time: 38.9
Word: pielgrzymem, start_time: 38.9, end_time: 40.1
Word: jestem, start_time: 40.1, end_time: 40.6
Word: dawcą, start_time: 40.6, end_time: 41.3
Word: cym, start_time: 41.3, end_time: 41.6
Word: po, start_time: 41.6, end_time: 41.8
Word: asfalcie, start_time: 41.8, end_time: 42.2
Word: co, start_time: 42.2, end_time: 42.9
Word: utrudzony, start_time: 42.9, end_time: 43.5
Word: gestem, start_time: 43.5, end_time: 44.2
