Waiting for operation to complete...
Transcript: Dobra mama kiedy nadchodzi wieczór już mówi mama kochana Śpij ma dziecino oczka zmruż śpij smacznie aż do rana sukieneczki Złóż na krzesełku tusz i w niej koszulkę nocną już na ciebie czas więc ostatni raz Uściskaj Manet mocno dobranoc kotku bywaj zdrów nie płacz mi że jest ciemno paciorek jeszcze ładnie znów powtarzaj razem ze mną Aniele stróżu mój ty ciągle przy mnie stój jak we dnie tak i w nocy i w przygodzie zł a ty koło mnie chcieli być zawsze ku pomocy zaledwie Mama przyszła próg już jej dziewczynce grzecznej z radosnym śmiechem mleku u nóg braciszek jej cioteczny ręce chłopców drżą tuli siostry swą Eagle
Confidence: 0.8707370758056641
Word: Dobra, start_time: 0.0, end_time: 1.1
Word: mama, start_time: 1.1, end_time: 1.5
Word: kiedy, start_time: 1.5, end_time: 2.6
Word: nadchodzi, start_time: 2.6, end_time: 3.0
Word: wieczór, start_time: 3.0, end_time: 3.3
Word: już, start_time: 3.3, end_time: 3.8
Word: mówi, start_time: 3.8, end_time: 4.7
Word: mama, start_time: 4.7, end_time: 5.1
Word: kochana, start_time: 5.1, end_time: 5.6
Word: Śpij, start_time: 5.6, end_time: 6.8
Word: ma, start_time: 6.8, end_time: 7.0
Word: dziecino, start_time: 7.0, end_time: 7.5
Word: oczka, start_time: 7.5, end_time: 8.3
Word: zmruż, start_time: 8.3, end_time: 8.5
Word: śpij, start_time: 8.5, end_time: 8.9
Word: smacznie, start_time: 8.9, end_time: 10.0
Word: aż, start_time: 10.0, end_time: 10.9
Word: do, start_time: 10.9, end_time: 11.1
Word: rana, start_time: 11.1, end_time: 11.5
Word: sukieneczki, start_time: 11.5, end_time: 13.0
Word: Złóż, start_time: 13.0, end_time: 13.4
Word: na, start_time: 13.4, end_time: 13.8
Word: krzesełku, start_time: 13.8, end_time: 14.4
Word: tusz, start_time: 14.4, end_time: 14.7
Word: i, start_time: 14.7, end_time: 15.0
Word: w, start_time: 15.0, end_time: 15.4
Word: niej, start_time: 15.4, end_time: 15.7
Word: koszulkę, start_time: 15.7, end_time: 16.0
Word: nocną, start_time: 16.0, end_time: 16.6
Word: już, start_time: 16.6, end_time: 18.0
Word: na, start_time: 18.0, end_time: 18.3
Word: ciebie, start_time: 18.3, end_time: 18.3
Word: czas, start_time: 18.3, end_time: 18.7
Word: więc, start_time: 18.7, end_time: 19.7
Word: ostatni, start_time: 19.7, end_time: 20.5
Word: raz, start_time: 20.5, end_time: 20.7
Word: Uściskaj, start_time: 20.7, end_time: 22.0
Word: Manet, start_time: 22.0, end_time: 22.4
Word: mocno, start_time: 22.4, end_time: 23.0
Word: dobranoc, start_time: 23.0, end_time: 24.2
Word: kotku, start_time: 24.2, end_time: 24.9
Word: bywaj, start_time: 24.9, end_time: 25.5
Word: zdrów, start_time: 25.5, end_time: 25.8
Word: nie, start_time: 25.8, end_time: 26.8
Word: płacz, start_time: 26.8, end_time: 27.1
Word: mi, start_time: 27.1, end_time: 27.3
Word: że, start_time: 27.3, end_time: 27.7
Word: jest, start_time: 27.7, end_time: 27.9
Word: ciemno, start_time: 27.9, end_time: 28.3
Word: paciorek, start_time: 28.3, end_time: 29.7
Word: jeszcze, start_time: 29.7, end_time: 30.2
Word: ładnie, start_time: 30.2, end_time: 30.7
Word: znów, start_time: 30.7, end_time: 30.9
Word: powtarzaj, start_time: 30.9, end_time: 32.1
Word: razem, start_time: 32.1, end_time: 32.7
Word: ze, start_time: 32.7, end_time: 32.8
Word: mną, start_time: 32.8, end_time: 32.9
Word: Aniele, start_time: 32.9, end_time: 34.3
Word: stróżu, start_time: 34.3, end_time: 34.4
Word: mój, start_time: 34.4, end_time: 35.0
Word: ty, start_time: 35.0, end_time: 35.9
Word: ciągle, start_time: 35.9, end_time: 36.1
Word: przy, start_time: 36.1, end_time: 36.7
Word: mnie, start_time: 36.7, end_time: 36.9
Word: stój, start_time: 36.9, end_time: 37.2
Word: jak, start_time: 37.2, end_time: 38.1
Word: we, start_time: 38.1, end_time: 38.3
Word: dnie, start_time: 38.3, end_time: 38.6
Word: tak, start_time: 38.6, end_time: 39.0
Word: i, start_time: 39.0, end_time: 39.1
Word: w, start_time: 39.1, end_time: 39.3
Word: nocy, start_time: 39.3, end_time: 39.8
Word: i, start_time: 39.8, end_time: 39.9
Word: w, start_time: 39.9, end_time: 40.5
Word: przygodzie, start_time: 40.5, end_time: 41.1
Word: zł, start_time: 41.1, end_time: 41.3
Word: a, start_time: 41.3, end_time: 41.5
Word: ty, start_time: 41.5, end_time: 42.1
Word: koło, start_time: 42.1, end_time: 42.4
Word: mnie, start_time: 42.4, end_time: 42.7
Word: chcieli, start_time: 42.7, end_time: 43.1
Word: być, start_time: 43.1, end_time: 43.7
Word: zawsze, start_time: 43.7, end_time: 44.3
Word: ku, start_time: 44.3, end_time: 44.8
Word: pomocy, start_time: 44.8, end_time: 45.0
Word: zaledwie, start_time: 45.0, end_time: 46.4
Word: Mama, start_time: 46.4, end_time: 46.8
Word: przyszła, start_time: 46.8, end_time: 47.2
Word: próg, start_time: 47.2, end_time: 47.6
Word: już, start_time: 47.6, end_time: 48.4
Word: jej, start_time: 48.4, end_time: 48.7
Word: dziewczynce, start_time: 48.7, end_time: 49.3
Word: grzecznej, start_time: 49.3, end_time: 50.0
Word: z, start_time: 50.0, end_time: 50.0
Word: radosnym, start_time: 50.0, end_time: 51.0
Word: śmiechem, start_time: 51.0, end_time: 51.1
Word: mleku, start_time: 51.1, end_time: 51.9
Word: u, start_time: 51.9, end_time: 52.1
Word: nóg, start_time: 52.1, end_time: 52.5
Word: braciszek, start_time: 52.5, end_time: 53.6
Word: jej, start_time: 53.6, end_time: 53.8
Word: cioteczny, start_time: 53.8, end_time: 55.2
Word: ręce, start_time: 55.2, end_time: 56.3
Word: chłopców, start_time: 56.3, end_time: 56.9
Word: drżą, start_time: 56.9, end_time: 57.2
Word: tuli, start_time: 57.2, end_time: 58.3
Word: siostry, start_time: 58.3, end_time: 58.9
Word: swą, start_time: 58.9, end_time: 59.1
Word: Eagle, start_time: 59.1, end_time: 59.9
Transcript: w samouczku to zuchwały Smyk tak jak zawsze zwykłą schowany był pod łóżko za chwilę już dzieciaki 2 pieszczotach słodkich toną niewinny uścisk długo trwa poczęta szarym płoną coś skrzypne Łapach Cóż za straszny strach serduszko bije mocno i już się robi Świt Adasiu mnie wstyd oddaj koszulkę nocną różane ciałko drży jak liść Adasiu tak nie można Ja muszę przecież za mąż iść ja muszę być ostrożna Przecież dobrze wiesz że bym chciała też oddałabym ci wszystko a potem w Cóż chyba umrzeć już albo zostać artystką niedługo słychać ranny gwar dzieweczka śpi już sama lipowskiej kawki niosąc War w drzwi wchodzi do
Confidence: 0.9719206094741821
Word: w, start_time: 59.9, end_time: 60.0
Word: samouczku, start_time: 60.0, end_time: 60.8
Word: to, start_time: 60.8, end_time: 62.0
Word: zuchwały, start_time: 62.0, end_time: 62.5
Word: Smyk, start_time: 62.5, end_time: 62.9
Word: tak, start_time: 62.9, end_time: 63.5
Word: jak, start_time: 63.5, end_time: 63.8
Word: zawsze, start_time: 63.8, end_time: 64.0
Word: zwykłą, start_time: 64.0, end_time: 64.7
Word: schowany, start_time: 64.7, end_time: 65.7
Word: był, start_time: 65.7, end_time: 66.0
Word: pod, start_time: 66.0, end_time: 66.5
Word: łóżko, start_time: 66.5, end_time: 67.0
Word: za, start_time: 67.0, end_time: 68.0
Word: chwilę, start_time: 68.0, end_time: 68.4
Word: już, start_time: 68.4, end_time: 68.7
Word: dzieciaki, start_time: 68.7, end_time: 69.2
Word: 2, start_time: 69.2, end_time: 69.4
Word: pieszczotach, start_time: 69.4, end_time: 70.6
Word: słodkich, start_time: 70.6, end_time: 71.1
Word: toną, start_time: 71.1, end_time: 71.5
Word: niewinny, start_time: 71.5, end_time: 72.7
Word: uścisk, start_time: 72.7, end_time: 73.5
Word: długo, start_time: 73.5, end_time: 73.9
Word: trwa, start_time: 73.9, end_time: 74.2
Word: poczęta, start_time: 74.2, end_time: 75.4
Word: szarym, start_time: 75.4, end_time: 76.1
Word: płoną, start_time: 76.1, end_time: 76.7
Word: coś, start_time: 76.7, end_time: 77.6
Word: skrzypne, start_time: 77.6, end_time: 78.1
Word: Łapach, start_time: 78.1, end_time: 78.5
Word: Cóż, start_time: 78.5, end_time: 79.6
Word: za, start_time: 79.6, end_time: 79.8
Word: straszny, start_time: 79.8, end_time: 80.4
Word: strach, start_time: 80.4, end_time: 80.9
Word: serduszko, start_time: 80.9, end_time: 82.1
Word: bije, start_time: 82.1, end_time: 82.3
Word: mocno, start_time: 82.3, end_time: 82.7
Word: i, start_time: 82.7, end_time: 82.9
Word: już, start_time: 82.9, end_time: 83.7
Word: się, start_time: 83.7, end_time: 84.0
Word: robi, start_time: 84.0, end_time: 84.5
Word: Świt, start_time: 84.5, end_time: 84.9
Word: Adasiu, start_time: 84.9, end_time: 86.0
Word: mnie, start_time: 86.0, end_time: 86.7
Word: wstyd, start_time: 86.7, end_time: 87.1
Word: oddaj, start_time: 87.1, end_time: 88.1
Word: koszulkę, start_time: 88.1, end_time: 88.8
Word: nocną, start_time: 88.8, end_time: 89.0
Word: różane, start_time: 89.0, end_time: 90.8
Word: ciałko, start_time: 90.8, end_time: 91.2
Word: drży, start_time: 91.2, end_time: 91.8
Word: jak, start_time: 91.8, end_time: 91.8
Word: liść, start_time: 91.8, end_time: 92.4
Word: Adasiu, start_time: 92.4, end_time: 93.4
Word: tak, start_time: 93.4, end_time: 93.8
Word: nie, start_time: 93.8, end_time: 93.9
Word: można, start_time: 93.9, end_time: 94.3
Word: Ja, start_time: 94.3, end_time: 95.0
Word: muszę, start_time: 95.0, end_time: 95.4
Word: przecież, start_time: 95.4, end_time: 95.7
Word: za, start_time: 95.7, end_time: 96.0
Word: mąż, start_time: 96.0, end_time: 96.2
Word: iść, start_time: 96.2, end_time: 96.6
Word: ja, start_time: 96.6, end_time: 97.2
Word: muszę, start_time: 97.2, end_time: 97.6
Word: być, start_time: 97.6, end_time: 97.6
Word: ostrożna, start_time: 97.6, end_time: 98.7
Word: Przecież, start_time: 98.7, end_time: 99.6
Word: dobrze, start_time: 99.6, end_time: 99.8
Word: wiesz, start_time: 99.8, end_time: 100.1
Word: że, start_time: 100.1, end_time: 100.3
Word: bym, start_time: 100.3, end_time: 100.9
Word: chciała, start_time: 100.9, end_time: 101.3
Word: też, start_time: 101.3, end_time: 101.6
Word: oddałabym, start_time: 101.6, end_time: 103.0
Word: ci, start_time: 103.0, end_time: 103.1
Word: wszystko, start_time: 103.1, end_time: 103.7
Word: a, start_time: 103.7, end_time: 103.8
Word: potem, start_time: 103.8, end_time: 104.7
Word: w, start_time: 104.7, end_time: 104.7
Word: Cóż, start_time: 104.7, end_time: 105.0
Word: chyba, start_time: 105.0, end_time: 105.8
Word: umrzeć, start_time: 105.8, end_time: 106.5
Word: już, start_time: 106.5, end_time: 106.8
Word: albo, start_time: 106.8, end_time: 107.4
Word: zostać, start_time: 107.4, end_time: 108.6
Word: artystką, start_time: 108.6, end_time: 109.9
Word: niedługo, start_time: 109.9, end_time: 111.7
Word: słychać, start_time: 111.7, end_time: 112.1
Word: ranny, start_time: 112.1, end_time: 112.8
Word: gwar, start_time: 112.8, end_time: 113.2
Word: dzieweczka, start_time: 113.2, end_time: 114.2
Word: śpi, start_time: 114.2, end_time: 114.6
Word: już, start_time: 114.6, end_time: 114.8
Word: sama, start_time: 114.8, end_time: 115.2
Word: lipowskiej, start_time: 115.2, end_time: 116.6
Word: kawki, start_time: 116.6, end_time: 117.2
Word: niosąc, start_time: 117.2, end_time: 117.7
Word: War, start_time: 117.7, end_time: 118.0
Word: w, start_time: 118.0, end_time: 118.2
Word: drzwi, start_time: 118.2, end_time: 118.9
Word: wchodzi, start_time: 118.9, end_time: 119.5
Word: do, start_time: 119.5, end_time: 119.7
Transcript: mama wlepia tkliwy wzrok dziś 16 rok zaczyna drogie dzieci Co by tu Tak wiem waniliowy krem nic tak nie lubisz świecie
Confidence: 0.8918166756629944
Word: mama, start_time: 119.9, end_time: 120.2
Word: wlepia, start_time: 120.2, end_time: 121.6
Word: tkliwy, start_time: 121.6, end_time: 122.1
Word: wzrok, start_time: 122.1, end_time: 122.5
Word: dziś, start_time: 122.5, end_time: 123.2
Word: 16, start_time: 123.2, end_time: 124.2
Word: rok, start_time: 124.2, end_time: 124.5
Word: zaczyna, start_time: 124.5, end_time: 125.3
Word: drogie, start_time: 125.3, end_time: 125.8
Word: dzieci, start_time: 125.8, end_time: 126.2
Word: Co, start_time: 126.2, end_time: 127.0
Word: by, start_time: 127.0, end_time: 127.1
Word: tu, start_time: 127.1, end_time: 127.3
Word: Tak, start_time: 127.3, end_time: 128.0
Word: wiem, start_time: 128.0, end_time: 128.3
Word: waniliowy, start_time: 128.3, end_time: 129.4
Word: krem, start_time: 129.4, end_time: 129.6
Word: nic, start_time: 129.6, end_time: 130.8
Word: tak, start_time: 130.8, end_time: 131.1
Word: nie, start_time: 131.1, end_time: 131.2
Word: lubisz, start_time: 131.2, end_time: 131.9
Word: świecie, start_time: 131.9, end_time: 132.6
