Waiting for operation to complete...
Transcript: krakowski jubileusz nie wiem który to nasz przodek przydługi ponoć karnawał gdy wyczerpał wszelkich środek Skąd wziąć jakiś świeży kawał raz po formy dążąc nowe chwycił warstwa kaduceusz skromną się nim mocno w głowę i wymyślił jubileusz przyjęła się ta zabawa jako że w niej leży sposób co każdemu daje prawa pić z najważniejszych osób lecz że wszystko mija w świecie niech go jasny piorun trzaśnie i zdarzyć się może przecież tradycja ta wygaśnie podam to więc przepis cały bym wszedł do krakowskich kronik na ten jubel tak wspaniały jak Rękawka lub Lajkonik bierze się do tego celu tęgiego starego pryka wsadza się go na fotelu i siarczyście Gosię tyka odmiany wszak prawa znacie trudności nie będzie za
Confidence: 0.8747223615646362
Word: krakowski, start_time: 0.0, end_time: 0.9
Word: jubileusz, start_time: 0.9, end_time: 1.5
Word: nie, start_time: 1.5, end_time: 2.3
Word: wiem, start_time: 2.3, end_time: 2.6
Word: który, start_time: 2.6, end_time: 3.1
Word: to, start_time: 3.1, end_time: 3.3
Word: nasz, start_time: 3.3, end_time: 3.5
Word: przodek, start_time: 3.5, end_time: 3.8
Word: przydługi, start_time: 3.8, end_time: 5.4
Word: ponoć, start_time: 5.4, end_time: 5.9
Word: karnawał, start_time: 5.9, end_time: 6.8
Word: gdy, start_time: 6.8, end_time: 7.6
Word: wyczerpał, start_time: 7.6, end_time: 8.5
Word: wszelkich, start_time: 8.5, end_time: 9.0
Word: środek, start_time: 9.0, end_time: 9.5
Word: Skąd, start_time: 9.5, end_time: 10.5
Word: wziąć, start_time: 10.5, end_time: 10.9
Word: jakiś, start_time: 10.9, end_time: 11.4
Word: świeży, start_time: 11.4, end_time: 11.8
Word: kawał, start_time: 11.8, end_time: 12.4
Word: raz, start_time: 12.4, end_time: 13.3
Word: po, start_time: 13.3, end_time: 13.5
Word: formy, start_time: 13.5, end_time: 13.9
Word: dążąc, start_time: 13.9, end_time: 14.6
Word: nowe, start_time: 14.6, end_time: 15.0
Word: chwycił, start_time: 15.0, end_time: 15.7
Word: warstwa, start_time: 15.7, end_time: 16.6
Word: kaduceusz, start_time: 16.6, end_time: 17.4
Word: skromną, start_time: 17.4, end_time: 18.6
Word: się, start_time: 18.6, end_time: 18.9
Word: nim, start_time: 18.9, end_time: 19.1
Word: mocno, start_time: 19.1, end_time: 19.5
Word: w, start_time: 19.5, end_time: 19.6
Word: głowę, start_time: 19.6, end_time: 19.8
Word: i, start_time: 19.8, end_time: 20.2
Word: wymyślił, start_time: 20.2, end_time: 21.3
Word: jubileusz, start_time: 21.3, end_time: 22.5
Word: przyjęła, start_time: 22.5, end_time: 23.6
Word: się, start_time: 23.6, end_time: 23.6
Word: ta, start_time: 23.6, end_time: 23.8
Word: zabawa, start_time: 23.8, end_time: 24.2
Word: jako, start_time: 24.2, end_time: 24.9
Word: że, start_time: 24.9, end_time: 25.1
Word: w, start_time: 25.1, end_time: 25.1
Word: niej, start_time: 25.1, end_time: 25.4
Word: leży, start_time: 25.4, end_time: 25.7
Word: sposób, start_time: 25.7, end_time: 26.3
Word: co, start_time: 26.3, end_time: 26.7
Word: każdemu, start_time: 26.7, end_time: 27.2
Word: daje, start_time: 27.2, end_time: 27.5
Word: prawa, start_time: 27.5, end_time: 28.0
Word: pić, start_time: 28.0, end_time: 28.8
Word: z, start_time: 28.8, end_time: 29.0
Word: najważniejszych, start_time: 29.0, end_time: 30.2
Word: osób, start_time: 30.2, end_time: 30.7
Word: lecz, start_time: 30.7, end_time: 31.7
Word: że, start_time: 31.7, end_time: 32.0
Word: wszystko, start_time: 32.0, end_time: 32.6
Word: mija, start_time: 32.6, end_time: 32.9
Word: w, start_time: 32.9, end_time: 33.0
Word: świecie, start_time: 33.0, end_time: 33.4
Word: niech, start_time: 33.4, end_time: 34.1
Word: go, start_time: 34.1, end_time: 34.2
Word: jasny, start_time: 34.2, end_time: 34.6
Word: piorun, start_time: 34.6, end_time: 34.9
Word: trzaśnie, start_time: 34.9, end_time: 35.2
Word: i, start_time: 35.2, end_time: 35.5
Word: zdarzyć, start_time: 35.5, end_time: 36.4
Word: się, start_time: 36.4, end_time: 36.5
Word: może, start_time: 36.5, end_time: 36.7
Word: przecież, start_time: 36.7, end_time: 37.4
Word: tradycja, start_time: 37.4, end_time: 38.4
Word: ta, start_time: 38.4, end_time: 38.6
Word: wygaśnie, start_time: 38.6, end_time: 39.2
Word: podam, start_time: 39.2, end_time: 40.1
Word: to, start_time: 40.1, end_time: 40.3
Word: więc, start_time: 40.3, end_time: 40.6
Word: przepis, start_time: 40.6, end_time: 41.0
Word: cały, start_time: 41.0, end_time: 41.4
Word: bym, start_time: 41.4, end_time: 42.0
Word: wszedł, start_time: 42.0, end_time: 42.2
Word: do, start_time: 42.2, end_time: 42.5
Word: krakowskich, start_time: 42.5, end_time: 43.1
Word: kronik, start_time: 43.1, end_time: 43.7
Word: na, start_time: 43.7, end_time: 44.2
Word: ten, start_time: 44.2, end_time: 44.4
Word: jubel, start_time: 44.4, end_time: 44.9
Word: tak, start_time: 44.9, end_time: 45.2
Word: wspaniały, start_time: 45.2, end_time: 45.8
Word: jak, start_time: 45.8, end_time: 45.9
Word: Rękawka, start_time: 45.9, end_time: 47.2
Word: lub, start_time: 47.2, end_time: 47.7
Word: Lajkonik, start_time: 47.7, end_time: 48.6
Word: bierze, start_time: 48.6, end_time: 49.6
Word: się, start_time: 49.6, end_time: 49.7
Word: do, start_time: 49.7, end_time: 49.9
Word: tego, start_time: 49.9, end_time: 50.0
Word: celu, start_time: 50.0, end_time: 50.3
Word: tęgiego, start_time: 50.3, end_time: 51.2
Word: starego, start_time: 51.2, end_time: 51.8
Word: pryka, start_time: 51.8, end_time: 52.2
Word: wsadza, start_time: 52.2, end_time: 53.1
Word: się, start_time: 53.1, end_time: 53.2
Word: go, start_time: 53.2, end_time: 53.5
Word: na, start_time: 53.5, end_time: 53.6
Word: fotelu, start_time: 53.6, end_time: 54.1
Word: i, start_time: 54.1, end_time: 54.2
Word: siarczyście, start_time: 54.2, end_time: 55.0
Word: Gosię, start_time: 55.0, end_time: 55.7
Word: tyka, start_time: 55.7, end_time: 56.1
Word: odmiany, start_time: 56.1, end_time: 57.1
Word: wszak, start_time: 57.1, end_time: 57.3
Word: prawa, start_time: 57.3, end_time: 57.7
Word: znacie, start_time: 57.7, end_time: 58.2
Word: trudności, start_time: 58.2, end_time: 59.2
Word: nie, start_time: 59.2, end_time: 59.3
Word: będzie, start_time: 59.3, end_time: 59.7
Word: za, start_time: 59.7, end_time: 59.8
Transcript: więc Jubilat jubilacie jubilata z jubilatem publiczności zastęp liczny hurmem obsada galerią a cały ten obchód śliczny sam pacjent bierze na serio wstaję rzędem człowiek nie który kogo tam za swędzi ozór i wygłasza srogie bzdury w uroczysty emocje pozór brzmi powaga w każdym słowie choć od śmiechu drgają rzęsy po bo myśmy to w Krakowie wszystko straszne są ZSRR pinsy reszta słucha oczy mruży ksiądz po trosze sobie sprawy z tego który by duży i z tego który to łyka z Uwielbienia pełnym łonem wstałam to czcigodny panie z sercem te tak przepełnionym że mi ledwo tchu już stanie twoje zasługi Są tak duże żeby Trzeba jakąś szczery ryć te spiżem na marmurze
Confidence: 0.8340809941291809
Word: więc, start_time: 59.9, end_time: 60.7
Word: Jubilat, start_time: 60.7, end_time: 61.6
Word: jubilacie, start_time: 61.6, end_time: 62.6
Word: jubilata, start_time: 62.6, end_time: 63.5
Word: z, start_time: 63.5, end_time: 63.8
Word: jubilatem, start_time: 63.8, end_time: 64.4
Word: publiczności, start_time: 64.4, end_time: 66.1
Word: zastęp, start_time: 66.1, end_time: 66.6
Word: liczny, start_time: 66.6, end_time: 67.0
Word: hurmem, start_time: 67.0, end_time: 67.9
Word: obsada, start_time: 67.9, end_time: 68.6
Word: galerią, start_time: 68.6, end_time: 69.1
Word: a, start_time: 69.1, end_time: 69.3
Word: cały, start_time: 69.3, end_time: 70.1
Word: ten, start_time: 70.1, end_time: 70.4
Word: obchód, start_time: 70.4, end_time: 71.0
Word: śliczny, start_time: 71.0, end_time: 71.5
Word: sam, start_time: 71.5, end_time: 72.2
Word: pacjent, start_time: 72.2, end_time: 72.5
Word: bierze, start_time: 72.5, end_time: 73.4
Word: na, start_time: 73.4, end_time: 73.5
Word: serio, start_time: 73.5, end_time: 74.0
Word: wstaję, start_time: 74.0, end_time: 74.7
Word: rzędem, start_time: 74.7, end_time: 75.1
Word: człowiek, start_time: 75.1, end_time: 75.5
Word: nie, start_time: 75.5, end_time: 75.7
Word: który, start_time: 75.7, end_time: 76.0
Word: kogo, start_time: 76.0, end_time: 76.6
Word: tam, start_time: 76.6, end_time: 76.9
Word: za, start_time: 76.9, end_time: 77.1
Word: swędzi, start_time: 77.1, end_time: 77.5
Word: ozór, start_time: 77.5, end_time: 78.0
Word: i, start_time: 78.0, end_time: 78.2
Word: wygłasza, start_time: 78.2, end_time: 79.1
Word: srogie, start_time: 79.1, end_time: 79.6
Word: bzdury, start_time: 79.6, end_time: 80.1
Word: w, start_time: 80.1, end_time: 80.3
Word: uroczysty, start_time: 80.3, end_time: 81.1
Word: emocje, start_time: 81.1, end_time: 81.7
Word: pozór, start_time: 81.7, end_time: 82.3
Word: brzmi, start_time: 82.3, end_time: 83.1
Word: powaga, start_time: 83.1, end_time: 83.5
Word: w, start_time: 83.5, end_time: 83.6
Word: każdym, start_time: 83.6, end_time: 84.2
Word: słowie, start_time: 84.2, end_time: 84.4
Word: choć, start_time: 84.4, end_time: 85.4
Word: od, start_time: 85.4, end_time: 85.8
Word: śmiechu, start_time: 85.8, end_time: 86.3
Word: drgają, start_time: 86.3, end_time: 87.0
Word: rzęsy, start_time: 87.0, end_time: 87.6
Word: po, start_time: 87.6, end_time: 88.1
Word: bo, start_time: 88.1, end_time: 88.6
Word: myśmy, start_time: 88.6, end_time: 88.9
Word: to, start_time: 88.9, end_time: 89.1
Word: w, start_time: 89.1, end_time: 89.2
Word: Krakowie, start_time: 89.2, end_time: 89.9
Word: wszystko, start_time: 89.9, end_time: 90.8
Word: straszne, start_time: 90.8, end_time: 91.4
Word: są, start_time: 91.4, end_time: 91.7
Word: ZSRR, start_time: 91.7, end_time: 92.1
Word: pinsy, start_time: 92.1, end_time: 92.8
Word: reszta, start_time: 92.8, end_time: 93.9
Word: słucha, start_time: 93.9, end_time: 94.4
Word: oczy, start_time: 94.4, end_time: 95.0
Word: mruży, start_time: 95.0, end_time: 95.1
Word: ksiądz, start_time: 95.1, end_time: 96.2
Word: po, start_time: 96.2, end_time: 96.4
Word: trosze, start_time: 96.4, end_time: 96.8
Word: sobie, start_time: 96.8, end_time: 97.1
Word: sprawy, start_time: 97.1, end_time: 97.9
Word: z, start_time: 97.9, end_time: 98.4
Word: tego, start_time: 98.4, end_time: 98.6
Word: który, start_time: 98.6, end_time: 99.3
Word: by, start_time: 99.3, end_time: 99.5
Word: duży, start_time: 99.5, end_time: 99.8
Word: i, start_time: 99.8, end_time: 100.0
Word: z, start_time: 100.0, end_time: 100.5
Word: tego, start_time: 100.5, end_time: 100.9
Word: który, start_time: 100.9, end_time: 101.5
Word: to, start_time: 101.5, end_time: 101.7
Word: łyka, start_time: 101.7, end_time: 102.1
Word: z, start_time: 102.1, end_time: 102.3
Word: Uwielbienia, start_time: 102.3, end_time: 103.4
Word: pełnym, start_time: 103.4, end_time: 103.9
Word: łonem, start_time: 103.9, end_time: 104.3
Word: wstałam, start_time: 104.3, end_time: 105.2
Word: to, start_time: 105.2, end_time: 105.3
Word: czcigodny, start_time: 105.3, end_time: 106.0
Word: panie, start_time: 106.0, end_time: 106.4
Word: z, start_time: 106.4, end_time: 106.7
Word: sercem, start_time: 106.7, end_time: 107.6
Word: te, start_time: 107.6, end_time: 108.1
Word: tak, start_time: 108.1, end_time: 109.0
Word: przepełnionym, start_time: 109.0, end_time: 109.9
Word: że, start_time: 109.9, end_time: 110.3
Word: mi, start_time: 110.3, end_time: 110.5
Word: ledwo, start_time: 110.5, end_time: 110.8
Word: tchu, start_time: 110.8, end_time: 111.1
Word: już, start_time: 111.1, end_time: 111.4
Word: stanie, start_time: 111.4, end_time: 111.9
Word: twoje, start_time: 111.9, end_time: 112.5
Word: zasługi, start_time: 112.5, end_time: 112.8
Word: Są, start_time: 112.8, end_time: 113.1
Word: tak, start_time: 113.1, end_time: 113.4
Word: duże, start_time: 113.4, end_time: 113.6
Word: żeby, start_time: 113.6, end_time: 114.6
Word: Trzeba, start_time: 114.6, end_time: 115.0
Word: jakąś, start_time: 115.0, end_time: 115.5
Word: szczery, start_time: 115.5, end_time: 116.1
Word: ryć, start_time: 116.1, end_time: 117.0
Word: te, start_time: 117.0, end_time: 117.5
Word: spiżem, start_time: 117.5, end_time: 118.5
Word: na, start_time: 118.5, end_time: 119.0
Word: marmurze, start_time: 119.0, end_time: 119.5
Transcript: po cichu cztery litery twoje słowa mądre wreszcie żyć w narodzie będą święcie i prawnuki nasze jeszcze mieć się będą cicho w pięcie więc gdy zasług jubilata żaden czasu Grom nie zetrze niech nam jeszcze długie lata po cichu psuje powietrze Coś tam jeszcze mówca bąka orkiestra kropi fanfare a jubilat głośność on waves rozkoszy raniąc parę magnificus się podnosi przypadkowo ginekolog i znów z innej beczki głosi lapidarny swój nekrolog myśli wątku nie rozprasza ale skupia w treść ogólną panie ten ojczyzna Nasza jest nam wszystkim matką wspólną po napoju na swym mlekiem i karmi niby dziecinne zanim stanie się człowiekiem przesłanie pępowinę
Confidence: 0.8418442606925964
Word: po, start_time: 119.9, end_time: 120.2
Word: cichu, start_time: 120.2, end_time: 120.7
Word: cztery, start_time: 120.7, end_time: 121.6
Word: litery, start_time: 121.6, end_time: 122.1
Word: twoje, start_time: 122.1, end_time: 122.9
Word: słowa, start_time: 122.9, end_time: 123.3
Word: mądre, start_time: 123.3, end_time: 123.9
Word: wreszcie, start_time: 123.9, end_time: 124.5
Word: żyć, start_time: 124.5, end_time: 125.1
Word: w, start_time: 125.1, end_time: 125.3
