Waiting for operation to complete...
Transcript: Jak się rodzi moc truchleje Pan niebiosów obnażony Ogień krzepnie blask ciemnieje ma granice nieskończony ciąg silnika słowa ciałem się stało i mieszkało między nami było dużo szczęścia i słodyczy
Confidence: 0.9091712832450867
Word: Jak, start_time: 0.0, end_time: 7.2
Word: się, start_time: 7.2, end_time: 18.5
Word: rodzi, start_time: 18.5, end_time: 19.5
Word: moc, start_time: 19.5, end_time: 19.9
Word: truchleje, start_time: 19.9, end_time: 20.2
Word: Pan, start_time: 20.2, end_time: 21.7
Word: niebiosów, start_time: 21.7, end_time: 22.1
Word: obnażony, start_time: 22.1, end_time: 23.0
Word: Ogień, start_time: 23.0, end_time: 25.8
Word: krzepnie, start_time: 25.8, end_time: 26.0
Word: blask, start_time: 26.0, end_time: 27.4
Word: ciemnieje, start_time: 27.4, end_time: 27.8
Word: ma, start_time: 27.8, end_time: 29.3
Word: granice, start_time: 29.3, end_time: 29.6
Word: nieskończony, start_time: 29.6, end_time: 31.9
Word: ciąg, start_time: 31.9, end_time: 32.4
Word: silnika, start_time: 32.4, end_time: 36.9
Word: słowa, start_time: 36.9, end_time: 42.0
Word: ciałem, start_time: 42.0, end_time: 42.8
Word: się, start_time: 42.8, end_time: 42.9
Word: stało, start_time: 42.9, end_time: 43.1
Word: i, start_time: 43.1, end_time: 44.1
Word: mieszkało, start_time: 44.1, end_time: 45.5
Word: między, start_time: 45.5, end_time: 46.4
Word: nami, start_time: 46.4, end_time: 47.0
Word: było, start_time: 47.0, end_time: 56.1
Word: dużo, start_time: 56.1, end_time: 56.6
Word: szczęścia, start_time: 56.6, end_time: 57.2
Word: i, start_time: 57.2, end_time: 57.6
Word: słodyczy, start_time: 57.6, end_time: 57.7
Transcript: rododendrony i znowu cierpiałem żeśmy byli winni A słowo ciałem się stało i mieszkało między nami klasa szósta kolejka sesje przychodzące Jest doskonała dobrze mieszkało między nami teraz to słabo widać dobrze palcami
Confidence: 0.8880566358566284
Word: rododendrony, start_time: 59.9, end_time: 64.8
Word: i, start_time: 64.8, end_time: 65.0
Word: znowu, start_time: 65.0, end_time: 65.9
Word: cierpiałem, start_time: 65.9, end_time: 69.7
Word: żeśmy, start_time: 69.7, end_time: 71.9
Word: byli, start_time: 71.9, end_time: 72.4
Word: winni, start_time: 72.4, end_time: 72.9
Word: A, start_time: 72.9, end_time: 73.5
Word: słowo, start_time: 73.5, end_time: 76.2
Word: ciałem, start_time: 76.2, end_time: 76.3
Word: się, start_time: 76.3, end_time: 77.0
Word: stało, start_time: 77.0, end_time: 77.3
Word: i, start_time: 77.3, end_time: 78.3
Word: mieszkało, start_time: 78.3, end_time: 79.5
Word: między, start_time: 79.5, end_time: 80.6
Word: nami, start_time: 80.6, end_time: 81.1
Word: klasa, start_time: 81.1, end_time: 84.6
Word: szósta, start_time: 84.6, end_time: 86.7
Word: kolejka, start_time: 86.7, end_time: 87.4
Word: sesje, start_time: 87.4, end_time: 90.3
Word: przychodzące, start_time: 90.3, end_time: 98.9
Word: Jest, start_time: 98.9, end_time: 99.3
Word: doskonała, start_time: 99.3, end_time: 100.5
Word: dobrze, start_time: 100.5, end_time: 100.7
Word: mieszkało, start_time: 100.7, end_time: 110.5
Word: między, start_time: 110.5, end_time: 110.8
Word: nami, start_time: 110.8, end_time: 111.5
Word: teraz, start_time: 111.5, end_time: 114.2
Word: to, start_time: 114.2, end_time: 114.6
Word: słabo, start_time: 114.6, end_time: 115.9
Word: widać, start_time: 115.9, end_time: 117.5
Word: dobrze, start_time: 117.5, end_time: 117.9
Word: palcami, start_time: 117.9, end_time: 119.0
Transcript: A co się stało i mieszkało między nami klasa bobasa Wodzisław Śląski Taniec z gwiazdami
Confidence: 0.9042544960975647
Word: A, start_time: 119.9, end_time: 119.9
Word: co, start_time: 119.9, end_time: 121.3
Word: się, start_time: 121.3, end_time: 122.3
Word: stało, start_time: 122.3, end_time: 122.7
Word: i, start_time: 122.7, end_time: 123.8
Word: mieszkało, start_time: 123.8, end_time: 125.0
Word: między, start_time: 125.0, end_time: 126.0
Word: nami, start_time: 126.0, end_time: 126.6
Word: klasa, start_time: 126.6, end_time: 133.3
Word: bobasa, start_time: 133.3, end_time: 135.8
Word: Wodzisław, start_time: 135.8, end_time: 136.3
Word: Śląski, start_time: 136.3, end_time: 146.7
Word: Taniec, start_time: 146.7, end_time: 147.0
Word: z, start_time: 147.0, end_time: 149.0
Word: gwiazdami, start_time: 149.0, end_time: 151.8
