Waiting for operation to complete...
Transcript: Artur Oppman historia Stefanka co nie chciał jeść obiadu nikt z teściem grymaśnik jem nie mógł przyjść do ładu Jadł by chętnie Konfiturki nie chciał jeść obiadu gdy mu dadzą smaczną zupkę lub kawałek mięsa ani łyżki nie wypije nie zje ani kęsa Biedna mama widząc nieraz jego kwaśną minkę pyta wciąż ty chory i jedna odrobinkę zjemy razem dobrze Synku ja przy tobie ścienne ale Stefcio krzyczeć chce jeść nie będę kara w końcu go spotkała bo od co się dzieje pan Stefanek gry maśnicki w oczach mizernie je dzień nic nie jadłem Nie jadłem drugi osłabł tak na trzeci że zaledwie kroki stawia jak maleńkie dzieci
Confidence: 0.9653321504592896
Word: Artur, start_time: 0.0, end_time: 1.5
Word: Oppman, start_time: 1.5, end_time: 1.8
Word: historia, start_time: 1.8, end_time: 4.1
Word: Stefanka, start_time: 4.1, end_time: 4.7
Word: co, start_time: 4.7, end_time: 5.0
Word: nie, start_time: 5.0, end_time: 5.3
Word: chciał, start_time: 5.3, end_time: 5.7
Word: jeść, start_time: 5.7, end_time: 5.9
Word: obiadu, start_time: 5.9, end_time: 6.5
Word: nikt, start_time: 6.5, end_time: 8.6
Word: z, start_time: 8.6, end_time: 8.7
Word: teściem, start_time: 8.7, end_time: 9.4
Word: grymaśnik, start_time: 9.4, end_time: 10.4
Word: jem, start_time: 10.4, end_time: 10.5
Word: nie, start_time: 10.5, end_time: 10.8
Word: mógł, start_time: 10.8, end_time: 11.2
Word: przyjść, start_time: 11.2, end_time: 11.5
Word: do, start_time: 11.5, end_time: 11.9
Word: ładu, start_time: 11.9, end_time: 12.2
Word: Jadł, start_time: 12.2, end_time: 13.0
Word: by, start_time: 13.0, end_time: 13.2
Word: chętnie, start_time: 13.2, end_time: 13.4
Word: Konfiturki, start_time: 13.4, end_time: 14.4
Word: nie, start_time: 14.4, end_time: 15.0
Word: chciał, start_time: 15.0, end_time: 15.3
Word: jeść, start_time: 15.3, end_time: 15.5
Word: obiadu, start_time: 15.5, end_time: 16.0
Word: gdy, start_time: 16.0, end_time: 16.7
Word: mu, start_time: 16.7, end_time: 16.8
Word: dadzą, start_time: 16.8, end_time: 17.1
Word: smaczną, start_time: 17.1, end_time: 17.7
Word: zupkę, start_time: 17.7, end_time: 18.3
Word: lub, start_time: 18.3, end_time: 18.9
Word: kawałek, start_time: 18.9, end_time: 19.2
Word: mięsa, start_time: 19.2, end_time: 19.4
Word: ani, start_time: 19.4, end_time: 20.2
Word: łyżki, start_time: 20.2, end_time: 20.5
Word: nie, start_time: 20.5, end_time: 20.9
Word: wypije, start_time: 20.9, end_time: 21.4
Word: nie, start_time: 21.4, end_time: 21.8
Word: zje, start_time: 21.8, end_time: 22.1
Word: ani, start_time: 22.1, end_time: 22.5
