Waiting for operation to complete...
Transcript: Juliusz Słowacki w pamiętniku Zofii Bobrówny Niechaj mnie Zośka o wiersze nie prosi bo kiedy Zośka do ojczyzny wróć i to Każdy kwiatek powie wiersze Zosi każda jej gwiazdka piosenkę zanucił kwiat przekwitnie nim gwiazdeczka zleci słuchaj bo to są najlepsi poeci gwiazdy błękitne kwiateczki czerwone będę ci całe poemata składać ja bym to samo powiedział co one bo ja się od nich nauczyłem gadać bo tam gdzie x i srebrne fale płyną byłem ja niegdyś jak Zośka dzieciną dzisiaj daleko Pojechałem w gości i dalej mnie los nieszczęśliwy goni przywieź mi zośko od tych gwiazd światłości przywieź mi zośko z tamtych kwiatów woni
Confidence: 0.9755407571792603
Word: Juliusz, start_time: 0.0, end_time: 1.1
Word: Słowacki, start_time: 1.1, end_time: 1.2
Word: w, start_time: 1.2, end_time: 1.9
Word: pamiętniku, start_time: 1.9, end_time: 2.9
Word: Zofii, start_time: 2.9, end_time: 3.8
Word: Bobrówny, start_time: 3.8, end_time: 3.8
Word: Niechaj, start_time: 3.8, end_time: 6.5
Word: mnie, start_time: 6.5, end_time: 6.7
Word: Zośka, start_time: 6.7, end_time: 6.8
Word: o, start_time: 6.8, end_time: 7.2
Word: wiersze, start_time: 7.2, end_time: 7.3
Word: nie, start_time: 7.3, end_time: 7.7
Word: prosi, start_time: 7.7, end_time: 7.8
Word: bo, start_time: 7.8, end_time: 9.5
Word: kiedy, start_time: 9.5, end_time: 9.9
Word: Zośka, start_time: 9.9, end_time: 10.2
Word: do, start_time: 10.2, end_time: 10.4
Word: ojczyzny, start_time: 10.4, end_time: 10.8
Word: wróć, start_time: 10.8, end_time: 11.1
Word: i, start_time: 11.1, end_time: 11.3
Word: to, start_time: 11.3, end_time: 12.3
Word: Każdy, start_time: 12.3, end_time: 12.6
Word: kwiatek, start_time: 12.6, end_time: 12.9
Word: powie, start_time: 12.9, end_time: 13.3
Word: wiersze, start_time: 13.3, end_time: 13.7
Word: Zosi, start_time: 13.7, end_time: 14.0
Word: każda, start_time: 14.0, end_time: 15.1
Word: jej, start_time: 15.1, end_time: 15.3
Word: gwiazdka, start_time: 15.3, end_time: 15.6
Word: piosenkę, start_time: 15.6, end_time: 16.4
Word: zanucił, start_time: 16.4, end_time: 16.9
Word: kwiat, start_time: 16.9, end_time: 19.0
Word: przekwitnie, start_time: 19.0, end_time: 19.3
Word: nim, start_time: 19.3, end_time: 20.3
Word: gwiazdeczka, start_time: 20.3, end_time: 20.9
Word: zleci, start_time: 20.9, end_time: 21.4
Word: słuchaj, start_time: 21.4, end_time: 22.1
Word: bo, start_time: 22.1, end_time: 23.0
Word: to, start_time: 23.0, end_time: 23.1
Word: są, start_time: 23.1, end_time: 23.2
Word: najlepsi, start_time: 23.2, end_time: 23.7
Word: poeci, start_time: 23.7, end_time: 24.0
Word: gwiazdy, start_time: 24.0, end_time: 26.4
Word: błękitne, start_time: 26.4, end_time: 27.1
Word: kwiateczki, start_time: 27.1, end_time: 27.8
Word: czerwone, start_time: 27.8, end_time: 28.3
Word: będę, start_time: 28.3, end_time: 29.1
Word: ci, start_time: 29.1, end_time: 29.3
Word: całe, start_time: 29.3, end_time: 29.5
