Waiting for operation to complete...
Transcript: pieśń o stronach któż za młodości Płochy flat nie lubił gry w bakarata gdy ostatniego wezmą Blata ponuro się przedstawiasz świat właśnie pociągnąć passe masz A to pytają gdzie pieniądze tak smutnie po ulicach błądzę gdy wtem znajomą Widzę twarz przyjacielu powiadam mu potrzebuję gwałtem koron stół jak tylko trochę odegram się z wiecznością oddam je cynicznie tylko roześmiał się popatrzył na mnie jak na bzika bocznej ulicy szybko znika i gdzieś się teraz pójdę gdzie za chwilę Saves pierwszy zmrok drobnych kieszeni ani troszkę mniejsza z tym wołam dorożkę na Kazimierz każe pędzić w SKOK panie Geyer mówię bez tchu potrzebuję gwałtem stół
Confidence: 0.8356689810752869
Word: pieśń, start_time: 0.0, end_time: 0.8
Word: o, start_time: 0.8, end_time: 1.0
Word: stronach, start_time: 1.0, end_time: 2.1
Word: któż, start_time: 2.1, end_time: 3.3
Word: za, start_time: 3.3, end_time: 3.4
Word: młodości, start_time: 3.4, end_time: 4.1
Word: Płochy, start_time: 4.1, end_time: 4.6
Word: flat, start_time: 4.6, end_time: 5.0
Word: nie, start_time: 5.0, end_time: 5.6
Word: lubił, start_time: 5.6, end_time: 6.0
Word: gry, start_time: 6.0, end_time: 6.3
Word: w, start_time: 6.3, end_time: 6.4
Word: bakarata, start_time: 6.4, end_time: 7.1
Word: gdy, start_time: 7.1, end_time: 8.4
Word: ostatniego, start_time: 8.4, end_time: 9.1
Word: wezmą, start_time: 9.1, end_time: 9.7
Word: Blata, start_time: 9.7, end_time: 10.4
Word: ponuro, start_time: 10.4, end_time: 11.3
Word: się, start_time: 11.3, end_time: 11.5
Word: przedstawiasz, start_time: 11.5, end_time: 12.3
Word: świat, start_time: 12.3, end_time: 12.6
Word: właśnie, start_time: 12.6, end_time: 13.5
Word: pociągnąć, start_time: 13.5, end_time: 14.7
Word: passe, start_time: 14.7, end_time: 15.4
Word: masz, start_time: 15.4, end_time: 15.6
Word: A, start_time: 15.6, end_time: 15.8
Word: to, start_time: 15.8, end_time: 16.3
Word: pytają, start_time: 16.3, end_time: 16.7
Word: gdzie, start_time: 16.7, end_time: 17.2
Word: pieniądze, start_time: 17.2, end_time: 17.6
Word: tak, start_time: 17.6, end_time: 18.8
Word: smutnie, start_time: 18.8, end_time: 19.5
Word: po, start_time: 19.5, end_time: 19.7
Word: ulicach, start_time: 19.7, end_time: 20.2
Word: błądzę, start_time: 20.2, end_time: 20.8
Word: gdy, start_time: 20.8, end_time: 21.6
Word: wtem, start_time: 21.6, end_time: 21.8
Word: znajomą, start_time: 21.8, end_time: 22.7
Word: Widzę, start_time: 22.7, end_time: 23.2
Word: twarz, start_time: 23.2, end_time: 23.5
Word: przyjacielu, start_time: 23.5, end_time: 25.0
Word: powiadam, start_time: 25.0, end_time: 25.5
Word: mu, start_time: 25.5, end_time: 25.7
Word: potrzebuję, start_time: 25.7, end_time: 26.6
Word: gwałtem, start_time: 26.6, end_time: 27.0
Word: koron, start_time: 27.0, end_time: 27.5
Word: stół, start_time: 27.5, end_time: 27.9
Word: jak, start_time: 27.9, end_time: 28.7
Word: tylko, start_time: 28.7, end_time: 28.9
Word: trochę, start_time: 28.9, end_time: 29.2
Word: odegram, start_time: 29.2, end_time: 30.0
Word: się, start_time: 30.0, end_time: 30.2
Word: z, start_time: 30.2, end_time: 30.4
Word: wiecznością, start_time: 30.4, end_time: 31.1
Word: oddam, start_time: 31.1, end_time: 32.4
Word: je, start_time: 32.4, end_time: 32.6
Word: cynicznie, start_time: 32.6, end_time: 34.1
Word: tylko, start_time: 34.1, end_time: 34.5
Word: roześmiał, start_time: 34.5, end_time: 35.5
Word: się, start_time: 35.5, end_time: 35.5
Word: popatrzył, start_time: 35.5, end_time: 36.9
Word: na, start_time: 36.9, end_time: 36.9
Word: mnie, start_time: 36.9, end_time: 37.2
Word: jak, start_time: 37.2, end_time: 37.4
Word: na, start_time: 37.4, end_time: 37.6
Word: bzika, start_time: 37.6, end_time: 38.0
Word: bocznej, start_time: 38.0, end_time: 39.1
Word: ulicy, start_time: 39.1, end_time: 39.5
Word: szybko, start_time: 39.5, end_time: 39.9
Word: znika, start_time: 39.9, end_time: 40.5
Word: i, start_time: 40.5, end_time: 40.7
Word: gdzieś, start_time: 40.7, end_time: 41.6
Word: się, start_time: 41.6, end_time: 41.7
Word: teraz, start_time: 41.7, end_time: 42.2
Word: pójdę, start_time: 42.2, end_time: 42.5
Word: gdzie, start_time: 42.5, end_time: 43.4
Word: za, start_time: 43.4, end_time: 44.5
Word: chwilę, start_time: 44.5, end_time: 44.9
Word: Saves, start_time: 44.9, end_time: 45.4
Word: pierwszy, start_time: 45.4, end_time: 46.4
Word: zmrok, start_time: 46.4, end_time: 46.7
Word: drobnych, start_time: 46.7, end_time: 47.9
Word: kieszeni, start_time: 47.9, end_time: 48.5
Word: ani, start_time: 48.5, end_time: 48.8
Word: troszkę, start_time: 48.8, end_time: 49.3
Word: mniejsza, start_time: 49.3, end_time: 50.3
Word: z, start_time: 50.3, end_time: 50.3
Word: tym, start_time: 50.3, end_time: 50.6
Word: wołam, start_time: 50.6, end_time: 51.1
Word: dorożkę, start_time: 51.1, end_time: 51.6
Word: na, start_time: 51.6, end_time: 52.2
Word: Kazimierz, start_time: 52.2, end_time: 52.7
Word: każe, start_time: 52.7, end_time: 53.2
Word: pędzić, start_time: 53.2, end_time: 53.8
Word: w, start_time: 53.8, end_time: 53.9
Word: SKOK, start_time: 53.9, end_time: 54.2
Word: panie, start_time: 54.2, end_time: 55.4
Word: Geyer, start_time: 55.4, end_time: 55.9
Word: mówię, start_time: 55.9, end_time: 56.4
Word: bez, start_time: 56.4, end_time: 56.6
Word: tchu, start_time: 56.6, end_time: 57.0
Word: potrzebuję, start_time: 57.0, end_time: 57.8
Word: gwałtem, start_time: 57.8, end_time: 58.2
Word: stół, start_time: 58.2, end_time: 59.1
Transcript: tylko trochę odegram się z procentem oddam je popatrzył na mnie Bestia z jak jest to niech że pan o chłodnie Jak pan ma sprzedać stare spodnie bierz pan 3 Reńskiej Sygit przeklęte bydle jeszcze dalej rozpaczą na wpół obłąkana pędzę do mojej ukochanej z bijącym sercem wchodzę w drzwi ukochana przebiegłem to potrzebuję gwałtem gorąc to jak tylko trochę odegram się z wdzięcznością oddam je najdroższy w tobie szczęście me powiada słodka ta istota Chciałabym mieć kopalnie złota Każde życzenie spełnić twe lecz gorąc to w tak krótki czas próżno się biedna Myślę że ach wiem Już wiem Poproszę męża właśnie pieniądze ma jak raz drugi mężu pogadamy
Confidence: 0.803478479385376
Word: tylko, start_time: 59.9, end_time: 60.4
Word: trochę, start_time: 60.4, end_time: 60.7
Word: odegram, start_time: 60.7, end_time: 61.5
Word: się, start_time: 61.5, end_time: 61.7
Word: z, start_time: 61.7, end_time: 61.9
Word: procentem, start_time: 61.9, end_time: 62.8
Word: oddam, start_time: 62.8, end_time: 63.6
Word: je, start_time: 63.6, end_time: 63.8
Word: popatrzył, start_time: 63.8, end_time: 64.9
Word: na, start_time: 64.9, end_time: 65.0
Word: mnie, start_time: 65.0, end_time: 65.3
Word: Bestia, start_time: 65.3, end_time: 66.0
Word: z, start_time: 66.0, end_time: 66.1
Word: jak, start_time: 66.1, end_time: 67.1
Word: jest, start_time: 67.1, end_time: 67.3
Word: to, start_time: 67.3, end_time: 67.5
Word: niech, start_time: 67.5, end_time: 68.2
Word: że, start_time: 68.2, end_time: 68.3
Word: pan, start_time: 68.3, end_time: 68.6
Word: o, start_time: 68.6, end_time: 68.8
Word: chłodnie, start_time: 68.8, end_time: 69.5
Word: Jak, start_time: 69.5, end_time: 70.4
Word: pan, start_time: 70.4, end_time: 70.7
Word: ma, start_time: 70.7, end_time: 70.8
Word: sprzedać, start_time: 70.8, end_time: 71.5
Word: stare, start_time: 71.5, end_time: 71.9
Word: spodnie, start_time: 71.9, end_time: 72.3
Word: bierz, start_time: 72.3, end_time: 73.2
Word: pan, start_time: 73.2, end_time: 73.4
Word: 3, start_time: 73.4, end_time: 73.7
Word: Reńskiej, start_time: 73.7, end_time: 74.3
Word: Sygit, start_time: 74.3, end_time: 75.3
Word: przeklęte, start_time: 75.3, end_time: 76.7
Word: bydle, start_time: 76.7, end_time: 77.1
Word: jeszcze, start_time: 77.1, end_time: 77.7
Word: dalej, start_time: 77.7, end_time: 78.1
Word: rozpaczą, start_time: 78.1, end_time: 79.4
Word: na, start_time: 79.4, end_time: 79.6
Word: wpół, start_time: 79.6, end_time: 79.9
Word: obłąkana, start_time: 79.9, end_time: 80.2
Word: pędzę, start_time: 80.2, end_time: 81.5
Word: do, start_time: 81.5, end_time: 81.6
Word: mojej, start_time: 81.6, end_time: 81.9
Word: ukochanej, start_time: 81.9, end_time: 82.0
Word: z, start_time: 82.0, end_time: 82.8
Word: bijącym, start_time: 82.8, end_time: 83.7
Word: sercem, start_time: 83.7, end_time: 84.1
Word: wchodzę, start_time: 84.1, end_time: 85.0
Word: w, start_time: 85.0, end_time: 85.1
Word: drzwi, start_time: 85.1, end_time: 85.4
