Waiting for operation to complete...
Transcript: świnka świnia się ucieszył słupka Matka święta czuwa sama uśmiechnięta nad Dzieciątka snem to Dzieciątka snem
Confidence: 0.8397286534309387
Word: świnka, start_time: 33.8, end_time: 39.8
Word: świnia, start_time: 39.8, end_time: 49.4
Word: się, start_time: 49.4, end_time: 51.1
Word: ucieszył, start_time: 51.1, end_time: 54.8
Word: słupka, start_time: 54.8, end_time: 60.0
Word: Matka, start_time: 60.0, end_time: 62.4
Word: święta, start_time: 62.4, end_time: 64.0
Word: czuwa, start_time: 64.0, end_time: 64.4
Word: sama, start_time: 64.4, end_time: 67.1
Word: uśmiechnięta, start_time: 67.1, end_time: 69.5
Word: nad, start_time: 69.5, end_time: 73.1
Word: Dzieciątka, start_time: 73.1, end_time: 74.3
Word: snem, start_time: 74.3, end_time: 78.1
Word: to, start_time: 78.1, end_time: 85.0
Word: Dzieciątka, start_time: 85.0, end_time: 87.5
Word: snem, start_time: 87.5, end_time: 87.9
Transcript: Cicha noc święta noc pastuszków 3 minut Jak nawiązać z Jaskiniowcem To gdzie się spełnić gdzie się spełnił cud świata
Confidence: 0.789486289024353
Word: Cicha, start_time: 92.7, end_time: 94.7
Word: noc, start_time: 94.7, end_time: 95.3
Word: święta, start_time: 95.3, end_time: 97.4
Word: noc, start_time: 97.4, end_time: 99.5
Word: pastuszków, start_time: 99.5, end_time: 103.4
Word: 3, start_time: 103.4, end_time: 108.3
Word: minut, start_time: 108.3, end_time: 109.4
Word: Jak, start_time: 109.4, end_time: 111.9
Word: nawiązać, start_time: 111.9, end_time: 114.8
Word: z, start_time: 114.8, end_time: 116.6
Word: Jaskiniowcem, start_time: 116.6, end_time: 125.1
Word: To, start_time: 125.1, end_time: 125.6
Word: gdzie, start_time: 125.6, end_time: 127.7
Word: się, start_time: 127.7, end_time: 129.3
Word: spełnić, start_time: 129.3, end_time: 132.0
Word: gdzie, start_time: 132.0, end_time: 136.9
Word: się, start_time: 136.9, end_time: 138.6
Word: spełnił, start_time: 138.6, end_time: 139.3
Word: cud, start_time: 139.3, end_time: 141.4
Word: świata, start_time: 141.4, end_time: 150.6
Transcript: Ciekawa jestem ile siedzisz zamulony świadkowie odkupienie win
Confidence: 0.6651206612586975
Word: Ciekawa, start_time: 152.6, end_time: 168.0
Word: jestem, start_time: 168.0, end_time: 169.9
Word: ile, start_time: 169.9, end_time: 171.9
Word: siedzisz, start_time: 171.9, end_time: 175.3
Word: zamulony, start_time: 175.3, end_time: 176.9
Word: świadkowie, start_time: 176.9, end_time: 183.6
Word: odkupienie, start_time: 183.6, end_time: 196.2
Word: win, start_time: 196.2, end_time: 200.6
