Waiting for operation to complete...
Transcript: Jak wygląda niedziela oglądana przez okulary Jana lemańskiego by uniknąć ambarasu wzięto rok zamiary czasu dzielą go bardzo tygodnie na miesiące i tygodnie tydzień znów z grubsza podzielę na zwykłe dni i niedzielę do pracy są zwykłe żonki a niedziela dla małżonki ten dzień by największa dziura wyzwolona jest odbiór A każdy ze swoją niewiastą rad wybiera się za miasto podaj ramię magnifice i jazda z nią na ulicę oczywista że i dziadki z pierwszą obok swego tatki przodem Maryjka a za nią Klementynka brzuś i Franio w ciągu miłej tej podróży człowiek trochę się zakurzył szkoda nowej suknię w groszki Szukaj mężusiu dorożki każda jak to zwykle w święta odpowiada ci zajęta
Confidence: 0.8717893958091736
Word: Jak, start_time: 0.0, end_time: 0.5
Word: wygląda, start_time: 0.5, end_time: 1.0
Word: niedziela, start_time: 1.0, end_time: 1.5
Word: oglądana, start_time: 1.5, end_time: 2.9
Word: przez, start_time: 2.9, end_time: 3.3
Word: okulary, start_time: 3.3, end_time: 3.7
Word: Jana, start_time: 3.7, end_time: 4.3
Word: lemańskiego, start_time: 4.3, end_time: 5.0
Word: by, start_time: 5.0, end_time: 5.8
Word: uniknąć, start_time: 5.8, end_time: 6.2
Word: ambarasu, start_time: 6.2, end_time: 7.2
Word: wzięto, start_time: 7.2, end_time: 8.0
Word: rok, start_time: 8.0, end_time: 8.4
Word: zamiary, start_time: 8.4, end_time: 9.4
Word: czasu, start_time: 9.4, end_time: 9.8
Word: dzielą, start_time: 9.8, end_time: 10.8
Word: go, start_time: 10.8, end_time: 11.1
Word: bardzo, start_time: 11.1, end_time: 11.6
Word: tygodnie, start_time: 11.6, end_time: 12.1
Word: na, start_time: 12.1, end_time: 12.5
Word: miesiące, start_time: 12.5, end_time: 12.6
Word: i, start_time: 12.6, end_time: 13.2
Word: tygodnie, start_time: 13.2, end_time: 13.5
Word: tydzień, start_time: 13.5, end_time: 14.6
Word: znów, start_time: 14.6, end_time: 14.9
Word: z, start_time: 14.9, end_time: 15.1
Word: grubsza, start_time: 15.1, end_time: 15.5
Word: podzielę, start_time: 15.5, end_time: 16.0
