Waiting for operation to complete...
Transcript: litania ku czci pt matrony Krakowskiej Inwokacja dostojna pani sporo lat już mija Jak słucham potulnie i cierpliwie potoków twej wymowy pracz więc przymknąć teraz na chwilę twe słodkie usteczka i pozwól mi przemówić a Postaram się w przeciwieństwie do ciebie pani być zwięzłym i treściwy mody polskiej ziemi chwała ty postaci wpół monarsza ty czcigodna na zbyt mało opiewana damo Starsza tylko z głębin swej kanapy wychylając kibić tłustą brzydkie Svena wstawisz łapy przerażonym naszym uczniom ty co z dostojeństwo w twarzy dźwigasz step potworne kłęby o których lustmord marzy szczerząc zakrwawione Zen
Confidence: 0.8424749970436096
Word: litania, start_time: 0.0, end_time: 0.9
Word: ku, start_time: 0.9, end_time: 1.2
Word: czci, start_time: 1.2, end_time: 1.4
Word: pt, start_time: 1.4, end_time: 2.9
Word: matrony, start_time: 2.9, end_time: 3.7
Word: Krakowskiej, start_time: 3.7, end_time: 4.4
Word: Inwokacja, start_time: 4.4, end_time: 6.2
Word: dostojna, start_time: 6.2, end_time: 8.0
Word: pani, start_time: 8.0, end_time: 8.5
Word: sporo, start_time: 8.5, end_time: 9.5
Word: lat, start_time: 9.5, end_time: 9.9
Word: już, start_time: 9.9, end_time: 10.3
Word: mija, start_time: 10.3, end_time: 10.6
Word: Jak, start_time: 10.6, end_time: 11.4
Word: słucham, start_time: 11.4, end_time: 12.0
Word: potulnie, start_time: 12.0, end_time: 12.5
Word: i, start_time: 12.5, end_time: 12.8
Word: cierpliwie, start_time: 12.8, end_time: 13.6
Word: potoków, start_time: 13.6, end_time: 14.4
Word: twej, start_time: 14.4, end_time: 14.7
Word: wymowy, start_time: 14.7, end_time: 15.3
Word: pracz, start_time: 15.3, end_time: 16.1
Word: więc, start_time: 16.1, end_time: 16.5
Word: przymknąć, start_time: 16.5, end_time: 17.1
Word: teraz, start_time: 17.1, end_time: 17.6
Word: na, start_time: 17.6, end_time: 17.8
Word: chwilę, start_time: 17.8, end_time: 18.2
Word: twe, start_time: 18.2, end_time: 18.4
Word: słodkie, start_time: 18.4, end_time: 18.7
Word: usteczka, start_time: 18.7, end_time: 19.2
Word: i, start_time: 19.2, end_time: 19.6
Word: pozwól, start_time: 19.6, end_time: 20.6
Word: mi, start_time: 20.6, end_time: 20.7
Word: przemówić, start_time: 20.7, end_time: 21.2
Word: a, start_time: 21.2, end_time: 21.7
Word: Postaram, start_time: 21.7, end_time: 22.8
Word: się, start_time: 22.8, end_time: 22.9
Word: w, start_time: 22.9, end_time: 23.2
Word: przeciwieństwie, start_time: 23.2, end_time: 24.4
Word: do, start_time: 24.4, end_time: 24.5
Word: ciebie, start_time: 24.5, end_time: 24.6
Word: pani, start_time: 24.6, end_time: 25.6
Word: być, start_time: 25.6, end_time: 26.2
Word: zwięzłym, start_time: 26.2, end_time: 27.3
Word: i, start_time: 27.3, end_time: 27.4
Word: treściwy, start_time: 27.4, end_time: 28.3
Word: mody, start_time: 28.3, end_time: 29.5
Word: polskiej, start_time: 29.5, end_time: 30.4
Word: ziemi, start_time: 30.4, end_time: 30.5
Word: chwała, start_time: 30.5, end_time: 31.2
Word: ty, start_time: 31.2, end_time: 32.0
Word: postaci, start_time: 32.0, end_time: 33.1
Word: wpół, start_time: 33.1, end_time: 33.7
Word: monarsza, start_time: 33.7, end_time: 34.4
Word: ty, start_time: 34.4, end_time: 35.2
Word: czcigodna, start_time: 35.2, end_time: 36.1
Word: na, start_time: 36.1, end_time: 36.6
Word: zbyt, start_time: 36.6, end_time: 36.8
Word: mało, start_time: 36.8, end_time: 37.3
Word: opiewana, start_time: 37.3, end_time: 38.3
Word: damo, start_time: 38.3, end_time: 39.0
Word: Starsza, start_time: 39.0, end_time: 39.7
Word: tylko, start_time: 39.7, end_time: 41.0
Word: z, start_time: 41.0, end_time: 41.3
Word: głębin, start_time: 41.3, end_time: 41.9
Word: swej, start_time: 41.9, end_time: 42.3
Word: kanapy, start_time: 42.3, end_time: 42.8
Word: wychylając, start_time: 42.8, end_time: 44.1
Word: kibić, start_time: 44.1, end_time: 44.6
Word: tłustą, start_time: 44.6, end_time: 45.2
Word: brzydkie, start_time: 45.2, end_time: 46.4
Word: Svena, start_time: 46.4, end_time: 46.8
Word: wstawisz, start_time: 46.8, end_time: 47.4
Word: łapy, start_time: 47.4, end_time: 47.9
Word: przerażonym, start_time: 47.9, end_time: 49.0
Word: naszym, start_time: 49.0, end_time: 49.5
Word: uczniom, start_time: 49.5, end_time: 49.8
Word: ty, start_time: 49.8, end_time: 50.9
Word: co, start_time: 50.9, end_time: 51.2
Word: z, start_time: 51.2, end_time: 51.3
Word: dostojeństwo, start_time: 51.3, end_time: 52.3
Word: w, start_time: 52.3, end_time: 52.4
Word: twarzy, start_time: 52.4, end_time: 53.0
Word: dźwigasz, start_time: 53.0, end_time: 53.9
Word: step, start_time: 53.9, end_time: 54.3
Word: potworne, start_time: 54.3, end_time: 54.8
Word: kłęby, start_time: 54.8, end_time: 55.3
Word: o, start_time: 55.3, end_time: 55.5
Word: których, start_time: 55.5, end_time: 56.2
