Waiting for operation to complete...
Transcript: część pierwsza przedmowa w której każdy odnajdzie własne wspomnienia małżeńskie Pewnego dnia przyjacielu mówić o młodej osobie prywatnej rodziny dobrze wychowana ładna i 300 000 franków gotówką marzyłeś zawsze o spotkaniu istoty tak doskonałej zazwyczaj wszystkie przypadkowe spotkania są z góry ułożone nawiązujesz rozmowę z zachwycająco istotą Która okazuje niezmierną lękliwość ty śliczna zabawa nieprawdaż ona ich tak zostałeś dopuszczony do starania się o młodą osobę teściowa do przyszłego zięcia nie uwierzyłby pan jak bardzo to drogie maleństwo umie się przywiązać Jednakże między dwoma rodzinami zachodzą trudności z powodu kwestii majątkowych
Confidence: 0.941626250743866
Word: część, start_time: 0.0, end_time: 0.8
Word: pierwsza, start_time: 0.8, end_time: 1.3
Word: przedmowa, start_time: 1.3, end_time: 2.6
Word: w, start_time: 2.6, end_time: 2.7
Word: której, start_time: 2.7, end_time: 3.4
Word: każdy, start_time: 3.4, end_time: 3.8
Word: odnajdzie, start_time: 3.8, end_time: 4.1
Word: własne, start_time: 4.1, end_time: 5.1
Word: wspomnienia, start_time: 5.1, end_time: 5.8
Word: małżeńskie, start_time: 5.8, end_time: 6.6
Word: Pewnego, start_time: 6.6, end_time: 7.6
Word: dnia, start_time: 7.6, end_time: 7.7
Word: przyjacielu, start_time: 7.7, end_time: 9.0
Word: mówić, start_time: 9.0, end_time: 9.4
Word: o, start_time: 9.4, end_time: 9.5
Word: młodej, start_time: 9.5, end_time: 10.3
Word: osobie, start_time: 10.3, end_time: 10.8
Word: prywatnej, start_time: 10.8, end_time: 11.8
Word: rodziny, start_time: 11.8, end_time: 13.0
Word: dobrze, start_time: 13.0, end_time: 13.7
Word: wychowana, start_time: 13.7, end_time: 14.4
Word: ładna, start_time: 14.4, end_time: 15.2
Word: i, start_time: 15.2, end_time: 15.4
Word: 300, start_time: 15.4, end_time: 16.6
Word: 000, start_time: 16.6, end_time: 16.9
Word: franków, start_time: 16.9, end_time: 17.9
Word: gotówką, start_time: 17.9, end_time: 18.5
Word: marzyłeś, start_time: 18.5, end_time: 20.1
Word: zawsze, start_time: 20.1, end_time: 20.6
Word: o, start_time: 20.6, end_time: 20.6
Word: spotkaniu, start_time: 20.6, end_time: 21.3
Word: istoty, start_time: 21.3, end_time: 21.9
Word: tak, start_time: 21.9, end_time: 22.2
Word: doskonałej, start_time: 22.2, end_time: 23.1
Word: zazwyczaj, start_time: 23.1, end_time: 24.3
Word: wszystkie, start_time: 24.3, end_time: 24.8
Word: przypadkowe, start_time: 24.8, end_time: 25.4
Word: spotkania, start_time: 25.4, end_time: 25.9
Word: są, start_time: 25.9, end_time: 26.0
Word: z, start_time: 26.0, end_time: 26.1
Word: góry, start_time: 26.1, end_time: 26.4
Word: ułożone, start_time: 26.4, end_time: 27.2
Word: nawiązujesz, start_time: 27.2, end_time: 28.4
Word: rozmowę, start_time: 28.4, end_time: 29.1
Word: z, start_time: 29.1, end_time: 29.2
Word: zachwycająco, start_time: 29.2, end_time: 30.2
Word: istotą, start_time: 30.2, end_time: 30.8
Word: Która, start_time: 30.8, end_time: 31.4
Word: okazuje, start_time: 31.4, end_time: 32.2
Word: niezmierną, start_time: 32.2, end_time: 33.2
Word: lękliwość, start_time: 33.2, end_time: 33.9
Word: ty, start_time: 33.9, end_time: 34.8
Word: śliczna, start_time: 34.8, end_time: 36.2
Word: zabawa, start_time: 36.2, end_time: 36.7
Word: nieprawdaż, start_time: 36.7, end_time: 37.6
Word: ona, start_time: 37.6, end_time: 38.6
Word: ich, start_time: 38.6, end_time: 39.9
Word: tak, start_time: 39.9, end_time: 40.1
Word: zostałeś, start_time: 40.1, end_time: 42.1
Word: dopuszczony, start_time: 42.1, end_time: 42.8
Word: do, start_time: 42.8, end_time: 43.0
Word: starania, start_time: 43.0, end_time: 43.4
Word: się, start_time: 43.4, end_time: 43.6
Word: o, start_time: 43.6, end_time: 43.8
Word: młodą, start_time: 43.8, end_time: 44.4
Word: osobę, start_time: 44.4, end_time: 45.0
Word: teściowa, start_time: 45.0, end_time: 46.4
Word: do, start_time: 46.4, end_time: 47.1
Word: przyszłego, start_time: 47.1, end_time: 47.5
Word: zięcia, start_time: 47.5, end_time: 47.6
Word: nie, start_time: 47.6, end_time: 48.8
Word: uwierzyłby, start_time: 48.8, end_time: 49.4
Word: pan, start_time: 49.4, end_time: 49.6
Word: jak, start_time: 49.6, end_time: 50.1
Word: bardzo, start_time: 50.1, end_time: 50.5
Word: to, start_time: 50.5, end_time: 50.8
Word: drogie, start_time: 50.8, end_time: 51.4
Word: maleństwo, start_time: 51.4, end_time: 51.7
Word: umie, start_time: 51.7, end_time: 52.5
