Waiting for operation to complete...
Transcript: trzecie podanie przetworzone królowi dnia 5 lutego 1669 najjaśniejszy panie pewien bardzo znamienity lekarz którego mam zaszczyt być pacjentem Krzyżykami i zobowiązuje się Rental nie i chu trzyma mnie przy życiu jeszcze 30 lat jeśli zdołam uzyskać jedną maskę waszej królewskiej mości powiedziałem mu na te obietnice że nie żądam tak wiele i Zadowolę się w zupełności zobowiązaniem istnienie z gładzi ze świata Kałaska najjaśniejszy Panie to Kanonia na dwornej kaplicy Vinson opróżnione i przez śmierć Czy wolno mi będzie prosić jeszcze o te łaskę waszą królewską mość właśnie w dniu wspaniałego Zmartwychwstania Tarifa wskrzeszonego Dzięki jego dobroci przez ten pierwszy znak twojej dobroci pojechałem się z ludźmi wiary przez drugi pojednał bym się z lekarzami jest to z pewnością dla mnie zbyt wiele łask i na raz ale może nie nazbyt wiele dla waszej królewskiej mości
Confidence: 0.9505234360694885
Word: trzecie, start_time: 0.0, end_time: 0.8
Word: podanie, start_time: 0.8, end_time: 1.3
Word: przetworzone, start_time: 1.3, end_time: 1.9
Word: królowi, start_time: 1.9, end_time: 2.3
Word: dnia, start_time: 2.3, end_time: 2.6
Word: 5, start_time: 2.6, end_time: 2.9
Word: lutego, start_time: 2.9, end_time: 3.3
Word: 1669, start_time: 3.3, end_time: 5.2
Word: najjaśniejszy, start_time: 5.2, end_time: 7.9
Word: panie, start_time: 7.9, end_time: 8.0
Word: pewien, start_time: 8.0, end_time: 8.9
Word: bardzo, start_time: 8.9, end_time: 9.2
Word: znamienity, start_time: 9.2, end_time: 9.9
Word: lekarz, start_time: 9.9, end_time: 10.3
Word: którego, start_time: 10.3, end_time: 10.8
Word: mam, start_time: 10.8, end_time: 11.0
Word: zaszczyt, start_time: 11.0, end_time: 11.3
Word: być, start_time: 11.3, end_time: 11.5
Word: pacjentem, start_time: 11.5, end_time: 11.8
Word: Krzyżykami, start_time: 11.8, end_time: 13.3
Word: i, start_time: 13.3, end_time: 13.5
Word: zobowiązuje, start_time: 13.5, end_time: 14.3
Word: się, start_time: 14.3, end_time: 14.3
Word: Rental, start_time: 14.3, end_time: 15.0
Word: nie, start_time: 15.0, end_time: 15.2
Word: i, start_time: 15.2, end_time: 15.3
Word: chu, start_time: 15.3, end_time: 15.8
Word: trzyma, start_time: 15.8, end_time: 16.2
Word: mnie, start_time: 16.2, end_time: 16.4
Word: przy, start_time: 16.4, end_time: 16.7
Word: życiu, start_time: 16.7, end_time: 16.8
Word: jeszcze, start_time: 16.8, end_time: 17.3
Word: 30, start_time: 17.3, end_time: 18.1
Word: lat, start_time: 18.1, end_time: 18.4
Word: jeśli, start_time: 18.4, end_time: 19.1
Word: zdołam, start_time: 19.1, end_time: 19.8
Word: uzyskać, start_time: 19.8, end_time: 20.6
Word: jedną, start_time: 20.6, end_time: 20.9
Word: maskę, start_time: 20.9, end_time: 21.3
Word: waszej, start_time: 21.3, end_time: 21.8
Word: królewskiej, start_time: 21.8, end_time: 22.3
Word: mości, start_time: 22.3, end_time: 22.4
Word: powiedziałem, start_time: 22.4, end_time: 23.8
Word: mu, start_time: 23.8, end_time: 24.0
Word: na, start_time: 24.0, end_time: 24.1
Word: te, start_time: 24.1, end_time: 24.3
Word: obietnice, start_time: 24.3, end_time: 24.6
Word: że, start_time: 24.6, end_time: 25.2
Word: nie, start_time: 25.2, end_time: 25.3
Word: żądam, start_time: 25.3, end_time: 25.7
Word: tak, start_time: 25.7, end_time: 25.9
Word: wiele, start_time: 25.9, end_time: 26.2
Word: i, start_time: 26.2, end_time: 26.3
Word: Zadowolę, start_time: 26.3, end_time: 26.8
Word: się, start_time: 26.8, end_time: 26.9
Word: w, start_time: 26.9, end_time: 27.0
Word: zupełności, start_time: 27.0, end_time: 27.4
Word: zobowiązaniem, start_time: 27.4, end_time: 28.5
Word: istnienie, start_time: 28.5, end_time: 29.4
Word: z, start_time: 29.4, end_time: 29.5
Word: gładzi, start_time: 29.5, end_time: 29.9
Word: ze, start_time: 29.9, end_time: 30.0
Word: świata, start_time: 30.0, end_time: 30.4
Word: Kałaska, start_time: 30.4, end_time: 31.4
Word: najjaśniejszy, start_time: 31.4, end_time: 32.3
Word: Panie, start_time: 32.3, end_time: 32.4
Word: to, start_time: 32.4, end_time: 32.9
Word: Kanonia, start_time: 32.9, end_time: 33.5
Word: na, start_time: 33.5, end_time: 33.7
Word: dwornej, start_time: 33.7, end_time: 34.1
Word: kaplicy, start_time: 34.1, end_time: 34.8
Word: Vinson, start_time: 34.8, end_time: 35.4
Word: opróżnione, start_time: 35.4, end_time: 36.4
Word: i, start_time: 36.4, end_time: 36.5
Word: przez, start_time: 36.5, end_time: 36.7
Word: śmierć, start_time: 36.7, end_time: 37.1
Word: Czy, start_time: 37.1, end_time: 37.8
Word: wolno, start_time: 37.8, end_time: 38.2
Word: mi, start_time: 38.2, end_time: 38.3
Word: będzie, start_time: 38.3, end_time: 38.6
Word: prosić, start_time: 38.6, end_time: 38.9
Word: jeszcze, start_time: 38.9, end_time: 39.1
Word: o, start_time: 39.1, end_time: 39.3
Word: te, start_time: 39.3, end_time: 39.5
Word: łaskę, start_time: 39.5, end_time: 40.0
Word: waszą, start_time: 40.0, end_time: 40.3
Word: królewską, start_time: 40.3, end_time: 40.8
Word: mość, start_time: 40.8, end_time: 41.1
Word: właśnie, start_time: 41.1, end_time: 42.0
Word: w, start_time: 42.0, end_time: 42.1
Word: dniu, start_time: 42.1, end_time: 42.3
Word: wspaniałego, start_time: 42.3, end_time: 43.0
Word: Zmartwychwstania, start_time: 43.0, end_time: 44.1
Word: Tarifa, start_time: 44.1, end_time: 44.8
Word: wskrzeszonego, start_time: 44.8, end_time: 45.9
Word: Dzięki, start_time: 45.9, end_time: 46.3
Word: jego, start_time: 46.3, end_time: 46.5
Word: dobroci, start_time: 46.5, end_time: 47.1
Word: przez, start_time: 47.1, end_time: 47.7
Word: ten, start_time: 47.7, end_time: 47.8
Word: pierwszy, start_time: 47.8, end_time: 48.2
Word: znak, start_time: 48.2, end_time: 48.5
Word: twojej, start_time: 48.5, end_time: 48.9
Word: dobroci, start_time: 48.9, end_time: 49.1
Word: pojechałem, start_time: 49.1, end_time: 50.0
Word: się, start_time: 50.0, end_time: 50.1
Word: z, start_time: 50.1, end_time: 50.2
Word: ludźmi, start_time: 50.2, end_time: 50.5
Word: wiary, start_time: 50.5, end_time: 50.9
Word: przez, start_time: 50.9, end_time: 51.6
Word: drugi, start_time: 51.6, end_time: 51.9
Word: pojednał, start_time: 51.9, end_time: 52.4
Word: bym, start_time: 52.4, end_time: 52.6
Word: się, start_time: 52.6, end_time: 52.7
Word: z, start_time: 52.7, end_time: 52.8
Word: lekarzami, start_time: 52.8, end_time: 53.3
Word: jest, start_time: 53.3, end_time: 53.9
Word: to, start_time: 53.9, end_time: 54.1
Word: z, start_time: 54.1, end_time: 54.2
Word: pewnością, start_time: 54.2, end_time: 54.5
Word: dla, start_time: 54.5, end_time: 54.9
Word: mnie, start_time: 54.9, end_time: 55.1
Word: zbyt, start_time: 55.1, end_time: 55.4
Word: wiele, start_time: 55.4, end_time: 55.7
Word: łask, start_time: 55.7, end_time: 55.9
Word: i, start_time: 55.9, end_time: 56.1
Word: na, start_time: 56.1, end_time: 56.2
Word: raz, start_time: 56.2, end_time: 56.5
Word: ale, start_time: 56.5, end_time: 57.1
Word: może, start_time: 57.1, end_time: 57.3
Word: nie, start_time: 57.3, end_time: 57.5
Word: nazbyt, start_time: 57.5, end_time: 57.9
Word: wiele, start_time: 57.9, end_time: 58.0
Word: dla, start_time: 58.0, end_time: 58.5
Word: waszej, start_time: 58.5, end_time: 58.8
Word: królewskiej, start_time: 58.8, end_time: 59.3
Word: mości, start_time: 59.3, end_time: 59.4
Transcript: to też oczekuję z nieśmiałą i pełną szacunku nadzieją jej odpowiedzi na te prośbę
Confidence: 0.8561040163040161
Word: to, start_time: 59.9, end_time: 60.3
Word: też, start_time: 60.3, end_time: 60.5
Word: oczekuję, start_time: 60.5, end_time: 61.1
Word: z, start_time: 61.1, end_time: 61.1
Word: nieśmiałą, start_time: 61.1, end_time: 61.8
Word: i, start_time: 61.8, end_time: 62.0
Word: pełną, start_time: 62.0, end_time: 62.4
Word: szacunku, start_time: 62.4, end_time: 62.9
Word: nadzieją, start_time: 62.9, end_time: 63.4
Word: jej, start_time: 63.4, end_time: 63.7
Word: odpowiedzi, start_time: 63.7, end_time: 64.5
Word: na, start_time: 64.5, end_time: 64.7
Word: te, start_time: 64.7, end_time: 64.8
Word: prośbę, start_time: 64.8, end_time: 65.3
