Waiting for operation to complete...
Transcript: Bruno Jasieński but w butonierce dedykacja brunowi jasińskiemu genialne mu twórcy buta w butonierce tę książkę zielonych możliwości poświęcam
Confidence: 0.904156506061554
Word: Bruno, start_time: 0.0, end_time: 0.30000000000000004
Word: Jasieński, start_time: 0.30000000000000004, end_time: 1.0
Word: but, start_time: 1.0, end_time: 1.9
Word: w, start_time: 1.9, end_time: 2.2
Word: butonierce, start_time: 2.2, end_time: 2.9
Word: dedykacja, start_time: 2.9, end_time: 5.5
Word: brunowi, start_time: 5.5, end_time: 7.7
Word: jasińskiemu, start_time: 7.7, end_time: 8.5
Word: genialne, start_time: 8.5, end_time: 9.2
Word: mu, start_time: 9.2, end_time: 9.5
Word: twórcy, start_time: 9.5, end_time: 10.0
Word: buta, start_time: 10.0, end_time: 10.4
Word: w, start_time: 10.4, end_time: 10.5
Word: butonierce, start_time: 10.5, end_time: 10.8
Word: tę, start_time: 10.8, end_time: 12.1
Word: książkę, start_time: 12.1, end_time: 12.3
Word: zielonych, start_time: 12.3, end_time: 13.5
Word: możliwości, start_time: 13.5, end_time: 14.2
Word: poświęcam, start_time: 14.2, end_time: 15.5
