Waiting for operation to complete...
Transcript: Juliusz Słowacki do matki zadrzeć nieraz serce miła matko moja widząc powracających i ułaskawionych kląć będziesz że tak Twarda była na mnie zbroja i tak wielkie wytrwanie w zamiarach szalonych wiem żebym ci wrócę niemowlat przysporzył mów kiedy cię spyta ją Czy twój syn powraca że syn twój na sztandarach jak pies się położył i choć wołasz nie idzie oczy tylko zwraca oczy zwraca ku tobie więcej nic nie może tylko spojrzeniem tobie smutek swój tłumaczy od woli konający nie iść na obrożę też woli zamiast hańby choć parę rozpaczy przebacz że mu o moja ty piastunka droga że się tak zaprzepaścił
Confidence: 0.8599482774734497
Word: Juliusz, start_time: 0.0, end_time: 1.1
Word: Słowacki, start_time: 1.1, end_time: 1.3
Word: do, start_time: 1.3, end_time: 3.0
Word: matki, start_time: 3.0, end_time: 3.0
Word: zadrzeć, start_time: 3.0, end_time: 5.4
Word: nieraz, start_time: 5.4, end_time: 5.9
Word: serce, start_time: 5.9, end_time: 6.4
Word: miła, start_time: 6.4, end_time: 7.1
Word: matko, start_time: 7.1, end_time: 7.4
Word: moja, start_time: 7.4, end_time: 7.7
Word: widząc, start_time: 7.7, end_time: 8.7
Word: powracających, start_time: 8.7, end_time: 9.5
Word: i, start_time: 9.5, end_time: 9.6
Word: ułaskawionych, start_time: 9.6, end_time: 10.6
Word: kląć, start_time: 10.6, end_time: 12.2
Word: będziesz, start_time: 12.2, end_time: 12.6
Word: że, start_time: 12.6, end_time: 13.3
Word: tak, start_time: 13.3, end_time: 13.5
Word: Twarda, start_time: 13.5, end_time: 13.9
Word: była, start_time: 13.9, end_time: 14.0
Word: na, start_time: 14.0, end_time: 14.3
Word: mnie, start_time: 14.3, end_time: 14.5
Word: zbroja, start_time: 14.5, end_time: 14.7
Word: i, start_time: 14.7, end_time: 15.1
Word: tak, start_time: 15.1, end_time: 16.2
Word: wielkie, start_time: 16.2, end_time: 16.7
Word: wytrwanie, start_time: 16.7, end_time: 17.3
Word: w, start_time: 17.3, end_time: 17.4
Word: zamiarach, start_time: 17.4, end_time: 17.8
Word: szalonych, start_time: 17.8, end_time: 18.4
Word: wiem, start_time: 18.4, end_time: 21.0
Word: żebym, start_time: 21.0, end_time: 21.5
Word: ci, start_time: 21.5, end_time: 21.6
Word: wrócę, start_time: 21.6, end_time: 21.8
Word: niemowlat, start_time: 21.8, end_time: 22.8
Word: przysporzył, start_time: 22.8, end_time: 23.5
Word: mów, start_time: 23.5, end_time: 25.5
Word: kiedy, start_time: 25.5, end_time: 25.7
Word: cię, start_time: 25.7, end_time: 25.9
Word: spyta, start_time: 25.9, end_time: 26.2
Word: ją, start_time: 26.2, end_time: 26.4
Word: Czy, start_time: 26.4, end_time: 26.6
Word: twój, start_time: 26.6, end_time: 27.0
Word: syn, start_time: 27.0, end_time: 27.2
Word: powraca, start_time: 27.2, end_time: 27.9
Word: że, start_time: 27.9, end_time: 28.5
Word: syn, start_time: 28.5, end_time: 28.8
Word: twój, start_time: 28.8, end_time: 29.0
Word: na, start_time: 29.0, end_time: 29.1
Word: sztandarach, start_time: 29.1, end_time: 29.6
Word: jak, start_time: 29.6, end_time: 30.3
Word: pies, start_time: 30.3, end_time: 30.5
Word: się, start_time: 30.5, end_time: 30.6
Word: położył, start_time: 30.6, end_time: 31.3
Word: i, start_time: 31.3, end_time: 31.4
Word: choć, start_time: 31.4, end_time: 32.9
Word: wołasz, start_time: 32.9, end_time: 33.2
Word: nie, start_time: 33.2, end_time: 33.4
Word: idzie, start_time: 33.4, end_time: 33.7
Word: oczy, start_time: 33.7, end_time: 35.1
Word: tylko, start_time: 35.1, end_time: 35.2
Word: zwraca, start_time: 35.2, end_time: 35.7
Word: oczy, start_time: 35.7, end_time: 37.2
Word: zwraca, start_time: 37.2, end_time: 37.6
Word: ku, start_time: 37.6, end_time: 37.7
Word: tobie, start_time: 37.7, end_time: 37.9
Word: więcej, start_time: 37.9, end_time: 39.2
Word: nic, start_time: 39.2, end_time: 39.4
Word: nie, start_time: 39.4, end_time: 39.5
Word: może, start_time: 39.5, end_time: 39.9
Word: tylko, start_time: 39.9, end_time: 42.0
Word: spojrzeniem, start_time: 42.0, end_time: 42.8
Word: tobie, start_time: 42.8, end_time: 43.1
Word: smutek, start_time: 43.1, end_time: 43.4
Word: swój, start_time: 43.4, end_time: 43.7
Word: tłumaczy, start_time: 43.7, end_time: 44.2
Word: od, start_time: 44.2, end_time: 46.2
Word: woli, start_time: 46.2, end_time: 46.5
Word: konający, start_time: 46.5, end_time: 47.1
Word: nie, start_time: 47.1, end_time: 47.5
Word: iść, start_time: 47.5, end_time: 47.7
Word: na, start_time: 47.7, end_time: 47.9
Word: obrożę, start_time: 47.9, end_time: 48.4
Word: też, start_time: 48.4, end_time: 49.9
Word: woli, start_time: 49.9, end_time: 50.3
Word: zamiast, start_time: 50.3, end_time: 50.7
Word: hańby, start_time: 50.7, end_time: 51.2
Word: choć, start_time: 51.2, end_time: 51.7
Word: parę, start_time: 51.7, end_time: 52.0
Word: rozpaczy, start_time: 52.0, end_time: 52.6
Word: przebacz, start_time: 52.6, end_time: 55.1
Word: że, start_time: 55.1, end_time: 55.3
Word: mu, start_time: 55.3, end_time: 55.4
Word: o, start_time: 55.4, end_time: 55.5
Word: moja, start_time: 55.5, end_time: 56.4
Word: ty, start_time: 56.4, end_time: 56.5
Word: piastunka, start_time: 56.5, end_time: 57.1
Word: droga, start_time: 57.1, end_time: 57.5
Word: że, start_time: 57.5, end_time: 58.2
Word: się, start_time: 58.2, end_time: 58.3
Word: tak, start_time: 58.3, end_time: 58.5
Word: zaprzepaścił, start_time: 58.5, end_time: 59.7
Transcript: i tak za czeluści przebacz bo gdyby nie to że opuścić Boga trzeba by to by ciebie pewno nie opuścił
Confidence: 0.8501384854316711
Word: i, start_time: 59.9, end_time: 60.0
Word: tak, start_time: 60.0, end_time: 60.4
Word: za, start_time: 60.4, end_time: 60.6
Word: czeluści, start_time: 60.6, end_time: 61.1
Word: przebacz, start_time: 61.1, end_time: 62.8
Word: bo, start_time: 62.8, end_time: 64.2
Word: gdyby, start_time: 64.2, end_time: 64.5
Word: nie, start_time: 64.5, end_time: 64.6
Word: to, start_time: 64.6, end_time: 64.8
Word: że, start_time: 64.8, end_time: 65.0
Word: opuścić, start_time: 65.0, end_time: 66.0
Word: Boga, start_time: 66.0, end_time: 66.4
Word: trzeba, start_time: 66.4, end_time: 66.8
Word: by, start_time: 66.8, end_time: 66.9
Word: to, start_time: 66.9, end_time: 68.4
Word: by, start_time: 68.4, end_time: 68.5
Word: ciebie, start_time: 68.5, end_time: 68.6
Word: pewno, start_time: 68.6, end_time: 69.1
Word: nie, start_time: 69.1, end_time: 69.2
Word: opuścił, start_time: 69.2, end_time: 69.8
