Waiting for operation to complete...
Transcript: bracia Patrzcie jeno jakiegoś dziwnego świecie jest ludzi Budy warty stada Niech mi pan układa a my do Betlejem do Betlejem jak tam gwiazda świeci słońce
Confidence: 0.8747950792312622
Word: bracia, start_time: 0.0, end_time: 19.3
Word: Patrzcie, start_time: 19.3, end_time: 19.6
Word: jeno, start_time: 19.6, end_time: 19.8
Word: jakiegoś, start_time: 19.8, end_time: 25.7
Word: dziwnego, start_time: 25.7, end_time: 26.0
Word: świecie, start_time: 26.0, end_time: 29.0
Word: jest, start_time: 29.0, end_time: 30.2
Word: ludzi, start_time: 30.2, end_time: 30.3
Word: Budy, start_time: 30.3, end_time: 31.8
Word: warty, start_time: 31.8, end_time: 32.7
Word: stada, start_time: 32.7, end_time: 33.1
Word: Niech, start_time: 33.1, end_time: 34.2
Word: mi, start_time: 34.2, end_time: 34.6
Word: pan, start_time: 34.6, end_time: 35.6
Word: układa, start_time: 35.6, end_time: 36.3
Word: a, start_time: 36.3, end_time: 36.5
Word: my, start_time: 36.5, end_time: 37.3
Word: do, start_time: 37.3, end_time: 37.6
Word: Betlejem, start_time: 37.6, end_time: 37.7
Word: do, start_time: 37.7, end_time: 39.6
Word: Betlejem, start_time: 39.6, end_time: 39.9
Word: jak, start_time: 39.9, end_time: 55.7
Word: tam, start_time: 55.7, end_time: 55.9
Word: gwiazda, start_time: 55.9, end_time: 56.0
Word: świeci, start_time: 56.0, end_time: 58.2
Word: słońce, start_time: 58.2, end_time: 58.7
Transcript: telefon dla uczczenia dlaczego się śmiałem i wesołych świąt my Company w Betlejem w Betlejem Zabrze powiedziałeś że zostały żeby dzieci Boga świata sobie zobaczymy przyjemnie ogród Elżbieta Niesamowite przygody Aladyna dla całego szczęśliwa Dolina światłości do chwili gdy wyśmiewana zobacz
Confidence: 0.932791531085968
Word: telefon, start_time: 60.2, end_time: 61.3
Word: dla, start_time: 61.3, end_time: 61.5
Word: uczczenia, start_time: 61.5, end_time: 62.0
Word: dlaczego, start_time: 62.0, end_time: 64.8
Word: się, start_time: 64.8, end_time: 65.0
Word: śmiałem, start_time: 65.0, end_time: 67.9
Word: i, start_time: 67.9, end_time: 68.0
Word: wesołych, start_time: 68.0, end_time: 69.3
Word: świąt, start_time: 69.3, end_time: 69.6
Word: my, start_time: 69.6, end_time: 71.9
Word: Company, start_time: 71.9, end_time: 73.6
Word: w, start_time: 73.6, end_time: 73.7
Word: Betlejem, start_time: 73.7, end_time: 74.9
Word: w, start_time: 74.9, end_time: 75.0
Word: Betlejem, start_time: 75.0, end_time: 76.9
Word: Zabrze, start_time: 76.9, end_time: 79.3
Word: powiedziałeś, start_time: 79.3, end_time: 80.6
Word: że, start_time: 80.6, end_time: 81.5
Word: zostały, start_time: 81.5, end_time: 82.9
Word: żeby, start_time: 82.9, end_time: 83.1
Word: dzieci, start_time: 83.1, end_time: 85.3
Word: Boga, start_time: 85.3, end_time: 85.8
Word: świata, start_time: 85.8, end_time: 86.6
Word: sobie, start_time: 86.6, end_time: 88.4
Word: zobaczymy, start_time: 88.4, end_time: 89.4
Word: przyjemnie, start_time: 89.4, end_time: 91.8
Word: ogród, start_time: 91.8, end_time: 93.2
Word: Elżbieta, start_time: 93.2, end_time: 94.5
Word: Niesamowite, start_time: 94.5, end_time: 96.3
Word: przygody, start_time: 96.3, end_time: 97.7
Word: Aladyna, start_time: 97.7, end_time: 106.3
Word: dla, start_time: 106.3, end_time: 108.6
Word: całego, start_time: 108.6, end_time: 110.5
Word: szczęśliwa, start_time: 110.5, end_time: 112.6
Word: Dolina, start_time: 112.6, end_time: 113.0
Word: światłości, start_time: 113.0, end_time: 115.9
Word: do, start_time: 115.9, end_time: 116.9
Word: chwili, start_time: 116.9, end_time: 117.4
Word: gdy, start_time: 117.4, end_time: 117.6
Word: wyśmiewana, start_time: 117.6, end_time: 118.9
Word: zobacz, start_time: 118.9, end_time: 120.0
Transcript: kobiecyporadnik.pl
Confidence: 0.21039021015167236
Word: kobiecyporadnik.pl, start_time: 120.2, end_time: 136.8
