Waiting for operation to complete...
Transcript: Bruno Jasieński but w butonierce but w butonierce zmarnowałem podeszwy w całodziennych spieszenie teraz jestem słoneczny siebie pirat idę młody genialny trzymam ręce w kieszeniach stawiam kroki milowe zamaszyste jakich świat nie zatrzymam się nigdzie na rozstajach na wiorsta bo mnie nie się coś wiecznie motorycznie i przed nią strachy na wróble w eleganckich windhorst wszystkim Kłaniam się grzecznie i poprawia mi pled w parku cieniu krokiety jakiś meeting panieński dyskutują o sztuce objawiając swój traw ona jeszcze nie wiedzą one jeszcze nie wierzą pojemność futuryzm niewiadoma x chodźmy biegać panienki niech się główki o świeżą będzie lepiej smakować poobiedni wzór Fix
Confidence: 0.8451365828514099
Word: Bruno, start_time: 0.0, end_time: 0.6000000000000001
Word: Jasieński, start_time: 0.6000000000000001, end_time: 1.3
Word: but, start_time: 1.3, end_time: 2.5
Word: w, start_time: 2.5, end_time: 2.7
Word: butonierce, start_time: 2.7, end_time: 3.0
Word: but, start_time: 3.0, end_time: 5.0
Word: w, start_time: 5.0, end_time: 5.2
Word: butonierce, start_time: 5.2, end_time: 5.5
Word: zmarnowałem, start_time: 5.5, end_time: 8.1
Word: podeszwy, start_time: 8.1, end_time: 8.6
Word: w, start_time: 8.6, end_time: 8.7
Word: całodziennych, start_time: 8.7, end_time: 8.9
Word: spieszenie, start_time: 8.9, end_time: 9.7
Word: teraz, start_time: 9.7, end_time: 10.4
Word: jestem, start_time: 10.4, end_time: 10.7
Word: słoneczny, start_time: 10.7, end_time: 11.4
Word: siebie, start_time: 11.4, end_time: 11.8
Word: pirat, start_time: 11.8, end_time: 12.6
Word: idę, start_time: 12.6, end_time: 13.5
Word: młody, start_time: 13.5, end_time: 14.0
Word: genialny, start_time: 14.0, end_time: 14.2
Word: trzymam, start_time: 14.2, end_time: 15.5
Word: ręce, start_time: 15.5, end_time: 15.7
Word: w, start_time: 15.7, end_time: 15.9
Word: kieszeniach, start_time: 15.9, end_time: 16.4
Word: stawiam, start_time: 16.4, end_time: 17.1
Word: kroki, start_time: 17.1, end_time: 17.4
Word: milowe, start_time: 17.4, end_time: 17.6
Word: zamaszyste, start_time: 17.6, end_time: 18.9
Word: jakich, start_time: 18.9, end_time: 19.2
Word: świat, start_time: 19.2, end_time: 19.5
Word: nie, start_time: 19.5, end_time: 20.9
Word: zatrzymam, start_time: 20.9, end_time: 21.4
Word: się, start_time: 21.4, end_time: 21.5
Word: nigdzie, start_time: 21.5, end_time: 21.7
Word: na, start_time: 21.7, end_time: 21.9
Word: rozstajach, start_time: 21.9, end_time: 22.6
Word: na, start_time: 22.6, end_time: 22.8
Word: wiorsta, start_time: 22.8, end_time: 23.3
Word: bo, start_time: 23.3, end_time: 24.0
Word: mnie, start_time: 24.0, end_time: 24.2
Word: nie, start_time: 24.2, end_time: 24.2
Word: się, start_time: 24.2, end_time: 24.5
Word: coś, start_time: 24.5, end_time: 24.7
Word: wiecznie, start_time: 24.7, end_time: 25.2
Word: motorycznie, start_time: 25.2, end_time: 25.9
Word: i, start_time: 25.9, end_time: 26.0
Word: przed, start_time: 26.0, end_time: 26.5
Word: nią, start_time: 26.5, end_time: 27.6
Word: strachy, start_time: 27.6, end_time: 28.1
Word: na, start_time: 28.1, end_time: 28.1
Word: wróble, start_time: 28.1, end_time: 28.3
Word: w, start_time: 28.3, end_time: 28.6
Word: eleganckich, start_time: 28.6, end_time: 29.5
Word: windhorst, start_time: 29.5, end_time: 30.1
Word: wszystkim, start_time: 30.1, end_time: 30.7
Word: Kłaniam, start_time: 30.7, end_time: 31.2
Word: się, start_time: 31.2, end_time: 31.3
Word: grzecznie, start_time: 31.3, end_time: 31.8
Word: i, start_time: 31.8, end_time: 31.9
Word: poprawia, start_time: 31.9, end_time: 32.5
Word: mi, start_time: 32.5, end_time: 32.6
Word: pled, start_time: 32.6, end_time: 33.0
Word: w, start_time: 33.0, end_time: 33.1
Word: parku, start_time: 33.1, end_time: 34.6
Word: cieniu, start_time: 34.6, end_time: 34.9
Word: krokiety, start_time: 34.9, end_time: 35.3
Word: jakiś, start_time: 35.3, end_time: 35.8
Word: meeting, start_time: 35.8, end_time: 36.2
Word: panieński, start_time: 36.2, end_time: 37.0
Word: dyskutują, start_time: 37.0, end_time: 38.2
Word: o, start_time: 38.2, end_time: 38.3
Word: sztuce, start_time: 38.3, end_time: 38.7
Word: objawiając, start_time: 38.7, end_time: 39.5
Word: swój, start_time: 39.5, end_time: 39.8
Word: traw, start_time: 39.8, end_time: 40.1
Word: ona, start_time: 40.1, end_time: 41.2
Word: jeszcze, start_time: 41.2, end_time: 41.4
Word: nie, start_time: 41.4, end_time: 41.6
Word: wiedzą, start_time: 41.6, end_time: 42.0
Word: one, start_time: 42.0, end_time: 42.7
Word: jeszcze, start_time: 42.7, end_time: 42.9
Word: nie, start_time: 42.9, end_time: 43.1
Word: wierzą, start_time: 43.1, end_time: 43.5
Word: pojemność, start_time: 43.5, end_time: 45.2
Word: futuryzm, start_time: 45.2, end_time: 46.1
Word: niewiadoma, start_time: 46.1, end_time: 47.3
Word: x, start_time: 47.3, end_time: 47.3
