Waiting for operation to complete...
Transcript: karlsbad Marzyło mi się we śnie że byłem ptaszkiem małym wstawałem bardzo wcześnie zarówno z ziomkiem białym czyściutki jasnym Zdroju plus kałem dziubek potem i w Adamowie stroju grzałem się w słonku złotem robaczku w drobnych kilka to było mi śniadanko a potem szczęścia chwilka samiczkę moją kochanką i żyłem rad ogromnie wśród lub w tych igraszek i każdy mówił o mnie cóż to za miły ptaszek tak mi się w nocy śniło nim sen mi umknął z powiek i bardzo mi niemiło zbudzić się jako człowiek jeszcze na dworze szaro a już jak dobra wróżka dziewcze niemiecką gwarą za łeb mnie ciągnie z łóżka Car Doctor Who is the Movie ściągając koce All Time For This zręcznościowe
Confidence: 0.8498002886772156
Word: karlsbad, start_time: 0.0, end_time: 1.0
Word: Marzyło, start_time: 1.0, end_time: 2.2
Word: mi, start_time: 2.2, end_time: 2.2
Word: się, start_time: 2.2, end_time: 2.4
Word: we, start_time: 2.4, end_time: 2.6
Word: śnie, start_time: 2.6, end_time: 2.8
Word: że, start_time: 2.8, end_time: 3.0
Word: byłem, start_time: 3.0, end_time: 3.7
Word: ptaszkiem, start_time: 3.7, end_time: 4.4
Word: małym, start_time: 4.4, end_time: 4.9
Word: wstawałem, start_time: 4.9, end_time: 6.1
Word: bardzo, start_time: 6.1, end_time: 6.6
Word: wcześnie, start_time: 6.6, end_time: 6.9
Word: zarówno, start_time: 6.9, end_time: 8.0
Word: z, start_time: 8.0, end_time: 8.0
Word: ziomkiem, start_time: 8.0, end_time: 8.5
Word: białym, start_time: 8.5, end_time: 9.2
Word: czyściutki, start_time: 9.2, end_time: 10.4
Word: jasnym, start_time: 10.4, end_time: 11.2
Word: Zdroju, start_time: 11.2, end_time: 11.7
Word: plus, start_time: 11.7, end_time: 12.1
Word: kałem, start_time: 12.1, end_time: 12.5
Word: dziubek, start_time: 12.5, end_time: 13.0
Word: potem, start_time: 13.0, end_time: 13.5
Word: i, start_time: 13.5, end_time: 13.6
Word: w, start_time: 13.6, end_time: 14.2
Word: Adamowie, start_time: 14.2, end_time: 14.7
Word: stroju, start_time: 14.7, end_time: 15.3
Word: grzałem, start_time: 15.3, end_time: 15.9
Word: się, start_time: 15.9, end_time: 16.1
Word: w, start_time: 16.1, end_time: 16.2
Word: słonku, start_time: 16.2, end_time: 16.8
Word: złotem, start_time: 16.8, end_time: 17.4
Word: robaczku, start_time: 17.4, end_time: 18.6
