Waiting for operation to complete...
Transcript: list prywatny do Kornela Makuszyńskiego nakłaniający go do spożycia wieczerzy George a zatem namawiasz mnie miły kornelu ażeby kropnąć felieton dla słowa czemu nie owszem drogi przyjacielu zbyt jest zaszczytną dla mnie ta mowa bym się nie skusił zasiąść zgaśnie państwem Pomiędzy jednym a drugim pijaństwem temat na temat ty mistrzu mój łysy coś włosy stracił W Pielgrzyma włóczędze coś no swoich szczubiał za wszystkie kulisy is wszechstronny ziemską penetrował nędzę Ty wiesz że w tym jest felieton sztuka że pióro samo Candy chcę go szuka połykać chciwie życia chleb powszedni sok wszystek wyssać by z najniższych zdarzeń krwią własną w nektar go za czynić przedniej wzmocnić zaprawą z własnych snów i ma
Confidence: 0.8315516710281372
Word: list, start_time: 0.0, end_time: 0.6000000000000001
Word: prywatny, start_time: 0.6000000000000001, end_time: 0.9
Word: do, start_time: 0.9, end_time: 1.4
Word: Kornela, start_time: 1.4, end_time: 2.1
Word: Makuszyńskiego, start_time: 2.1, end_time: 2.7
Word: nakłaniający, start_time: 2.7, end_time: 4.6
Word: go, start_time: 4.6, end_time: 4.7
Word: do, start_time: 4.7, end_time: 4.8
Word: spożycia, start_time: 4.8, end_time: 5.3
Word: wieczerzy, start_time: 5.3, end_time: 6.1
Word: George, start_time: 6.1, end_time: 6.8
Word: a, start_time: 6.8, end_time: 6.9
Word: zatem, start_time: 6.9, end_time: 7.9
Word: namawiasz, start_time: 7.9, end_time: 8.5
Word: mnie, start_time: 8.5, end_time: 8.6
Word: miły, start_time: 8.6, end_time: 9.1
Word: kornelu, start_time: 9.1, end_time: 9.7
Word: ażeby, start_time: 9.7, end_time: 10.3
Word: kropnąć, start_time: 10.3, end_time: 11.0
Word: felieton, start_time: 11.0, end_time: 11.8
Word: dla, start_time: 11.8, end_time: 12.0
Word: słowa, start_time: 12.0, end_time: 12.4
Word: czemu, start_time: 12.4, end_time: 13.2
Word: nie, start_time: 13.2, end_time: 13.3
Word: owszem, start_time: 13.3, end_time: 14.0
Word: drogi, start_time: 14.0, end_time: 14.7
Word: przyjacielu, start_time: 14.7, end_time: 14.9
Word: zbyt, start_time: 14.9, end_time: 16.0
Word: jest, start_time: 16.0, end_time: 16.2
Word: zaszczytną, start_time: 16.2, end_time: 17.2
Word: dla, start_time: 17.2, end_time: 17.4
Word: mnie, start_time: 17.4, end_time: 17.7
Word: ta, start_time: 17.7, end_time: 17.9
Word: mowa, start_time: 17.9, end_time: 18.1
Word: bym, start_time: 18.1, end_time: 18.7
Word: się, start_time: 18.7, end_time: 18.9
Word: nie, start_time: 18.9, end_time: 19.1
Word: skusił, start_time: 19.1, end_time: 19.3
Word: zasiąść, start_time: 19.3, end_time: 20.3
Word: zgaśnie, start_time: 20.3, end_time: 21.1
Word: państwem, start_time: 21.1, end_time: 21.8
Word: Pomiędzy, start_time: 21.8, end_time: 22.6
Word: jednym, start_time: 22.6, end_time: 23.1
Word: a, start_time: 23.1, end_time: 23.3
Word: drugim, start_time: 23.3, end_time: 23.5
Word: pijaństwem, start_time: 23.5, end_time: 24.8
Word: temat, start_time: 24.8, end_time: 26.1
Word: na, start_time: 26.1, end_time: 27.0
Word: temat, start_time: 27.0, end_time: 27.6
Word: ty, start_time: 27.6, end_time: 28.4
Word: mistrzu, start_time: 28.4, end_time: 29.3
Word: mój, start_time: 29.3, end_time: 29.4
Word: łysy, start_time: 29.4, end_time: 29.8
Word: coś, start_time: 29.8, end_time: 30.4
Word: włosy, start_time: 30.4, end_time: 30.9
Word: stracił, start_time: 30.9, end_time: 31.6
Word: W, start_time: 31.6, end_time: 31.7
Word: Pielgrzyma, start_time: 31.7, end_time: 32.5
Word: włóczędze, start_time: 32.5, end_time: 33.1
Word: coś, start_time: 33.1, end_time: 33.8
Word: no, start_time: 33.8, end_time: 34.1
Word: swoich, start_time: 34.1, end_time: 34.7
Word: szczubiał, start_time: 34.7, end_time: 35.3
Word: za, start_time: 35.3, end_time: 35.5
Word: wszystkie, start_time: 35.5, end_time: 36.1
Word: kulisy, start_time: 36.1, end_time: 36.5
Word: is, start_time: 36.5, end_time: 37.1
Word: wszechstronny, start_time: 37.1, end_time: 38.0
Word: ziemską, start_time: 38.0, end_time: 38.5
Word: penetrował, start_time: 38.5, end_time: 39.2
Word: nędzę, start_time: 39.2, end_time: 39.7
Word: Ty, start_time: 39.7, end_time: 40.3
Word: wiesz, start_time: 40.3, end_time: 40.7
Word: że, start_time: 40.7, end_time: 40.9
Word: w, start_time: 40.9, end_time: 41.3
Word: tym, start_time: 41.3, end_time: 41.6
Word: jest, start_time: 41.6, end_time: 41.8
Word: felieton, start_time: 41.8, end_time: 42.2
Word: sztuka, start_time: 42.2, end_time: 42.9
Word: że, start_time: 42.9, end_time: 43.5
Word: pióro, start_time: 43.5, end_time: 44.0
Word: samo, start_time: 44.0, end_time: 44.4
Word: Candy, start_time: 44.4, end_time: 44.9
Word: chcę, start_time: 44.9, end_time: 45.3
Word: go, start_time: 45.3, end_time: 45.7
Word: szuka, start_time: 45.7, end_time: 46.2
Word: połykać, start_time: 46.2, end_time: 47.3
Word: chciwie, start_time: 47.3, end_time: 47.9
Word: życia, start_time: 47.9, end_time: 48.2
Word: chleb, start_time: 48.2, end_time: 48.4
Word: powszedni, start_time: 48.4, end_time: 48.7
