Waiting for operation to complete...
Transcript: Franciszek Karpiński do Justyny drzewa liście małe były gdybyś rozkochał Justynie dzisiaj chce się rozkrzewia gałąź wasza chłodem słynie insem już owoc dały Co mnie w drobnym ziarnku sadził Na szczęście mojej zuchwałej drzewa jak ziemia się zdradził ona mnie dotąd nie kocha choć jej wzgardy znoszę skromnie trzyma mnie że nie jest płocha martwi że nie dba i o mnie Justyno moje Justyno Patrz jak mam Ustaw pieczone jak z oczu moich łzy płyną ach ty nie patrzysz w tę stronę przystąpieniu ku mnie bliżej bo wy czasem i leczyć da się choroba choć przeżyli zaraza jest
Confidence: 0.939647912979126
Word: Franciszek, start_time: 0.0, end_time: 0.9
Word: Karpiński, start_time: 0.9, end_time: 1.1
Word: do, start_time: 1.1, end_time: 2.1
Word: Justyny, start_time: 2.1, end_time: 2.6
Word: drzewa, start_time: 2.6, end_time: 5.0
Word: liście, start_time: 5.0, end_time: 6.0
Word: małe, start_time: 6.0, end_time: 6.4
Word: były, start_time: 6.4, end_time: 6.9
Word: gdybyś, start_time: 6.9, end_time: 7.5
Word: rozkochał, start_time: 7.5, end_time: 8.3
Word: Justynie, start_time: 8.3, end_time: 9.1
Word: dzisiaj, start_time: 9.1, end_time: 10.4
Word: chce, start_time: 10.4, end_time: 10.8
Word: się, start_time: 10.8, end_time: 11.0
Word: rozkrzewia, start_time: 11.0, end_time: 11.5
Word: gałąź, start_time: 11.5, end_time: 13.1
Word: wasza, start_time: 13.1, end_time: 13.6
Word: chłodem, start_time: 13.6, end_time: 14.2
Word: słynie, start_time: 14.2, end_time: 15.0
Word: insem, start_time: 15.0, end_time: 16.3
Word: już, start_time: 16.3, end_time: 16.5
Word: owoc, start_time: 16.5, end_time: 17.0
Word: dały, start_time: 17.0, end_time: 17.6
Word: Co, start_time: 17.6, end_time: 18.0
Word: mnie, start_time: 18.0, end_time: 18.2
Word: w, start_time: 18.2, end_time: 18.3
Word: drobnym, start_time: 18.3, end_time: 18.8
