Waiting for operation to complete...
Transcript: Miłosz Biedrzycki
Confidence: 0.9785358309745789
Word: Miłosz, start_time: 0.0, end_time: 0.5
Word: Biedrzycki, start_time: 0.5, end_time: 0.9
Transcript:  dobry wieczór nazywam się Mickiewicz jestem białorusinem pierwszy w Polsce pisałem jako kara
Confidence: 0.935677170753479
Word: dobry, start_time: 2.8, end_time: 3.4
Word: wieczór, start_time: 3.4, end_time: 3.6
Word: nazywam, start_time: 3.6, end_time: 4.8
Word: się, start_time: 4.8, end_time: 5.0
Word: Mickiewicz, start_time: 5.0, end_time: 5.2
Word: jestem, start_time: 5.2, end_time: 6.9
Word: białorusinem, start_time: 6.9, end_time: 8.3
Word: pierwszy, start_time: 8.3, end_time: 9.8
Word: w, start_time: 9.8, end_time: 9.9
Word: Polsce, start_time: 9.9, end_time: 10.0
Word: pisałem, start_time: 10.0, end_time: 10.7
Word: jako, start_time: 10.7, end_time: 11.0
Word: kara, start_time: 11.0, end_time: 11.4
Transcript:  potem wszystko mi się poprzestawiało do żony zacząłem się zwracać per mebel
Confidence: 0.906233549118042
Word: potem, start_time: 12.4, end_time: 12.8
Word: wszystko, start_time: 12.8, end_time: 13.3
Word: mi, start_time: 13.3, end_time: 13.4
Word: się, start_time: 13.4, end_time: 13.4
Word: poprzestawiało, start_time: 13.4, end_time: 14.4
Word: do, start_time: 14.4, end_time: 14.6
Word: żony, start_time: 14.6, end_time: 15.1
Word: zacząłem, start_time: 15.1, end_time: 16.0
Word: się, start_time: 16.0, end_time: 16.2
Word: zwracać, start_time: 16.2, end_time: 16.6
Word: per, start_time: 16.6, end_time: 16.9
Word: mebel, start_time: 16.9, end_time: 17.3
Transcript:  przez chwilę myślałem o stanie się jednym z tłumem prymitywów zapisujących Plac de La Concorde adidasami Podhale moja pycha Zdradziła mnie i wyśmiała
Confidence: 0.9238347411155701
Word: przez, start_time: 18.3, end_time: 18.8
Word: chwilę, start_time: 18.8, end_time: 18.9
Word: myślałem, start_time: 18.9, end_time: 20.2
Word: o, start_time: 20.2, end_time: 20.5
Word: stanie, start_time: 20.5, end_time: 20.8
Word: się, start_time: 20.8, end_time: 21.0
Word: jednym, start_time: 21.0, end_time: 21.3
Word: z, start_time: 21.3, end_time: 21.6
Word: tłumem, start_time: 21.6, end_time: 22.4
Word: prymitywów, start_time: 22.4, end_time: 23.0
Word: zapisujących, start_time: 23.0, end_time: 24.2
Word: Plac, start_time: 24.2, end_time: 24.7
Word: de, start_time: 24.7, end_time: 24.9
Word: La, start_time: 24.9, end_time: 25.0
Word: Concorde, start_time: 25.0, end_time: 25.3
Word: adidasami, start_time: 25.3, end_time: 26.2
Word: Podhale, start_time: 26.2, end_time: 26.8
Word: moja, start_time: 26.8, end_time: 28.0
Word: pycha, start_time: 28.0, end_time: 28.3
Word: Zdradziła, start_time: 28.3, end_time: 28.8
Word: mnie, start_time: 28.8, end_time: 28.9
Word: i, start_time: 28.9, end_time: 29.0
Word: wyśmiała, start_time: 29.0, end_time: 29.6
Transcript:  przez chwilę myślałem o staniu się jednym z kosmicznym tonem wszechświata duchowym czynem świętością urzeczywistniają
Confidence: 0.9281286597251892
Word: przez, start_time: 30.7, end_time: 31.2
Word: chwilę, start_time: 31.2, end_time: 31.3
Word: myślałem, start_time: 31.3, end_time: 31.7
Word: o, start_time: 31.7, end_time: 31.9
Word: staniu, start_time: 31.9, end_time: 32.3
Word: się, start_time: 32.3, end_time: 32.4
Word: jednym, start_time: 32.4, end_time: 33.0
Word: z, start_time: 33.0, end_time: 33.0
Word: kosmicznym, start_time: 33.0, end_time: 34.3
Word: tonem, start_time: 34.3, end_time: 34.6
Word: wszechświata, start_time: 34.6, end_time: 35.3
Word: duchowym, start_time: 35.3, end_time: 36.2
Word: czynem, start_time: 36.2, end_time: 36.5
Word: świętością, start_time: 36.5, end_time: 37.9
Word: urzeczywistniają, start_time: 37.9, end_time: 38.8
Transcript:  zostałem mistycznym kapralem nawiedzonych paranoik ów zażywających noce nad plastikowymi flaszkami wina za 6 Franków przed wyjściem do roboty na 6:00 na czarno na budowie
Confidence: 0.9286879897117615
Word: zostałem, start_time: 39.8, end_time: 40.5
Word: mistycznym, start_time: 40.5, end_time: 41.0
Word: kapralem, start_time: 41.0, end_time: 41.6
Word: nawiedzonych, start_time: 41.6, end_time: 42.5
Word: paranoik, start_time: 42.5, end_time: 43.2
Word: ów, start_time: 43.2, end_time: 43.3
Word: zażywających, start_time: 43.3, end_time: 44.0
Word: noce, start_time: 44.0, end_time: 44.4
Word: nad, start_time: 44.4, end_time: 44.6
Word: plastikowymi, start_time: 44.6, end_time: 45.3
Word: flaszkami, start_time: 45.3, end_time: 45.8
Word: wina, start_time: 45.8, end_time: 46.2
Word: za, start_time: 46.2, end_time: 46.5
Word: 6, start_time: 46.5, end_time: 46.8
Word: Franków, start_time: 46.8, end_time: 47.0
Word: przed, start_time: 47.0, end_time: 48.2
Word: wyjściem, start_time: 48.2, end_time: 48.5
Word: do, start_time: 48.5, end_time: 48.6
Word: roboty, start_time: 48.6, end_time: 49.0
Word: na, start_time: 49.0, end_time: 49.1
