Waiting for operation to complete...
Transcript: Bolesław Leśmian niewiedza
Confidence: 0.9315369725227356
Word: Bolesław, start_time: 0.0, end_time: 0.7000000000000001
Word: Leśmian, start_time: 0.7000000000000001, end_time: 0.7000000000000001
Word: niewiedza, start_time: 0.7000000000000001, end_time: 2.9
Transcript:  nie ty nie wiesz o tym nie zgadujesz wcale ile miał przeznaczenie Lubinie do twojej dłoni kiedy ją wbrew słońce odwracasz niedbale by chłodniejszym wierzchem ulżyć skrzany i skroni
Confidence: 0.9023920297622681
Word: nie, start_time: 5.6, end_time: 6.1
Word: ty, start_time: 6.1, end_time: 6.7
Word: nie, start_time: 6.7, end_time: 6.8
Word: wiesz, start_time: 6.8, end_time: 7.0
Word: o, start_time: 7.0, end_time: 7.2
Word: tym, start_time: 7.2, end_time: 7.3
Word: nie, start_time: 7.3, end_time: 7.6
Word: zgadujesz, start_time: 7.6, end_time: 8.5
Word: wcale, start_time: 8.5, end_time: 9.0
Word: ile, start_time: 9.0, end_time: 9.9
Word: miał, start_time: 9.9, end_time: 10.1
Word: przeznaczenie, start_time: 10.1, end_time: 10.9
Word: Lubinie, start_time: 10.9, end_time: 11.3
Word: do, start_time: 11.3, end_time: 11.4
Word: twojej, start_time: 11.4, end_time: 11.8
Word: dłoni, start_time: 11.8, end_time: 11.9
Word: kiedy, start_time: 11.9, end_time: 13.1
Word: ją, start_time: 13.1, end_time: 13.2
Word: wbrew, start_time: 13.2, end_time: 13.5
Word: słońce, start_time: 13.5, end_time: 14.0
Word: odwracasz, start_time: 14.0, end_time: 14.5
Word: niedbale, start_time: 14.5, end_time: 15.0
Word: by, start_time: 15.0, end_time: 16.1
Word: chłodniejszym, start_time: 16.1, end_time: 16.8
Word: wierzchem, start_time: 16.8, end_time: 17.4
Word: ulżyć, start_time: 17.4, end_time: 18.0
Word: skrzany, start_time: 18.0, end_time: 18.6
Word: i, start_time: 18.6, end_time: 18.7
Word: skroni, start_time: 18.7, end_time: 19.2
Transcript:  nie wiesz jaki zamętu budzi mnie i Mroczy jaka mrożonka z twoim spoufala ciałem
Confidence: 0.8315003514289856
Word: nie, start_time: 21.3, end_time: 21.8
Word: wiesz, start_time: 21.8, end_time: 22.0
Word: jaki, start_time: 22.0, end_time: 22.3
Word: zamętu, start_time: 22.3, end_time: 22.8
Word: budzi, start_time: 22.8, end_time: 23.1
Word: mnie, start_time: 23.1, end_time: 23.3
Word: i, start_time: 23.3, end_time: 23.5
Word: Mroczy, start_time: 23.5, end_time: 24.1
Word: jaka, start_time: 24.1, end_time: 25.0
Word: mrożonka, start_time: 25.0, end_time: 25.4
Word: z, start_time: 25.4, end_time: 25.5
Word: twoim, start_time: 25.5, end_time: 25.9
Word: spoufala, start_time: 25.9, end_time: 26.5
Word: ciałem, start_time: 26.5, end_time: 26.9
Transcript:  gdy sąd milczkiem wodę wznosi Szkół mnie oczy z ponad brzegów szklanki którą sam podałem
Confidence: 0.7759526371955872
Word: gdy, start_time: 28.0, end_time: 28.4
Word: sąd, start_time: 28.4, end_time: 28.9
Word: milczkiem, start_time: 28.9, end_time: 29.6
Word: wodę, start_time: 29.6, end_time: 30.0
Word: wznosi, start_time: 30.0, end_time: 30.4
Word: Szkół, start_time: 30.4, end_time: 30.7
Word: mnie, start_time: 30.7, end_time: 30.8
Word: oczy, start_time: 30.8, end_time: 31.2
Word: z, start_time: 31.2, end_time: 31.3
Word: ponad, start_time: 31.3, end_time: 32.2
Word: brzegów, start_time: 32.2, end_time: 32.6
Word: szklanki, start_time: 32.6, end_time: 33.2
Word: którą, start_time: 33.2, end_time: 33.7
Word: sam, start_time: 33.7, end_time: 34.1
Word: podałem, start_time: 34.1, end_time: 34.8
Transcript:  a gdy noc cię w drodze do zaświatów zdejmie i wzdłuż okien spłyną mglistych cottard zwoje nie wiesz ile czaru tkwi w tej drobnej szybie poza którą do snu Napisz piersi dwoje
Confidence: 0.9128677248954773
Word: a, start_time: 36.1, end_time: 36.2
Word: gdy, start_time: 36.2, end_time: 36.7
Word: noc, start_time: 36.7, end_time: 36.9
Word: cię, start_time: 36.9, end_time: 37.1
Word: w, start_time: 37.1, end_time: 37.2
Word: drodze, start_time: 37.2, end_time: 37.6
Word: do, start_time: 37.6, end_time: 37.8
Word: zaświatów, start_time: 37.8, end_time: 38.3
Word: zdejmie, start_time: 38.3, end_time: 38.8
Word: i, start_time: 38.8, end_time: 38.9
Word: wzdłuż, start_time: 38.9, end_time: 40.2
Word: okien, start_time: 40.2, end_time: 40.6
Word: spłyną, start_time: 40.6, end_time: 41.1
Word: mglistych, start_time: 41.1, end_time: 41.8
Word: cottard, start_time: 41.8, end_time: 42.2
Word: zwoje, start_time: 42.2, end_time: 42.6
Word: nie, start_time: 42.6, end_time: 43.6
Word: wiesz, start_time: 43.6, end_time: 43.8
Word: ile, start_time: 43.8, end_time: 44.1
Word: czaru, start_time: 44.1, end_time: 44.5
Word: tkwi, start_time: 44.5, end_time: 44.9
Word: w, start_time: 44.9, end_time: 45.0
Word: tej, start_time: 45.0, end_time: 45.3
Word: drobnej, start_time: 45.3, end_time: 45.7
Word: szybie, start_time: 45.7, end_time: 46.4
Word: poza, start_time: 46.4, end_time: 47.4
Word: którą, start_time: 47.4, end_time: 47.7
Word: do, start_time: 47.7, end_time: 48.0
Word: snu, start_time: 48.0, end_time: 48.4
Word: Napisz, start_time: 48.4, end_time: 48.9
Word: piersi, start_time: 48.9, end_time: 49.6
Word: dwoje, start_time: 49.6, end_time: 50.0
