Waiting for operation to complete...
Transcript: akt trzeci scena pierwsza Damis doryna dummies Niechaj piorun na miejscu przetnie moje losy niechaj mu głowę hańbą pokryją niebiosy Jeśli dzisiaj na żadne już nie bacząc względy mnie wezmę się na dobre do tego przybłędy przez litości nie chce się pan trochę uspokoi Także ojciec o chęci tylko mówił swojej do czynu stąd daleko i nie raz już prysły najgorętsze pragnienia ludzkich zamysły dummies nie Przysięgam nie cofnąć się dzisiaj przed niczym aby już raz gruntownie skończyć z tym pani czym do rana tylko nie ma zbytnio chcieli mi wierzyć proszę że lepiej pozostawić rzecz pani macosze ona ma wpływ na niego We wszystkim co powie jej stara się przemienić i myślę że kto wie czy coś więcej nie kryje to słodycz układ na Dałby Bóg by tak było żeby była
Confidence: 0.8566076755523682
Word: akt, start_time: 0.0, end_time: 1.3
Word: trzeci, start_time: 1.3, end_time: 1.6
Word: scena, start_time: 1.6, end_time: 2.0
Word: pierwsza, start_time: 2.0, end_time: 3.1
Word: Damis, start_time: 3.1, end_time: 4.5
Word: doryna, start_time: 4.5, end_time: 4.9
Word: dummies, start_time: 4.9, end_time: 6.8
Word: Niechaj, start_time: 6.8, end_time: 7.6
Word: piorun, start_time: 7.6, end_time: 8.1
Word: na, start_time: 8.1, end_time: 8.3
Word: miejscu, start_time: 8.3, end_time: 8.8
Word: przetnie, start_time: 8.8, end_time: 9.3
Word: moje, start_time: 9.3, end_time: 9.5
Word: losy, start_time: 9.5, end_time: 9.8
Word: niechaj, start_time: 9.8, end_time: 10.7
Word: mu, start_time: 10.7, end_time: 10.8
Word: głowę, start_time: 10.8, end_time: 11.4
Word: hańbą, start_time: 11.4, end_time: 12.0
Word: pokryją, start_time: 12.0, end_time: 12.7
Word: niebiosy, start_time: 12.7, end_time: 13.2
Word: Jeśli, start_time: 13.2, end_time: 14.0
Word: dzisiaj, start_time: 14.0, end_time: 14.3
Word: na, start_time: 14.3, end_time: 14.5
Word: żadne, start_time: 14.5, end_time: 15.0
Word: już, start_time: 15.0, end_time: 15.2
Word: nie, start_time: 15.2, end_time: 15.5
Word: bacząc, start_time: 15.5, end_time: 15.7
Word: względy, start_time: 15.7, end_time: 16.4
Word: mnie, start_time: 16.4, end_time: 17.0
Word: wezmę, start_time: 17.0, end_time: 17.4
Word: się, start_time: 17.4, end_time: 17.6
Word: na, start_time: 17.6, end_time: 17.8
Word: dobre, start_time: 17.8, end_time: 18.4
Word: do, start_time: 18.4, end_time: 18.9
Word: tego, start_time: 18.9, end_time: 19.2
Word: przybłędy, start_time: 19.2, end_time: 19.9
Word: przez, start_time: 19.9, end_time: 22.1
Word: litości, start_time: 22.1, end_time: 22.7
Word: nie, start_time: 22.7, end_time: 22.8
Word: chce, start_time: 22.8, end_time: 23.0
Word: się, start_time: 23.0, end_time: 23.1
Word: pan, start_time: 23.1, end_time: 23.3
Word: trochę, start_time: 23.3, end_time: 23.5
Word: uspokoi, start_time: 23.5, end_time: 24.1
Word: Także, start_time: 24.1, end_time: 24.9
Word: ojciec, start_time: 24.9, end_time: 25.1
Word: o, start_time: 25.1, end_time: 25.5
Word: chęci, start_time: 25.5, end_time: 26.0
Word: tylko, start_time: 26.0, end_time: 26.3
Word: mówił, start_time: 26.3, end_time: 26.6
Word: swojej, start_time: 26.6, end_time: 27.1
Word: do, start_time: 27.1, end_time: 27.7
Word: czynu, start_time: 27.7, end_time: 28.0
Word: stąd, start_time: 28.0, end_time: 28.3
Word: daleko, start_time: 28.3, end_time: 28.5
Word: i, start_time: 28.5, end_time: 28.9
Word: nie, start_time: 28.9, end_time: 29.0
Word: raz, start_time: 29.0, end_time: 29.3
Word: już, start_time: 29.3, end_time: 29.4
