Waiting for operation to complete...
Transcript: 242e Gminy month pędzi przeciw retyckie mu królowi strzaskał mu tarcze malowane w kwiaty potem rozdarł mu pancerz wbijamy chciało cały swój proporzec I niech ktoś z tego śmieję się lub płacze kładzie go trupem natenczas Francuzi krzyczą bijcie Baranowie Nie ściągajcie się prawo jest przy Karolu przeciw tym czarnym Bóg nas wybrał abyśmy wydali prawdziwy sąd
Confidence: 0.9346426129341125
Word: 242e, start_time: 0.0, end_time: 1.7000000000000002
Word: Gminy, start_time: 1.7000000000000002, end_time: 3.0
Word: month, start_time: 3.0, end_time: 3.3
Word: pędzi, start_time: 3.3, end_time: 3.8
Word: przeciw, start_time: 3.8, end_time: 4.4
Word: retyckie, start_time: 4.4, end_time: 5.3
Word: mu, start_time: 5.3, end_time: 5.5
Word: królowi, start_time: 5.5, end_time: 6.1
Word: strzaskał, start_time: 6.1, end_time: 7.2
Word: mu, start_time: 7.2, end_time: 7.4
Word: tarcze, start_time: 7.4, end_time: 7.9
Word: malowane, start_time: 7.9, end_time: 8.3
Word: w, start_time: 8.3, end_time: 8.5
Word: kwiaty, start_time: 8.5, end_time: 8.7
Word: potem, start_time: 8.7, end_time: 9.7
Word: rozdarł, start_time: 9.7, end_time: 10.3
Word: mu, start_time: 10.3, end_time: 10.5
Word: pancerz, start_time: 10.5, end_time: 11.2
Word: wbijamy, start_time: 11.2, end_time: 12.2
Word: chciało, start_time: 12.2, end_time: 12.7
Word: cały, start_time: 12.7, end_time: 13.1
Word: swój, start_time: 13.1, end_time: 13.3
Word: proporzec, start_time: 13.3, end_time: 14.0
Word: I, start_time: 14.0, end_time: 14.3
Word: niech, start_time: 14.3, end_time: 15.4
Word: ktoś, start_time: 15.4, end_time: 15.7
Word: z, start_time: 15.7, end_time: 15.9
Word: tego, start_time: 15.9, end_time: 16.0
Word: śmieję, start_time: 16.0, end_time: 16.6
Word: się, start_time: 16.6, end_time: 16.7
Word: lub, start_time: 16.7, end_time: 16.9
Word: płacze, start_time: 16.9, end_time: 17.4
Word: kładzie, start_time: 17.4, end_time: 18.3
Word: go, start_time: 18.3, end_time: 18.4
Word: trupem, start_time: 18.4, end_time: 18.9
Word: natenczas, start_time: 18.9, end_time: 20.2
Word: Francuzi, start_time: 20.2, end_time: 21.2
Word: krzyczą, start_time: 21.2, end_time: 21.6
Word: bijcie, start_time: 21.6, end_time: 22.6
Word: Baranowie, start_time: 22.6, end_time: 23.3
Word: Nie, start_time: 23.3, end_time: 23.9
Word: ściągajcie, start_time: 23.9, end_time: 24.5
Word: się, start_time: 24.5, end_time: 24.8
Word: prawo, start_time: 24.8, end_time: 25.7
Word: jest, start_time: 25.7, end_time: 25.9
Word: przy, start_time: 25.9, end_time: 26.2
Word: Karolu, start_time: 26.2, end_time: 26.7
Word: przeciw, start_time: 26.7, end_time: 27.2
Word: tym, start_time: 27.2, end_time: 27.5
Word: czarnym, start_time: 27.5, end_time: 27.9
Word: Bóg, start_time: 27.9, end_time: 28.8
Word: nas, start_time: 28.8, end_time: 29.0
Word: wybrał, start_time: 29.0, end_time: 29.5
Word: abyśmy, start_time: 29.5, end_time: 30.2
Word: wydali, start_time: 30.2, end_time: 30.8
Word: prawdziwy, start_time: 30.8, end_time: 31.4
Word: sąd, start_time: 31.4, end_time: 31.9
