Waiting for operation to complete...
Transcript: Mikołaj Sęp Szarzyński sonet piąty O nietrwałej miłości rzeczy świata tego
Confidence: 0.909432053565979
Word: Mikołaj, start_time: 0.0, end_time: 0.6000000000000001
Word: Sęp, start_time: 0.6000000000000001, end_time: 1.0
Word: Szarzyński, start_time: 1.0, end_time: 1.1
Word: sonet, start_time: 1.1, end_time: 2.8
Word: piąty, start_time: 2.8, end_time: 3.1
Word: O, start_time: 3.1, end_time: 3.7
Word: nietrwałej, start_time: 3.7, end_time: 4.7
Word: miłości, start_time: 4.7, end_time: 5.5
Word: rzeczy, start_time: 5.5, end_time: 6.4
Word: świata, start_time: 6.4, end_time: 6.8
Word: tego, start_time: 6.8, end_time: 7.4
Transcript:  i nie miłować ciężko i miłować nędzna pociecha gdy rządzą zwiedzione myśli cukru ją nazbyt rzeczy one której mniej niż i muszą się psować komu tak będzie dostatkiem smakować złoto scepter Sława rozkoszy stworzone piękne oblicze w tym nasycone i mógł mieć serce i trud się malować miłość jest własny bieg bycia naszego ale z żywiołów utworzone ciało to chwaląc co z na początku równego zawodzi duszę której wszystko mało gdy ciebie wiecznej i prawej piękności samej nie widzi celu Swej miłości
Confidence: 0.831171452999115
Word: i, start_time: 9.6, end_time: 9.7
Word: nie, start_time: 9.7, end_time: 10.4
Word: miłować, start_time: 10.4, end_time: 10.6
Word: ciężko, start_time: 10.6, end_time: 11.3
Word: i, start_time: 11.3, end_time: 12.3
Word: miłować, start_time: 12.3, end_time: 12.6
Word: nędzna, start_time: 12.6, end_time: 14.0
Word: pociecha, start_time: 14.0, end_time: 14.8
Word: gdy, start_time: 14.8, end_time: 15.8
Word: rządzą, start_time: 15.8, end_time: 16.3
Word: zwiedzione, start_time: 16.3, end_time: 17.1
Word: myśli, start_time: 17.1, end_time: 18.1
Word: cukru, start_time: 18.1, end_time: 18.6
Word: ją, start_time: 18.6, end_time: 18.8
Word: nazbyt, start_time: 18.8, end_time: 19.4
Word: rzeczy, start_time: 19.4, end_time: 19.9
Word: one, start_time: 19.9, end_time: 20.3
Word: której, start_time: 20.3, end_time: 21.1
Word: mniej, start_time: 21.1, end_time: 21.5
Word: niż, start_time: 21.5, end_time: 21.8
Word: i, start_time: 21.8, end_time: 21.9
Word: muszą, start_time: 21.9, end_time: 22.8
Word: się, start_time: 22.8, end_time: 23.1
Word: psować, start_time: 23.1, end_time: 23.7
Word: komu, start_time: 23.7, end_time: 25.0
Word: tak, start_time: 25.0, end_time: 25.3
Word: będzie, start_time: 25.3, end_time: 25.7
Word: dostatkiem, start_time: 25.7, end_time: 26.4
Word: smakować, start_time: 26.4, end_time: 27.3
Word: złoto, start_time: 27.3, end_time: 28.4
Word: scepter, start_time: 28.4, end_time: 29.4
Word: Sława, start_time: 29.4, end_time: 30.4
Word: rozkoszy, start_time: 30.4, end_time: 31.5
Word: stworzone, start_time: 31.5, end_time: 32.3
Word: piękne, start_time: 32.3, end_time: 33.3
Word: oblicze, start_time: 33.3, end_time: 33.6
Word: w, start_time: 33.6, end_time: 34.2
Word: tym, start_time: 34.2, end_time: 34.8
Word: nasycone, start_time: 34.8, end_time: 35.2
Word: i, start_time: 35.2, end_time: 35.8
Word: mógł, start_time: 35.8, end_time: 36.5
Word: mieć, start_time: 36.5, end_time: 36.7
Word: serce, start_time: 36.7, end_time: 37.5
Word: i, start_time: 37.5, end_time: 37.6
Word: trud, start_time: 37.6, end_time: 38.1
Word: się, start_time: 38.1, end_time: 39.0
Word: malować, start_time: 39.0, end_time: 39.9
Word: miłość, start_time: 39.9, end_time: 41.4
Word: jest, start_time: 41.4, end_time: 41.7
Word: własny, start_time: 41.7, end_time: 42.3
Word: bieg, start_time: 42.3, end_time: 42.6
Word: bycia, start_time: 42.6, end_time: 43.2
Word: naszego, start_time: 43.2, end_time: 43.8
Word: ale, start_time: 43.8, end_time: 44.5
Word: z, start_time: 44.5, end_time: 44.6
Word: żywiołów, start_time: 44.6, end_time: 45.4
Word: utworzone, start_time: 45.4, end_time: 46.3
Word: ciało, start_time: 46.3, end_time: 46.8
Word: to, start_time: 46.8, end_time: 47.3
Word: chwaląc, start_time: 47.3, end_time: 48.1
Word: co, start_time: 48.1, end_time: 48.4
Word: z, start_time: 48.4, end_time: 48.5
Word: na, start_time: 48.5, end_time: 48.7
Word: początku, start_time: 48.7, end_time: 49.5
Word: równego, start_time: 49.5, end_time: 50.1
Word: zawodzi, start_time: 50.1, end_time: 51.2
Word: duszę, start_time: 51.2, end_time: 51.6
Word: której, start_time: 51.6, end_time: 52.1
Word: wszystko, start_time: 52.1, end_time: 52.8
Word: mało, start_time: 52.8, end_time: 53.1
Word: gdy, start_time: 53.1, end_time: 53.9
Word: ciebie, start_time: 53.9, end_time: 54.4
Word: wiecznej, start_time: 54.4, end_time: 55.6
Word: i, start_time: 55.6, end_time: 55.7
Word: prawej, start_time: 55.7, end_time: 56.3
Word: piękności, start_time: 56.3, end_time: 57.3
Word: samej, start_time: 57.3, end_time: 58.4
Word: nie, start_time: 58.4, end_time: 58.6
Word: widzi, start_time: 58.6, end_time: 59.1
Word: celu, start_time: 59.1, end_time: 60.2
Word: Swej, start_time: 60.2, end_time: 60.6
Word: miłości, start_time: 60.6, end_time: 61.3
