Waiting for operation to complete...
Transcript: piosenka wzruszająca od twojej młodości jasny Płomień Iskra mi bucha oszołomieni o piękna ma nie kusi mnie twych wdzięków wiosna kiedy Promienna i radosna w życiu drga spoglądam z dala obojętny jak wrzący szczęścia zbyt namiętnej zatracasz gust i patrzę z leniwym uśmiechem jak boisz się wciąż nowym grzechem wciąż z innych ust lecz Kiedy ujrzę w twojej twarzy cierpienie co się w oczach posępną z Chrome gdy w smutku widzę cię żałobie ach wówczas muszę być przy tobie czuć rękę swą ty mnie nie kochasz a ja ciebie a jednak Tulę cię do siebie nie mówiąc nic i piję smutek twój dziewczyną i piję twoje łzy co płyną z pobladły flic czy to jest
Confidence: 0.8595290184020996
Word: piosenka, start_time: 0.0, end_time: 1.4
Word: wzruszająca, start_time: 1.4, end_time: 1.7000000000000002
Word: od, start_time: 1.7000000000000002, end_time: 3.2
Word: twojej, start_time: 3.2, end_time: 3.6
Word: młodości, start_time: 3.6, end_time: 3.9
Word: jasny, start_time: 3.9, end_time: 4.7
Word: Płomień, start_time: 4.7, end_time: 5.0
Word: Iskra, start_time: 5.0, end_time: 6.0
Word: mi, start_time: 6.0, end_time: 6.1
Word: bucha, start_time: 6.1, end_time: 6.4
Word: oszołomieni, start_time: 6.4, end_time: 7.5
Word: o, start_time: 7.5, end_time: 7.5
Word: piękna, start_time: 7.5, end_time: 8.6
Word: ma, start_time: 8.6, end_time: 8.7
Word: nie, start_time: 8.7, end_time: 9.7
Word: kusi, start_time: 9.7, end_time: 10.0
Word: mnie, start_time: 10.0, end_time: 10.2
Word: twych, start_time: 10.2, end_time: 10.6
Word: wdzięków, start_time: 10.6, end_time: 10.7
Word: wiosna, start_time: 10.7, end_time: 11.6
Word: kiedy, start_time: 11.6, end_time: 12.2
Word: Promienna, start_time: 12.2, end_time: 12.8
Word: i, start_time: 12.8, end_time: 12.9
Word: radosna, start_time: 12.9, end_time: 13.8
Word: w, start_time: 13.8, end_time: 14.0
Word: życiu, start_time: 14.0, end_time: 14.7
Word: drga, start_time: 14.7, end_time: 15.1
Word: spoglądam, start_time: 15.1, end_time: 16.8
Word: z, start_time: 16.8, end_time: 16.9
Word: dala, start_time: 16.9, end_time: 17.2
Word: obojętny, start_time: 17.2, end_time: 17.9
Word: jak, start_time: 17.9, end_time: 18.5
Word: wrzący, start_time: 18.5, end_time: 19.4
Word: szczęścia, start_time: 19.4, end_time: 20.1
Word: zbyt, start_time: 20.1, end_time: 20.5
Word: namiętnej, start_time: 20.5, end_time: 21.4
Word: zatracasz, start_time: 21.4, end_time: 22.3
Word: gust, start_time: 22.3, end_time: 22.8
Word: i, start_time: 22.8, end_time: 22.9
Word: patrzę, start_time: 22.9, end_time: 24.1
Word: z, start_time: 24.1, end_time: 24.2
Word: leniwym, start_time: 24.2, end_time: 24.6
Word: uśmiechem, start_time: 24.6, end_time: 25.2
