Waiting for operation to complete...
Transcript: potem co w Polsce dziejopis mieć winien dowiedzieliśmy się z komunikatu Krakowskiej Akademii Umiejętności iż Ta ku wielkiemu swemu za love i nie mogła przyznać nagrody imienia Barczewskiego za rok bieżący profesorowi aszkenazy a to dla jego brzydkiego wyznania przeciwko któremu zastrzegają się wyraźnie Statut Fundacji nie wszystkim znany jest jednak wiekopomny a skrzydlate słowo profesora Askenazego Zrodzony w następstwie tego wyroku mianowicie skrzywdzony autor Łukasińskiego w chwili pierw rozgoryczenia miał się wyrazić do jednego z najpoważniejszych członków instytucji profesorskiego że wobec tego Akademia powinna oglądać nie książki kandydatów ale zupełnie ale to zupełnie co innego jędrne to oświadczenie uczonego historyka natchnęło nas do zamknięcia
Confidence: 0.9589361548423767
Word: potem, start_time: 0.0, end_time: 0.6000000000000001
Word: co, start_time: 0.6000000000000001, end_time: 0.9
Word: w, start_time: 0.9, end_time: 1.0
Word: Polsce, start_time: 1.0, end_time: 1.3
Word: dziejopis, start_time: 1.3, end_time: 2.4
Word: mieć, start_time: 2.4, end_time: 2.8
Word: winien, start_time: 2.8, end_time: 3.5
Word: dowiedzieliśmy, start_time: 3.5, end_time: 4.6
Word: się, start_time: 4.6, end_time: 4.8
Word: z, start_time: 4.8, end_time: 4.9
Word: komunikatu, start_time: 4.9, end_time: 5.6
Word: Krakowskiej, start_time: 5.6, end_time: 6.4
Word: Akademii, start_time: 6.4, end_time: 6.9
Word: Umiejętności, start_time: 6.9, end_time: 7.0
Word: iż, start_time: 7.0, end_time: 8.4
Word: Ta, start_time: 8.4, end_time: 8.6
Word: ku, start_time: 8.6, end_time: 9.1
Word: wielkiemu, start_time: 9.1, end_time: 9.5
Word: swemu, start_time: 9.5, end_time: 10.0
Word: za, start_time: 10.0, end_time: 10.1
Word: love, start_time: 10.1, end_time: 10.4
Word: i, start_time: 10.4, end_time: 10.4
Word: nie, start_time: 10.4, end_time: 11.0
Word: mogła, start_time: 11.0, end_time: 11.3
Word: przyznać, start_time: 11.3, end_time: 11.9
Word: nagrody, start_time: 11.9, end_time: 12.4
Word: imienia, start_time: 12.4, end_time: 12.9
Word: Barczewskiego, start_time: 12.9, end_time: 13.8
Word: za, start_time: 13.8, end_time: 14.1
Word: rok, start_time: 14.1, end_time: 14.2
Word: bieżący, start_time: 14.2, end_time: 14.4
Word: profesorowi, start_time: 14.4, end_time: 15.5
Word: aszkenazy, start_time: 15.5, end_time: 16.4
Word: a, start_time: 16.4, end_time: 16.7
Word: to, start_time: 16.7, end_time: 17.3
Word: dla, start_time: 17.3, end_time: 17.6
Word: jego, start_time: 17.6, end_time: 17.8
Word: brzydkiego, start_time: 17.8, end_time: 18.4
Word: wyznania, start_time: 18.4, end_time: 19.0
Word: przeciwko, start_time: 19.0, end_time: 19.5
Word: któremu, start_time: 19.5, end_time: 20.1
Word: zastrzegają, start_time: 20.1, end_time: 20.9
Word: się, start_time: 20.9, end_time: 21.1
