Waiting for operation to complete...
Transcript: Honore Balzac małe niedole pożycia małżeńskiego tłumaczenie Tadeusz boy-żeleński od tłumacza książeczka nosząca tytuł mały niedole pożycia małżeńskiego okazało się w roku 1845 zatem w 15 lat przeszło Po napisaniu głośnej fizjologii małżeństwa oba dzieła zestawieniu z sobą stanowią bardzo ciekawe zjawisko literackie w jaki sposób jeden i ten sam temat zarysowuje się w wyobraźni pisarza w innym oświetleniu i w innej epoce jego twórczej ewolucji książka zatytułowana na wpół żartobliwie przez autora fizjologię jest w istocie prawdziwą filozofią wewnętrznych dziejów małżeństwa jest bystrą i śmiało analizą o wielkiej linii Po jakiej przebiega życie uczuciowe dwojga istot wskutek ze sobą nierozerwalnym węzłem w mózgu
Confidence: 0.9539939165115356
Word: Honore, start_time: 0.0, end_time: 0.7000000000000001
Word: Balzac, start_time: 0.7000000000000001, end_time: 1.5
Word: małe, start_time: 1.5, end_time: 3.0
Word: niedole, start_time: 3.0, end_time: 3.6
Word: pożycia, start_time: 3.6, end_time: 3.8
Word: małżeńskiego, start_time: 3.8, end_time: 4.2
Word: tłumaczenie, start_time: 4.2, end_time: 6.6
Word: Tadeusz, start_time: 6.6, end_time: 7.1
Word: boy-żeleński, start_time: 7.1, end_time: 7.8
Word: od, start_time: 7.8, end_time: 9.5
Word: tłumacza, start_time: 9.5, end_time: 10.1
Word: książeczka, start_time: 10.1, end_time: 11.1
Word: nosząca, start_time: 11.1, end_time: 11.5
Word: tytuł, start_time: 11.5, end_time: 11.9
Word: mały, start_time: 11.9, end_time: 12.3
Word: niedole, start_time: 12.3, end_time: 12.8
Word: pożycia, start_time: 12.8, end_time: 12.9
Word: małżeńskiego, start_time: 12.9, end_time: 13.2
Word: okazało, start_time: 13.2, end_time: 13.9
Word: się, start_time: 13.9, end_time: 14.7
Word: w, start_time: 14.7, end_time: 14.8
Word: roku, start_time: 14.8, end_time: 15.0
Word: 1845, start_time: 15.0, end_time: 17.0
Word: zatem, start_time: 17.0, end_time: 17.9
Word: w, start_time: 17.9, end_time: 18.0
Word: 15, start_time: 18.0, end_time: 18.5
Word: lat, start_time: 18.5, end_time: 18.7
Word: przeszło, start_time: 18.7, end_time: 19.2
Word: Po, start_time: 19.2, end_time: 19.4
Word: napisaniu, start_time: 19.4, end_time: 19.9
Word: głośnej, start_time: 19.9, end_time: 20.6
Word: fizjologii, start_time: 20.6, end_time: 21.5
Word: małżeństwa, start_time: 21.5, end_time: 22.3
Word: oba, start_time: 22.3, end_time: 23.1
Word: dzieła, start_time: 23.1, end_time: 23.4
Word: zestawieniu, start_time: 23.4, end_time: 24.4
Word: z, start_time: 24.4, end_time: 24.5
Word: sobą, start_time: 24.5, end_time: 24.8
Word: stanowią, start_time: 24.8, end_time: 25.3
Word: bardzo, start_time: 25.3, end_time: 25.6
Word: ciekawe, start_time: 25.6, end_time: 26.0
Word: zjawisko, start_time: 26.0, end_time: 26.5
Word: literackie, start_time: 26.5, end_time: 27.1
Word: w, start_time: 27.1, end_time: 27.2
Word: jaki, start_time: 27.2, end_time: 27.9
Word: sposób, start_time: 27.9, end_time: 28.5
Word: jeden, start_time: 28.5, end_time: 29.2
Word: i, start_time: 29.2, end_time: 29.4
Word: ten, start_time: 29.4, end_time: 29.6
Word: sam, start_time: 29.6, end_time: 29.7
Word: temat, start_time: 29.7, end_time: 30.2
Word: zarysowuje, start_time: 30.2, end_time: 31.3
Word: się, start_time: 31.3, end_time: 31.4
Word: w, start_time: 31.4, end_time: 31.7
Word: wyobraźni, start_time: 31.7, end_time: 32.4
Word: pisarza, start_time: 32.4, end_time: 32.9
Word: w, start_time: 32.9, end_time: 33.1
Word: innym, start_time: 33.1, end_time: 33.7
Word: oświetleniu, start_time: 33.7, end_time: 34.5
Word: i, start_time: 34.5, end_time: 34.6
Word: w, start_time: 34.6, end_time: 35.1
Word: innej, start_time: 35.1, end_time: 35.5
Word: epoce, start_time: 35.5, end_time: 35.6
Word: jego, start_time: 35.6, end_time: 36.6
Word: twórczej, start_time: 36.6, end_time: 37.1
Word: ewolucji, start_time: 37.1, end_time: 38.0
Word: książka, start_time: 38.0, end_time: 39.0
Word: zatytułowana, start_time: 39.0, end_time: 39.7
Word: na, start_time: 39.7, end_time: 39.8
Word: wpół, start_time: 39.8, end_time: 40.1
Word: żartobliwie, start_time: 40.1, end_time: 40.8
Word: przez, start_time: 40.8, end_time: 41.0
Word: autora, start_time: 41.0, end_time: 41.6
Word: fizjologię, start_time: 41.6, end_time: 42.6
Word: jest, start_time: 42.6, end_time: 43.4
Word: w, start_time: 43.4, end_time: 43.6
Word: istocie, start_time: 43.6, end_time: 44.0
Word: prawdziwą, start_time: 44.0, end_time: 44.9
Word: filozofią, start_time: 44.9, end_time: 45.9
Word: wewnętrznych, start_time: 45.9, end_time: 46.8
Word: dziejów, start_time: 46.8, end_time: 47.2
Word: małżeństwa, start_time: 47.2, end_time: 47.9
Word: jest, start_time: 47.9, end_time: 48.4
Word: bystrą, start_time: 48.4, end_time: 48.9
Word: i, start_time: 48.9, end_time: 49.2
Word: śmiało, start_time: 49.2, end_time: 49.9
Word: analizą, start_time: 49.9, end_time: 50.7
Word: o, start_time: 50.7, end_time: 50.9
Word: wielkiej, start_time: 50.9, end_time: 51.8
Word: linii, start_time: 51.8, end_time: 52.2
Word: Po, start_time: 52.2, end_time: 52.9
Word: jakiej, start_time: 52.9, end_time: 53.3
Word: przebiega, start_time: 53.3, end_time: 53.7
Word: życie, start_time: 53.7, end_time: 54.0
Word: uczuciowe, start_time: 54.0, end_time: 54.4
Word: dwojga, start_time: 54.4, end_time: 55.2
Word: istot, start_time: 55.2, end_time: 55.8
Word: wskutek, start_time: 55.8, end_time: 56.5
Word: ze, start_time: 56.5, end_time: 56.7
Word: sobą, start_time: 56.7, end_time: 57.0
Word: nierozerwalnym, start_time: 57.0, end_time: 58.3
Word: węzłem, start_time: 58.3, end_time: 58.8
Word: w, start_time: 58.8, end_time: 59.1
Word: mózgu, start_time: 59.1, end_time: 59.9
Transcript: młodego pisarza idee Esprit T5 to po prostu każde zjawisko każde najdrobniejsze spostrzeżenie otwiera mu nieskończone perspektywy najgłębszy szczegół wiąże się z tysiącem nici z najgłębszą treścią duchowego życia człowieka w dziele tym mieści się tyleż najprzedniejsze go żartu ile jest w nim również ten dzień i Nieustraszony myśli w inny bardziej miniaturowy światek Przenoszą nas mały niedole autor z rozmysłem pozostawia to zupełnie na boku wielki zasadniczy problem małżeństwa owo Być albo nie być które wygrało ku nam z każdej strony fizjologii tutaj wchodzimy wraz z nim poprzednie życie dwojga małżonków patrzymy na owo codzienne tarcie i potrącanie się dwojga jednostek i dwóch charakterów mniej lub więcej nie dobranych
Confidence: 0.9323811531066895
Word: młodego, start_time: 59.9, end_time: 60.3
Word: pisarza, start_time: 60.3, end_time: 60.6
Word: idee, start_time: 60.6, end_time: 61.6
Word: Esprit, start_time: 61.6, end_time: 62.6
Word: T5, start_time: 62.6, end_time: 63.6
Word: to, start_time: 63.6, end_time: 63.7
Word: po, start_time: 63.7, end_time: 63.8
Word: prostu, start_time: 63.8, end_time: 64.1
Word: każde, start_time: 64.1, end_time: 64.9
Word: zjawisko, start_time: 64.9, end_time: 65.0
Word: każde, start_time: 65.0, end_time: 66.3
Word: najdrobniejsze, start_time: 66.3, end_time: 67.5
Word: spostrzeżenie, start_time: 67.5, end_time: 68.4
Word: otwiera, start_time: 68.4, end_time: 69.3
Word: mu, start_time: 69.3, end_time: 69.5
Word: nieskończone, start_time: 69.5, end_time: 70.5
Word: perspektywy, start_time: 70.5, end_time: 71.4
Word: najgłębszy, start_time: 71.4, end_time: 72.7
Word: szczegół, start_time: 72.7, end_time: 73.2
Word: wiąże, start_time: 73.2, end_time: 73.9
Word: się, start_time: 73.9, end_time: 74.0
Word: z, start_time: 74.0, end_time: 74.1
Word: tysiącem, start_time: 74.1, end_time: 74.7
Word: nici, start_time: 74.7, end_time: 75.2
Word: z, start_time: 75.2, end_time: 75.4
Word: najgłębszą, start_time: 75.4, end_time: 76.3
Word: treścią, start_time: 76.3, end_time: 76.9
Word: duchowego, start_time: 76.9, end_time: 77.5
Word: życia, start_time: 77.5, end_time: 77.6
Word: człowieka, start_time: 77.6, end_time: 78.6
Word: w, start_time: 78.6, end_time: 78.8
Word: dziele, start_time: 78.8, end_time: 79.8
Word: tym, start_time: 79.8, end_time: 80.1
Word: mieści, start_time: 80.1, end_time: 80.9
Word: się, start_time: 80.9, end_time: 81.1
Word: tyleż, start_time: 81.1, end_time: 81.6
Word: najprzedniejsze, start_time: 81.6, end_time: 82.7
Word: go, start_time: 82.7, end_time: 82.8
Word: żartu, start_time: 82.8, end_time: 83.2
Word: ile, start_time: 83.2, end_time: 83.8
Word: jest, start_time: 83.8, end_time: 84.0
Word: w, start_time: 84.0, end_time: 84.1
Word: nim, start_time: 84.1, end_time: 84.2
Word: również, start_time: 84.2, end_time: 84.7
Word: ten, start_time: 84.7, end_time: 85.3
Word: dzień, start_time: 85.3, end_time: 85.6
Word: i, start_time: 85.6, end_time: 85.8
Word: Nieustraszony, start_time: 85.8, end_time: 86.9
Word: myśli, start_time: 86.9, end_time: 87.4
Word: w, start_time: 87.4, end_time: 87.6
Word: inny, start_time: 87.6, end_time: 88.6
Word: bardziej, start_time: 88.6, end_time: 89.3
Word: miniaturowy, start_time: 89.3, end_time: 90.1
Word: światek, start_time: 90.1, end_time: 90.6
Word: Przenoszą, start_time: 90.6, end_time: 91.4
Word: nas, start_time: 91.4, end_time: 91.8
Word: mały, start_time: 91.8, end_time: 92.4
Word: niedole, start_time: 92.4, end_time: 92.9
Word: autor, start_time: 92.9, end_time: 93.8
Word: z, start_time: 93.8, end_time: 94.0
Word: rozmysłem, start_time: 94.0, end_time: 94.5
Word: pozostawia, start_time: 94.5, end_time: 95.5
Word: to, start_time: 95.5, end_time: 95.6
