Waiting for operation to complete...
Transcript: kilka słów w obronie świętości małżeństwa Dziwny jakiś w pojęciach szerzy się zamęt Czy małżeństwo to kpiny czy też sakrament jakaś zaraza padła na wszystkie nasze stadła zamiast siedzieć spokojnie wszystko dziś w wojnie dawniej Kto się raz złączył w Bożym przybytku Wiedział że ma do śmierci trwać w swym korytku rozumiał że ten związek to twardy obowiązek dwie duszę w jednym ciele flaki w niedzielę Co Bóg przeznaczył bramą w pokorze nikt nie robił grymasów że tak nie może cel przyświecał im wzniosły dziadki ku górze rosły No i tak się tam żyło jakoś to było jakieś dziś społeczeństwa Przyszłość ma szansę skoro ludzie z małżeństwa czynią romanse dziś czy prosty czy krzywy Każdy chce być
Confidence: 0.9138017296791077
Word: kilka, start_time: 0.0, end_time: 0.6000000000000001
Word: słów, start_time: 0.6000000000000001, end_time: 0.8
Word: w, start_time: 0.8, end_time: 1.1
Word: obronie, start_time: 1.1, end_time: 1.9
Word: świętości, start_time: 1.9, end_time: 2.7
Word: małżeństwa, start_time: 2.7, end_time: 3.4
Word: Dziwny, start_time: 3.4, end_time: 5.1
Word: jakiś, start_time: 5.1, end_time: 5.5
Word: w, start_time: 5.5, end_time: 5.8
Word: pojęciach, start_time: 5.8, end_time: 6.5
Word: szerzy, start_time: 6.5, end_time: 7.0
Word: się, start_time: 7.0, end_time: 7.1
Word: zamęt, start_time: 7.1, end_time: 7.7
Word: Czy, start_time: 7.7, end_time: 8.4
Word: małżeństwo, start_time: 8.4, end_time: 8.9
Word: to, start_time: 8.9, end_time: 9.1
Word: kpiny, start_time: 9.1, end_time: 9.5
Word: czy, start_time: 9.5, end_time: 9.9
Word: też, start_time: 9.9, end_time: 10.1
Word: sakrament, start_time: 10.1, end_time: 10.6
Word: jakaś, start_time: 10.6, end_time: 12.1
Word: zaraza, start_time: 12.1, end_time: 12.6
Word: padła, start_time: 12.6, end_time: 13.3
Word: na, start_time: 13.3, end_time: 13.5
Word: wszystkie, start_time: 13.5, end_time: 14.2
Word: nasze, start_time: 14.2, end_time: 14.4
Word: stadła, start_time: 14.4, end_time: 15.0
Word: zamiast, start_time: 15.0, end_time: 15.9
Word: siedzieć, start_time: 15.9, end_time: 16.2
Word: spokojnie, start_time: 16.2, end_time: 16.5
Word: wszystko, start_time: 16.5, end_time: 17.5
Word: dziś, start_time: 17.5, end_time: 18.2
Word: w, start_time: 18.2, end_time: 18.4
Word: wojnie, start_time: 18.4, end_time: 19.1
Word: dawniej, start_time: 19.1, end_time: 20.3
Word: Kto, start_time: 20.3, end_time: 20.6
Word: się, start_time: 20.6, end_time: 20.8
Word: raz, start_time: 20.8, end_time: 21.0
Word: złączył, start_time: 21.0, end_time: 21.7
Word: w, start_time: 21.7, end_time: 21.8
Word: Bożym, start_time: 21.8, end_time: 22.2
Word: przybytku, start_time: 22.2, end_time: 22.8
Word: Wiedział, start_time: 22.8, end_time: 23.7
Word: że, start_time: 23.7, end_time: 24.0
Word: ma, start_time: 24.0, end_time: 24.2
Word: do, start_time: 24.2, end_time: 24.3
Word: śmierci, start_time: 24.3, end_time: 24.8
Word: trwać, start_time: 24.8, end_time: 25.5
Word: w, start_time: 25.5, end_time: 25.7
Word: swym, start_time: 25.7, end_time: 26.1
Word: korytku, start_time: 26.1, end_time: 26.7
Word: rozumiał, start_time: 26.7, end_time: 27.9
Word: że, start_time: 27.9, end_time: 28.1
Word: ten, start_time: 28.1, end_time: 28.3
Word: związek, start_time: 28.3, end_time: 28.7
Word: to, start_time: 28.7, end_time: 29.0
Word: twardy, start_time: 29.0, end_time: 29.5
Word: obowiązek, start_time: 29.5, end_time: 30.2
Word: dwie, start_time: 30.2, end_time: 30.8
Word: duszę, start_time: 30.8, end_time: 31.2
Word: w, start_time: 31.2, end_time: 31.2
Word: jednym, start_time: 31.2, end_time: 31.3
Word: ciele, start_time: 31.3, end_time: 31.7
Word: flaki, start_time: 31.7, end_time: 32.8
Word: w, start_time: 32.8, end_time: 32.9
Word: niedzielę, start_time: 32.9, end_time: 33.4
Word: Co, start_time: 33.4, end_time: 34.0
Word: Bóg, start_time: 34.0, end_time: 34.2
Word: przeznaczył, start_time: 34.2, end_time: 34.8
Word: bramą, start_time: 34.8, end_time: 35.9
Word: w, start_time: 35.9, end_time: 35.9
Word: pokorze, start_time: 35.9, end_time: 36.4
Word: nikt, start_time: 36.4, end_time: 37.1
Word: nie, start_time: 37.1, end_time: 37.3
Word: robił, start_time: 37.3, end_time: 37.4
Word: grymasów, start_time: 37.4, end_time: 38.1
Word: że, start_time: 38.1, end_time: 38.6
Word: tak, start_time: 38.6, end_time: 38.8
Word: nie, start_time: 38.8, end_time: 38.9
Word: może, start_time: 38.9, end_time: 39.3
Word: cel, start_time: 39.3, end_time: 40.3
Word: przyświecał, start_time: 40.3, end_time: 41.0
Word: im, start_time: 41.0, end_time: 41.3
Word: wzniosły, start_time: 41.3, end_time: 42.1
Word: dziadki, start_time: 42.1, end_time: 43.0
Word: ku, start_time: 43.0, end_time: 43.2
Word: górze, start_time: 43.2, end_time: 43.6
Word: rosły, start_time: 43.6, end_time: 44.1
Word: No, start_time: 44.1, end_time: 44.7
Word: i, start_time: 44.7, end_time: 44.8
Word: tak, start_time: 44.8, end_time: 45.2
Word: się, start_time: 45.2, end_time: 45.3
Word: tam, start_time: 45.3, end_time: 45.5
Word: żyło, start_time: 45.5, end_time: 46.0
Word: jakoś, start_time: 46.0, end_time: 47.0
Word: to, start_time: 47.0, end_time: 47.2
Word: było, start_time: 47.2, end_time: 47.7
Word: jakieś, start_time: 47.7, end_time: 49.1
Word: dziś, start_time: 49.1, end_time: 49.5
Word: społeczeństwa, start_time: 49.5, end_time: 50.6
Word: Przyszłość, start_time: 50.6, end_time: 51.3
Word: ma, start_time: 51.3, end_time: 51.5
Word: szansę, start_time: 51.5, end_time: 52.0
Word: skoro, start_time: 52.0, end_time: 52.7
Word: ludzie, start_time: 52.7, end_time: 52.9
Word: z, start_time: 52.9, end_time: 53.0
Word: małżeństwa, start_time: 53.0, end_time: 53.8
Word: czynią, start_time: 53.8, end_time: 54.2
Word: romanse, start_time: 54.2, end_time: 55.2
Word: dziś, start_time: 55.2, end_time: 56.1
Word: czy, start_time: 56.1, end_time: 56.5
Word: prosty, start_time: 56.5, end_time: 57.0
Word: czy, start_time: 57.0, end_time: 57.3
Word: krzywy, start_time: 57.3, end_time: 57.4
Word: Każdy, start_time: 57.4, end_time: 58.6
Word: chce, start_time: 58.6, end_time: 58.8
Word: być, start_time: 58.8, end_time: 58.9
Transcript: to czysta wariacja ta demokracja wszędzie dziś do narzekań widać tendencje wszędzie skargi na mężów impertynencje trudno mój miły bo że każdy robi co może przegrzanie jest nikt z panów Pułk Ułanów ówdzie znów mąż stroskane krzyczy o rety Jak to ja mam żyć z gęsią zamiast kobiety są i takie wypadki fakt znów nie jest tak rzadki spojrzy pan po tej rzeczy to cię pocieszy tam znów młode dziewcząt ko wprost od ołtarzy staje w progu sypialni z powagą na twarzy zapowiada ci ostro że chcę być tylko siostrą moja miła pieszczotka Bądź że choć ciotką wszystko dziś rozwodami sobie urąga separację od stołu No i szezlonga łączy się parki lub sobą nie
Confidence: 0.8786437511444092
Word: to, start_time: 59.9, end_time: 61.0
Word: czysta, start_time: 61.0, end_time: 61.4
Word: wariacja, start_time: 61.4, end_time: 62.0
Word: ta, start_time: 62.0, end_time: 62.4
Word: demokracja, start_time: 62.4, end_time: 62.9
Word: wszędzie, start_time: 62.9, end_time: 64.1
Word: dziś, start_time: 64.1, end_time: 64.4
Word: do, start_time: 64.4, end_time: 64.6
