Waiting for operation to complete...
Transcript: Bolesław Leśmian pejzaż współczesny dzieje się w krwi pożywką podchmielony w czasie
Confidence: 0.9396973252296448
Word: Bolesław, start_time: 0.0, end_time: 0.7000000000000001
Word: Leśmian, start_time: 0.7000000000000001, end_time: 0.8
Word: pejzaż, start_time: 0.8, end_time: 2.5
Word: współczesny, start_time: 2.5, end_time: 2.9
Word: dzieje, start_time: 2.9, end_time: 6.0
Word: się, start_time: 6.0, end_time: 6.2
Word: w, start_time: 6.2, end_time: 6.3
Word: krwi, start_time: 6.3, end_time: 6.6
Word: pożywką, start_time: 6.6, end_time: 7.3
Word: podchmielony, start_time: 7.3, end_time: 8.2
Word: w, start_time: 8.2, end_time: 8.2
Word: czasie, start_time: 8.2, end_time: 8.7
Transcript:  tak nie można trwać nadal ale nadal trwa się A co jutro jest wróżka w Paryżu i Pniewie i już wszystkim wiadomo
Confidence: 0.95843905210495
Word: tak, start_time: 9.9, end_time: 10.4
Word: nie, start_time: 10.4, end_time: 10.5
Word: można, start_time: 10.5, end_time: 10.7
Word: trwać, start_time: 10.7, end_time: 11.2
Word: nadal, start_time: 11.2, end_time: 11.7
Word: ale, start_time: 11.7, end_time: 12.6
Word: nadal, start_time: 12.6, end_time: 12.9
Word: trwa, start_time: 12.9, end_time: 13.3
Word: się, start_time: 13.3, end_time: 13.5
Word: A, start_time: 13.5, end_time: 13.6
Word: co, start_time: 13.6, end_time: 14.9
Word: jutro, start_time: 14.9, end_time: 15.1
Word: jest, start_time: 15.1, end_time: 16.4
Word: wróżka, start_time: 16.4, end_time: 16.9
Word: w, start_time: 16.9, end_time: 17.0
Word: Paryżu, start_time: 17.0, end_time: 17.5
Word: i, start_time: 17.5, end_time: 17.9
Word: Pniewie, start_time: 17.9, end_time: 18.5
Word: i, start_time: 18.5, end_time: 18.7
Word: już, start_time: 18.7, end_time: 19.8
Word: wszystkim, start_time: 19.8, end_time: 20.3
Word: wiadomo, start_time: 20.3, end_time: 20.6
Transcript:  jeszcze nikt nie wie a właśnie w kabarecie wśród figur w pośpiechu much ozdobna łysina trzęsie się od śmiechu a w sali naprzeciwko grzmi odczyty publiczny Jak ustalić w niebycie byt Ekonomiczny
Confidence: 0.9229498505592346
Word: jeszcze, start_time: 21.8, end_time: 22.5
Word: nikt, start_time: 22.5, end_time: 22.8
Word: nie, start_time: 22.8, end_time: 23.0
Word: wie, start_time: 23.0, end_time: 23.3
Word: a, start_time: 23.3, end_time: 23.4
Word: właśnie, start_time: 23.4, end_time: 25.2
Word: w, start_time: 25.2, end_time: 25.3
Word: kabarecie, start_time: 25.3, end_time: 25.8
Word: wśród, start_time: 25.8, end_time: 26.4
Word: figur, start_time: 26.4, end_time: 26.7
Word: w, start_time: 26.7, end_time: 26.9
Word: pośpiechu, start_time: 26.9, end_time: 27.2
Word: much, start_time: 27.2, end_time: 28.2
Word: ozdobna, start_time: 28.2, end_time: 28.8
Word: łysina, start_time: 28.8, end_time: 29.3
Word: trzęsie, start_time: 29.3, end_time: 29.9
Word: się, start_time: 29.9, end_time: 30.1
Word: od, start_time: 30.1, end_time: 30.2
Word: śmiechu, start_time: 30.2, end_time: 30.4
Word: a, start_time: 30.4, end_time: 30.8
Word: w, start_time: 30.8, end_time: 32.0
Word: sali, start_time: 32.0, end_time: 32.2
Word: naprzeciwko, start_time: 32.2, end_time: 32.8
Word: grzmi, start_time: 32.8, end_time: 33.4
Word: odczyty, start_time: 33.4, end_time: 34.1
Word: publiczny, start_time: 34.1, end_time: 34.7
Word: Jak, start_time: 34.7, end_time: 35.9
Word: ustalić, start_time: 35.9, end_time: 36.5
Word: w, start_time: 36.5, end_time: 36.6
Word: niebycie, start_time: 36.6, end_time: 37.0
Word: byt, start_time: 37.0, end_time: 37.9
Word: Ekonomiczny, start_time: 37.9, end_time: 38.7
Transcript:  ów zbójca Bożym krokiem odzywa świątynie we mgle inteligenta już zdążył po minie i nie w gościnie wzdłuż Elbląg są do bezdroża lecz uderza w terminie co szła na lepiej noża w zwrotach izby piwnicznej śniąc kontem w nocy Złotno robot ul w objęciu dziecka bezrobotną i dłonią jak spiżowym dolców pod skalniakiem zmusza piersi do układów z miłości starszakiem
Confidence: 0.8919042348861694
Word: ów, start_time: 40.8, end_time: 41.2
Word: zbójca, start_time: 41.2, end_time: 41.9
Word: Bożym, start_time: 41.9, end_time: 42.3
Word: krokiem, start_time: 42.3, end_time: 42.9
Word: odzywa, start_time: 42.9, end_time: 43.5
Word: świątynie, start_time: 43.5, end_time: 44.2
Word: we, start_time: 44.2, end_time: 45.6
Word: mgle, start_time: 45.6, end_time: 45.9
