Waiting for operation to complete...
Transcript: Bolesław Leśmian Kopciuszek
Confidence: 0.9785358309745789
Word: Bolesław, start_time: 0.0, end_time: 0.7000000000000001
Word: Leśmian, start_time: 0.7000000000000001, end_time: 0.8
Word: Kopciuszek, start_time: 0.8, end_time: 2.8
Transcript:  gdy Kopciuszek łachmany rozmarzony zgrzebłem w balu niedostępnego dumał się przepychy wróżka lecąca jutra niepewnym śrut nie wiem nagle przednich stanęła był wieczór dość cichy
Confidence: 0.8842136263847351
Word: gdy, start_time: 4.6, end_time: 5.0
Word: Kopciuszek, start_time: 5.0, end_time: 5.5
Word: łachmany, start_time: 5.5, end_time: 6.1
Word: rozmarzony, start_time: 6.1, end_time: 6.8
Word: zgrzebłem, start_time: 6.8, end_time: 7.5
Word: w, start_time: 7.5, end_time: 7.7
Word: balu, start_time: 7.7, end_time: 8.6
Word: niedostępnego, start_time: 8.6, end_time: 9.3
Word: dumał, start_time: 9.3, end_time: 9.9
Word: się, start_time: 9.9, end_time: 10.0
Word: przepychy, start_time: 10.0, end_time: 10.5
Word: wróżka, start_time: 10.5, end_time: 11.8
Word: lecąca, start_time: 11.8, end_time: 12.3
Word: jutra, start_time: 12.3, end_time: 12.8
Word: niepewnym, start_time: 12.8, end_time: 13.3
Word: śrut, start_time: 13.3, end_time: 13.7
Word: nie, start_time: 13.7, end_time: 13.9
Word: wiem, start_time: 13.9, end_time: 14.2
Word: nagle, start_time: 14.2, end_time: 15.2
Word: przednich, start_time: 15.2, end_time: 15.7
Word: stanęła, start_time: 15.7, end_time: 16.2
Word: był, start_time: 16.2, end_time: 17.3
Word: wieczór, start_time: 17.3, end_time: 17.6
Word: dość, start_time: 17.6, end_time: 17.9
Word: cichy, start_time: 17.9, end_time: 18.4
Transcript:  a ona w cudach pilna i w radości Chyża udka z pajęczyny skradzionej spod płota suknie co prześwituje do oczu pobliża oddala mi w szkarłatkach zanikowego złota
Confidence: 0.9313387274742126
Word: a, start_time: 20.5, end_time: 20.5
Word: ona, start_time: 20.5, end_time: 21.0
Word: w, start_time: 21.0, end_time: 21.1
Word: cudach, start_time: 21.1, end_time: 21.4
Word: pilna, start_time: 21.4, end_time: 21.9
Word: i, start_time: 21.9, end_time: 22.1
Word: w, start_time: 22.1, end_time: 22.5
Word: radości, start_time: 22.5, end_time: 22.7
Word: Chyża, start_time: 22.7, end_time: 23.3
Word: udka, start_time: 23.3, end_time: 24.2
