Waiting for operation to complete...
Transcript: pochwała wieku dojrzałego że często o tym wieku gdy zwierzę ginie w człowieku gdy już żadna z ziemskich uci władzy ducha nie ukróci Jak to musi być przyjemnie nic poza mną wszystko we mnie zmysłów swoich gęstą pianę zbierasz sobie jak śmietany i rzucasz czy to nie prościej na ekran nieskończoności oczyszczony duchu lata w harmonijne kręgi świata dokoła człowiek Spogląda nic nie pragnie nic nie żąda w ciągłej ekstazie na jawie żyje się za bezcen prawie a czas to dopiero zyski żaden ciała popęd niski roboczego dnia nie kurczy nie zawadza w pracy twórczej spokoju mocą tajemną nie wygania cię w noc ciemną będziesz tam niebiańskim spokojem Siedzisz przy biurku swoim Huczy dymi samowarek
Confidence: 0.8909538388252258
Word: pochwała, start_time: 0.0, end_time: 0.9
Word: wieku, start_time: 0.9, end_time: 1.1
Word: dojrzałego, start_time: 1.1, end_time: 1.4
Word: że, start_time: 1.4, end_time: 3.0
Word: często, start_time: 3.0, end_time: 3.6
Word: o, start_time: 3.6, end_time: 3.7
Word: tym, start_time: 3.7, end_time: 3.9
Word: wieku, start_time: 3.9, end_time: 4.4
Word: gdy, start_time: 4.4, end_time: 5.2
Word: zwierzę, start_time: 5.2, end_time: 5.7
Word: ginie, start_time: 5.7, end_time: 6.2
Word: w, start_time: 6.2, end_time: 6.2
Word: człowieku, start_time: 6.2, end_time: 6.9
Word: gdy, start_time: 6.9, end_time: 7.6
Word: już, start_time: 7.6, end_time: 7.8
Word: żadna, start_time: 7.8, end_time: 8.4
Word: z, start_time: 8.4, end_time: 8.5
Word: ziemskich, start_time: 8.5, end_time: 9.2
Word: uci, start_time: 9.2, end_time: 9.6
Word: władzy, start_time: 9.6, end_time: 10.4
Word: ducha, start_time: 10.4, end_time: 10.8
Word: nie, start_time: 10.8, end_time: 11.1
Word: ukróci, start_time: 11.1, end_time: 11.8
Word: Jak, start_time: 11.8, end_time: 12.6
Word: to, start_time: 12.6, end_time: 12.7
Word: musi, start_time: 12.7, end_time: 13.0
Word: być, start_time: 13.0, end_time: 13.1
Word: przyjemnie, start_time: 13.1, end_time: 13.7
Word: nic, start_time: 13.7, end_time: 14.5
Word: poza, start_time: 14.5, end_time: 14.8
Word: mną, start_time: 14.8, end_time: 15.0
Word: wszystko, start_time: 15.0, end_time: 15.8
Word: we, start_time: 15.8, end_time: 16.0
Word: mnie, start_time: 16.0, end_time: 16.1
Word: zmysłów, start_time: 16.1, end_time: 17.4
Word: swoich, start_time: 17.4, end_time: 17.9
Word: gęstą, start_time: 17.9, end_time: 18.5
Word: pianę, start_time: 18.5, end_time: 18.9
Word: zbierasz, start_time: 18.9, end_time: 19.8
Word: sobie, start_time: 19.8, end_time: 20.3
Word: jak, start_time: 20.3, end_time: 20.5
Word: śmietany, start_time: 20.5, end_time: 21.1
Word: i, start_time: 21.1, end_time: 21.2
Word: rzucasz, start_time: 21.2, end_time: 22.2
Word: czy, start_time: 22.2, end_time: 22.7
Word: to, start_time: 22.7, end_time: 22.8
Word: nie, start_time: 22.8, end_time: 22.9
Word: prościej, start_time: 22.9, end_time: 23.3
Word: na, start_time: 23.3, end_time: 23.8
Word: ekran, start_time: 23.8, end_time: 24.4
Word: nieskończoności, start_time: 24.4, end_time: 25.8
Word: oczyszczony, start_time: 25.8, end_time: 26.9
Word: duchu, start_time: 26.9, end_time: 27.3
Word: lata, start_time: 27.3, end_time: 27.7
Word: w, start_time: 27.7, end_time: 27.8
Word: harmonijne, start_time: 27.8, end_time: 28.8
Word: kręgi, start_time: 28.8, end_time: 29.3
Word: świata, start_time: 29.3, end_time: 29.8
Word: dokoła, start_time: 29.8, end_time: 30.7
Word: człowiek, start_time: 30.7, end_time: 31.1
Word: Spogląda, start_time: 31.1, end_time: 31.7
Word: nic, start_time: 31.7, end_time: 32.3
Word: nie, start_time: 32.3, end_time: 32.5
Word: pragnie, start_time: 32.5, end_time: 32.9
Word: nic, start_time: 32.9, end_time: 33.1
Word: nie, start_time: 33.1, end_time: 33.8
Word: żąda, start_time: 33.8, end_time: 34.2
Word: w, start_time: 34.2, end_time: 34.3
Word: ciągłej, start_time: 34.3, end_time: 35.2
Word: ekstazie, start_time: 35.2, end_time: 35.9
Word: na, start_time: 35.9, end_time: 36.1
Word: jawie, start_time: 36.1, end_time: 36.4
Word: żyje, start_time: 36.4, end_time: 37.3
Word: się, start_time: 37.3, end_time: 37.5
Word: za, start_time: 37.5, end_time: 37.7
Word: bezcen, start_time: 37.7, end_time: 38.3
Word: prawie, start_time: 38.3, end_time: 38.8
Word: a, start_time: 38.8, end_time: 38.9
Word: czas, start_time: 38.9, end_time: 39.7
Word: to, start_time: 39.7, end_time: 40.4
Word: dopiero, start_time: 40.4, end_time: 40.8
Word: zyski, start_time: 40.8, end_time: 41.4
Word: żaden, start_time: 41.4, end_time: 42.3
Word: ciała, start_time: 42.3, end_time: 42.8
Word: popęd, start_time: 42.8, end_time: 43.3
Word: niski, start_time: 43.3, end_time: 43.7
Word: roboczego, start_time: 43.7, end_time: 44.6
Word: dnia, start_time: 44.6, end_time: 44.9
Word: nie, start_time: 44.9, end_time: 45.2
Word: kurczy, start_time: 45.2, end_time: 45.7
Word: nie, start_time: 45.7, end_time: 46.4
Word: zawadza, start_time: 46.4, end_time: 46.9
Word: w, start_time: 46.9, end_time: 47.1
Word: pracy, start_time: 47.1, end_time: 47.6
Word: twórczej, start_time: 47.6, end_time: 47.9
Word: spokoju, start_time: 47.9, end_time: 49.5
Word: mocą, start_time: 49.5, end_time: 50.1
Word: tajemną, start_time: 50.1, end_time: 50.6
Word: nie, start_time: 50.6, end_time: 51.2
Word: wygania, start_time: 51.2, end_time: 51.6
Word: cię, start_time: 51.6, end_time: 51.8
Word: w, start_time: 51.8, end_time: 52.0
Word: noc, start_time: 52.0, end_time: 52.2
Word: ciemną, start_time: 52.2, end_time: 52.8
Word: będziesz, start_time: 52.8, end_time: 53.7
Word: tam, start_time: 53.7, end_time: 53.9
