Waiting for operation to complete...
Transcript: zdarzenie prawdziwe siedząc żałośnie nad bankiem dbałem o życiu tak jem żeby to tak było Można by każda chęć płocha z drużyna była ode mnie odległa bo myśl moja za przebiegła ku zacności ku dobremu i służyła tylko jem i wciąż bym się doskonalił tak żebym nie każdy chwalił ale jak to zwykle bywa że krótko trwa chęć poczciwa jakoś mi to potem przeszło i co gorsza się obeszło
Confidence: 0.9196662902832031
Word: zdarzenie, start_time: 0.0, end_time: 0.9
Word: prawdziwe, start_time: 0.9, end_time: 1.5
Word: siedząc, start_time: 1.5, end_time: 2.9
Word: żałośnie, start_time: 2.9, end_time: 3.7
Word: nad, start_time: 3.7, end_time: 3.9
Word: bankiem, start_time: 3.9, end_time: 4.3
Word: dbałem, start_time: 4.3, end_time: 5.4
Word: o, start_time: 5.4, end_time: 5.6
Word: życiu, start_time: 5.6, end_time: 6.2
Word: tak, start_time: 6.2, end_time: 6.5
Word: jem, start_time: 6.5, end_time: 6.8
Word: żeby, start_time: 6.8, end_time: 8.2
Word: to, start_time: 8.2, end_time: 8.3
Word: tak, start_time: 8.3, end_time: 8.5
Word: było, start_time: 8.5, end_time: 8.7
Word: Można, start_time: 8.7, end_time: 9.1
Word: by, start_time: 9.1, end_time: 9.9
Word: każda, start_time: 9.9, end_time: 10.4
Word: chęć, start_time: 10.4, end_time: 10.8
Word: płocha, start_time: 10.8, end_time: 11.5
Word: z, start_time: 11.5, end_time: 11.7
Word: drużyna, start_time: 11.7, end_time: 12.4
Word: była, start_time: 12.4, end_time: 13.0
Word: ode, start_time: 13.0, end_time: 13.4
Word: mnie, start_time: 13.4, end_time: 13.5
Word: odległa, start_time: 13.5, end_time: 14.2
Word: bo, start_time: 14.2, end_time: 14.9
Word: myśl, start_time: 14.9, end_time: 15.2
Word: moja, start_time: 15.2, end_time: 15.6
Word: za, start_time: 15.6, end_time: 15.9
Word: przebiegła, start_time: 15.9, end_time: 16.7
Word: ku, start_time: 16.7, end_time: 17.0
Word: zacności, start_time: 17.0, end_time: 17.8
Word: ku, start_time: 17.8, end_time: 18.1
Word: dobremu, start_time: 18.1, end_time: 18.5
Word: i, start_time: 18.5, end_time: 18.7
Word: służyła, start_time: 18.7, end_time: 19.7
Word: tylko, start_time: 19.7, end_time: 20.2
Word: jem, start_time: 20.2, end_time: 20.4
Word: i, start_time: 20.4, end_time: 20.6
Word: wciąż, start_time: 20.6, end_time: 21.4
Word: bym, start_time: 21.4, end_time: 21.6
Word: się, start_time: 21.6, end_time: 21.7
Word: doskonalił, start_time: 21.7, end_time: 22.5
Word: tak, start_time: 22.5, end_time: 23.1
Word: żebym, start_time: 23.1, end_time: 23.6
Word: nie, start_time: 23.6, end_time: 23.7
Word: każdy, start_time: 23.7, end_time: 24.3
Word: chwalił, start_time: 24.3, end_time: 24.8
Word: ale, start_time: 24.8, end_time: 25.9
Word: jak, start_time: 25.9, end_time: 26.3
Word: to, start_time: 26.3, end_time: 26.4
Word: zwykle, start_time: 26.4, end_time: 26.7
Word: bywa, start_time: 26.7, end_time: 26.9
Word: że, start_time: 26.9, end_time: 27.7
Word: krótko, start_time: 27.7, end_time: 28.2
Word: trwa, start_time: 28.2, end_time: 28.6
Word: chęć, start_time: 28.6, end_time: 29.1
Word: poczciwa, start_time: 29.1, end_time: 29.8
Word: jakoś, start_time: 29.8, end_time: 30.7
Word: mi, start_time: 30.7, end_time: 30.8
Word: to, start_time: 30.8, end_time: 31.1
Word: potem, start_time: 31.1, end_time: 31.4
Word: przeszło, start_time: 31.4, end_time: 31.8
Word: i, start_time: 31.8, end_time: 32.0
Word: co, start_time: 32.0, end_time: 32.7
Word: gorsza, start_time: 32.7, end_time: 33.2
Word: się, start_time: 33.2, end_time: 33.7
Word: obeszło, start_time: 33.7, end_time: 34.4
