Waiting for operation to complete...
Transcript: Artur Oppman o Józiu Gapić Elu
Confidence: 0.806060791015625
Word: Artur, start_time: 0.0, end_time: 1.4
Word: Oppman, start_time: 1.4, end_time: 1.7000000000000002
Word: o, start_time: 1.7000000000000002, end_time: 2.0
Word: Józiu, start_time: 2.0, end_time: 2.8
Word: Gapić, start_time: 2.8, end_time: 3.5
Word: Elu, start_time: 3.5, end_time: 3.8
Transcript:  dobre serce miła buzia Śliczny chłopczyk byłby Zuzia gdyby mówiąc między nami nie zagapił się czasami zamiast patrzeć wprost przed siebie ciągle Szuka coś po niebie wznosi oczy do góry czy on szuka w niebie dziury co chcesz i wygląda ładnie to z pagórka na dół wpadnie to odbija się od ściany w wietrznie chodzi podrapany Co dzień na przygodę nową raz oczywiście wyciął głową raz do rowu wpadł po szyję dziwne że się nie zabije patrząc gdzieś tam w górę head raz z książeczką kapuś szedł Idzie sobie fascinator co matka to jest Łakomy dorwał z kuchni dużo gości i uciekał Wiem teraz że tak to to będzie jadł mama woła chodź
Confidence: 0.7953990697860718
Word: dobre, start_time: 5.4, end_time: 6.2
Word: serce, start_time: 6.2, end_time: 6.7
Word: miła, start_time: 6.7, end_time: 8.0
Word: buzia, start_time: 8.0, end_time: 8.6
Word: Śliczny, start_time: 8.6, end_time: 10.1
Word: chłopczyk, start_time: 10.1, end_time: 10.7
Word: byłby, start_time: 10.7, end_time: 11.3
Word: Zuzia, start_time: 11.3, end_time: 12.0
Word: gdyby, start_time: 12.0, end_time: 13.2
Word: mówiąc, start_time: 13.2, end_time: 13.7
Word: między, start_time: 13.7, end_time: 14.4
Word: nami, start_time: 14.4, end_time: 14.9
Word: nie, start_time: 14.9, end_time: 15.7
Word: zagapił, start_time: 15.7, end_time: 16.1
Word: się, start_time: 16.1, end_time: 16.3
Word: czasami, start_time: 16.3, end_time: 16.5
Word: zamiast, start_time: 16.5, end_time: 17.7
Word: patrzeć, start_time: 17.7, end_time: 18.2
Word: wprost, start_time: 18.2, end_time: 18.9
Word: przed, start_time: 18.9, end_time: 19.2
