Waiting for operation to complete...
Transcript: Alfred de musset spowiedź dziecięcia wieku tłumaczenie Tadeusz Boy żeleński część pierwsza rozdział pierwszy aby napisać historię swego życia Trzeba przede wszystkim żyć nie moją własną też historie pisze wciągnięty w młodym wieku jeszcze okropną chorobą moralną opowiadam co mi się zdarzyło w ciągu trzech lat Gdybym tylko sam jeden był chory milczał bym ale ponieważ wielu prócz mnie cierpi na tę samą chorobę pisze dla nich nie wiem nawet czy Zwrócą uwagę na moje słowa ale gdyby nawet miały się spotkać zupełną obojętnością i tak zyskałby tyle iż uleczył bym lepiej sam siebie jak lis ujęty w pułapkę obgryzam przyciętą wpaść i nogę
Confidence: 0.9420753717422485
Word: Alfred, start_time: 0.0, end_time: 0.8
Word: de, start_time: 0.8, end_time: 1.3
Word: musset, start_time: 1.3, end_time: 1.3
Word: spowiedź, start_time: 1.3, end_time: 2.9
Word: dziecięcia, start_time: 2.9, end_time: 3.4
Word: wieku, start_time: 3.4, end_time: 3.7
Word: tłumaczenie, start_time: 3.7, end_time: 5.8
Word: Tadeusz, start_time: 5.8, end_time: 6.5
Word: Boy, start_time: 6.5, end_time: 6.7
Word: żeleński, start_time: 6.7, end_time: 6.8
Word: część, start_time: 6.8, end_time: 9.2
Word: pierwsza, start_time: 9.2, end_time: 9.7
Word: rozdział, start_time: 9.7, end_time: 10.9
Word: pierwszy, start_time: 10.9, end_time: 11.6
Word: aby, start_time: 11.6, end_time: 13.2
Word: napisać, start_time: 13.2, end_time: 13.7
Word: historię, start_time: 13.7, end_time: 14.2
Word: swego, start_time: 14.2, end_time: 14.5
Word: życia, start_time: 14.5, end_time: 14.9
Word: Trzeba, start_time: 14.9, end_time: 15.8
Word: przede, start_time: 15.8, end_time: 16.1
Word: wszystkim, start_time: 16.1, end_time: 16.2
Word: żyć, start_time: 16.2, end_time: 17.3
Word: nie, start_time: 17.3, end_time: 18.3
Word: moją, start_time: 18.3, end_time: 18.5
Word: własną, start_time: 18.5, end_time: 19.1
Word: też, start_time: 19.1, end_time: 19.4
Word: historie, start_time: 19.4, end_time: 20.1
Word: pisze, start_time: 20.1, end_time: 20.6
Word: wciągnięty, start_time: 20.6, end_time: 21.9
Word: w, start_time: 21.9, end_time: 22.1
Word: młodym, start_time: 22.1, end_time: 22.6
Word: wieku, start_time: 22.6, end_time: 22.7
Word: jeszcze, start_time: 22.7, end_time: 23.5
Word: okropną, start_time: 23.5, end_time: 24.2
Word: chorobą, start_time: 24.2, end_time: 24.7
Word: moralną, start_time: 24.7, end_time: 25.3
Word: opowiadam, start_time: 25.3, end_time: 26.3
Word: co, start_time: 26.3, end_time: 26.5
Word: mi, start_time: 26.5, end_time: 26.6
Word: się, start_time: 26.6, end_time: 26.8
Word: zdarzyło, start_time: 26.8, end_time: 27.2
Word: w, start_time: 27.2, end_time: 27.3
Word: ciągu, start_time: 27.3, end_time: 27.7
Word: trzech, start_time: 27.7, end_time: 27.9
Word: lat, start_time: 27.9, end_time: 28.3
Word: Gdybym, start_time: 28.3, end_time: 29.4
Word: tylko, start_time: 29.4, end_time: 29.5
Word: sam, start_time: 29.5, end_time: 30.1
Word: jeden, start_time: 30.1, end_time: 30.5
Word: był, start_time: 30.5, end_time: 30.7
Word: chory, start_time: 30.7, end_time: 31.0
Word: milczał, start_time: 31.0, end_time: 31.9
Word: bym, start_time: 31.9, end_time: 32.1
Word: ale, start_time: 32.1, end_time: 32.9
Word: ponieważ, start_time: 32.9, end_time: 33.3
Word: wielu, start_time: 33.3, end_time: 33.9
Word: prócz, start_time: 33.9, end_time: 34.3
Word: mnie, start_time: 34.3, end_time: 34.5
Word: cierpi, start_time: 34.5, end_time: 35.2
Word: na, start_time: 35.2, end_time: 35.3
Word: tę, start_time: 35.3, end_time: 35.6
Word: samą, start_time: 35.6, end_time: 35.8
Word: chorobę, start_time: 35.8, end_time: 36.1
Word: pisze, start_time: 36.1, end_time: 37.4
Word: dla, start_time: 37.4, end_time: 37.6
Word: nich, start_time: 37.6, end_time: 37.9
Word: nie, start_time: 37.9, end_time: 39.2
Word: wiem, start_time: 39.2, end_time: 39.3
Word: nawet, start_time: 39.3, end_time: 39.5
Word: czy, start_time: 39.5, end_time: 39.8
Word: Zwrócą, start_time: 39.8, end_time: 40.6
Word: uwagę, start_time: 40.6, end_time: 40.8
Word: na, start_time: 40.8, end_time: 41.5
Word: moje, start_time: 41.5, end_time: 41.6
Word: słowa, start_time: 41.6, end_time: 41.9
Word: ale, start_time: 41.9, end_time: 42.8
Word: gdyby, start_time: 42.8, end_time: 43.1
Word: nawet, start_time: 43.1, end_time: 43.3
Word: miały, start_time: 43.3, end_time: 43.7
Word: się, start_time: 43.7, end_time: 43.9
Word: spotkać, start_time: 43.9, end_time: 44.4
Word: zupełną, start_time: 44.4, end_time: 45.2
Word: obojętnością, start_time: 45.2, end_time: 46.1
Word: i, start_time: 46.1, end_time: 46.3
Word: tak, start_time: 46.3, end_time: 47.0
Word: zyskałby, start_time: 47.0, end_time: 47.8
Word: tyle, start_time: 47.8, end_time: 48.2
Word: iż, start_time: 48.2, end_time: 48.8
Word: uleczył, start_time: 48.8, end_time: 49.5
Word: bym, start_time: 49.5, end_time: 49.7
Word: lepiej, start_time: 49.7, end_time: 50.1
Word: sam, start_time: 50.1, end_time: 50.4
Word: siebie, start_time: 50.4, end_time: 50.8
Word: jak, start_time: 50.8, end_time: 51.8
Word: lis, start_time: 51.8, end_time: 52.1
Word: ujęty, start_time: 52.1, end_time: 52.7
Word: w, start_time: 52.7, end_time: 52.7
Word: pułapkę, start_time: 52.7, end_time: 53.3
Word: obgryzam, start_time: 53.3, end_time: 54.5
Word: przyciętą, start_time: 54.5, end_time: 55.3
Word: wpaść, start_time: 55.3, end_time: 55.8
Word: i, start_time: 55.8, end_time: 56.0
Word: nogę, start_time: 56.0, end_time: 56.4
