Waiting for operation to complete...
Transcript: Artur Oppman napowietrzna podróż Frania próżniaka rzekła mama raz do Frania Weź się synku do pisania a dwie lekcje się powiedzie będzie spacer po obiedzie Poszła mama a u synka nie szczególnie jakoś minka okiem zerkam głową kręci ale pisać Nie ma chęci a co mi tam wiem co zrobię Pan Franciszek myśli sobie nie mówiąc nic nikomu na kwadrans wyjdę z domu na to nie poradzisz jest parasol dziadzi wielki z konta nasz leniuszek wnet sprząta nie pomyliłaś przestróg mamy milczkiem chyłkiem zbiegł do bramy i dokoła spoglądając na ulicę Synergia
Confidence: 0.785037636756897
Word: Artur, start_time: 0.0, end_time: 1.5
Word: Oppman, start_time: 1.5, end_time: 1.7000000000000002
Word: napowietrzna, start_time: 1.7000000000000002, end_time: 4.1
Word: podróż, start_time: 4.1, end_time: 4.6
Word: Frania, start_time: 4.6, end_time: 5.4
Word: próżniaka, start_time: 5.4, end_time: 6.2
Word: rzekła, start_time: 6.2, end_time: 9.5
Word: mama, start_time: 9.5, end_time: 9.8
Word: raz, start_time: 9.8, end_time: 10.2
Word: do, start_time: 10.2, end_time: 10.4
Word: Frania, start_time: 10.4, end_time: 10.9
Word: Weź, start_time: 10.9, end_time: 12.4
Word: się, start_time: 12.4, end_time: 12.6
Word: synku, start_time: 12.6, end_time: 12.9
Word: do, start_time: 12.9, end_time: 13.0
Word: pisania, start_time: 13.0, end_time: 13.5
Word: a, start_time: 13.5, end_time: 13.6
Word: dwie, start_time: 13.6, end_time: 14.3
Word: lekcje, start_time: 14.3, end_time: 14.6
Word: się, start_time: 14.6, end_time: 14.9
Word: powiedzie, start_time: 14.9, end_time: 15.3
Word: będzie, start_time: 15.3, end_time: 16.2
Word: spacer, start_time: 16.2, end_time: 16.6
Word: po, start_time: 16.6, end_time: 16.9
Word: obiedzie, start_time: 16.9, end_time: 17.3
Word: Poszła, start_time: 17.3, end_time: 18.8
Word: mama, start_time: 18.8, end_time: 19.0
Word: a, start_time: 19.0, end_time: 19.1
Word: u, start_time: 19.1, end_time: 19.6
Word: synka, start_time: 19.6, end_time: 20.0
Word: nie, start_time: 20.0, end_time: 20.7
Word: szczególnie, start_time: 20.7, end_time: 21.2
Word: jakoś, start_time: 21.2, end_time: 21.3
Word: minka, start_time: 21.3, end_time: 22.0
Word: okiem, start_time: 22.0, end_time: 22.7
Word: zerkam, start_time: 22.7, end_time: 23.0
Word: głową, start_time: 23.0, end_time: 23.4
Word: kręci, start_time: 23.4, end_time: 24.0
Word: ale, start_time: 24.0, end_time: 24.5
Word: pisać, start_time: 24.5, end_time: 24.9
Word: Nie, start_time: 24.9, end_time: 25.0
Word: ma, start_time: 25.0, end_time: 25.5
Word: chęci, start_time: 25.5, end_time: 25.7
Word: a, start_time: 25.7, end_time: 29.5
Word: co, start_time: 29.5, end_time: 30.3
Word: mi, start_time: 30.3, end_time: 30.6
Word: tam, start_time: 30.6, end_time: 30.7
Word: wiem, start_time: 30.7, end_time: 32.2
Word: co, start_time: 32.2, end_time: 32.4
Word: zrobię, start_time: 32.4, end_time: 32.8
Word: Pan, start_time: 32.8, end_time: 33.6
Word: Franciszek, start_time: 33.6, end_time: 33.8
Word: myśli, start_time: 33.8, end_time: 34.4
Word: sobie, start_time: 34.4, end_time: 34.6
Word: nie, start_time: 34.6, end_time: 36.1
Word: mówiąc, start_time: 36.1, end_time: 36.7
Word: nic, start_time: 36.7, end_time: 37.1
Word: nikomu, start_time: 37.1, end_time: 37.6
Word: na, start_time: 37.6, end_time: 39.0
Word: kwadrans, start_time: 39.0, end_time: 39.8
Word: wyjdę, start_time: 39.8, end_time: 40.1
Word: z, start_time: 40.1, end_time: 40.4
Word: domu, start_time: 40.4, end_time: 40.5
Word: na, start_time: 40.5, end_time: 40.9
Word: to, start_time: 40.9, end_time: 44.6
Word: nie, start_time: 44.6, end_time: 44.8
Word: poradzisz, start_time: 44.8, end_time: 46.0
Word: jest, start_time: 46.0, end_time: 47.2
Word: parasol, start_time: 47.2, end_time: 47.8
Word: dziadzi, start_time: 47.8, end_time: 48.6
Word: wielki, start_time: 48.6, end_time: 50.2
Word: z, start_time: 50.2, end_time: 50.2
Word: konta, start_time: 50.2, end_time: 50.6
Word: nasz, start_time: 50.6, end_time: 50.8
Word: leniuszek, start_time: 50.8, end_time: 51.2
Word: wnet, start_time: 51.2, end_time: 51.5
Word: sprząta, start_time: 51.5, end_time: 52.1
Word: nie, start_time: 52.1, end_time: 52.5
Word: pomyliłaś, start_time: 52.5, end_time: 53.2
Word: przestróg, start_time: 53.2, end_time: 53.7
Word: mamy, start_time: 53.7, end_time: 54.1
Word: milczkiem, start_time: 54.1, end_time: 54.8
Word: chyłkiem, start_time: 54.8, end_time: 55.5
Word: zbiegł, start_time: 55.5, end_time: 56.0
Word: do, start_time: 56.0, end_time: 56.2
Word: bramy, start_time: 56.2, end_time: 56.5
Word: i, start_time: 56.5, end_time: 56.6
Word: dokoła, start_time: 56.6, end_time: 57.6
Word: spoglądając, start_time: 57.6, end_time: 58.4
Word: na, start_time: 58.4, end_time: 58.6
Word: ulicę, start_time: 58.6, end_time: 59.3
Word: Synergia, start_time: 59.3, end_time: 59.8
Transcript: Idzie sobie z gęstą miną a po niebie Chmury płyną w tym od razu wiatr się zerwał dużo dużo extra szkliwa parasolem wiatr pomiata gwałtów w prawo w górę w latach czapkę wiatr gdzieś pomysłów pola trzymaj że się poruszę Podróż była krótka wpadł pan Franio do ogródka Lecz choć bardzo potłuczony biegów do domu jak szalony z płaczem mamy Ucałował odtąd nigdy nie próżnował a pamiątki miał z podróży 4 sińce i guz duży
Confidence: 0.931091845035553
Word: Idzie, start_time: 59.9, end_time: 61.0
Word: sobie, start_time: 61.0, end_time: 61.2
Word: z, start_time: 61.2, end_time: 61.5
Word: gęstą, start_time: 61.5, end_time: 62.0
Word: miną, start_time: 62.0, end_time: 62.4
Word: a, start_time: 62.4, end_time: 62.6
Word: po, start_time: 62.6, end_time: 62.9
Word: niebie, start_time: 62.9, end_time: 63.2
Word: Chmury, start_time: 63.2, end_time: 63.4
Word: płyną, start_time: 63.4, end_time: 63.9
Word: w, start_time: 63.9, end_time: 64.4
Word: tym, start_time: 64.4, end_time: 65.1
Word: od, start_time: 65.1, end_time: 65.4
Word: razu, start_time: 65.4, end_time: 65.6
Word: wiatr, start_time: 65.6, end_time: 66.2
Word: się, start_time: 66.2, end_time: 66.3
Word: zerwał, start_time: 66.3, end_time: 66.8
Word: dużo, start_time: 66.8, end_time: 67.4
Word: dużo, start_time: 67.4, end_time: 68.5
Word: extra, start_time: 68.5, end_time: 69.3
Word: szkliwa, start_time: 69.3, end_time: 70.1
Word: parasolem, start_time: 70.1, end_time: 71.1
Word: wiatr, start_time: 71.1, end_time: 71.4
Word: pomiata, start_time: 71.4, end_time: 71.9
Word: gwałtów, start_time: 71.9, end_time: 72.6
Word: w, start_time: 72.6, end_time: 72.7
Word: prawo, start_time: 72.7, end_time: 73.2
Word: w, start_time: 73.2, end_time: 73.2
Word: górę, start_time: 73.2, end_time: 73.3
Word: w, start_time: 73.3, end_time: 73.6
Word: latach, start_time: 73.6, end_time: 74.0
Word: czapkę, start_time: 74.0, end_time: 74.5
