Waiting for operation to complete...
Transcript: mistrzowice autorowi projektu napełnienia Krakowskiego rondla swoją Panorama Luta Siedziała na lipie zobaczył pan styka jak raz mały kundel podniósł żadną łapkę is paskudzi rondel oj dana i przyszła mistrzowie do głowy myśl słodka a gdyby to samo zrobić o d środka oj dana że ludzie ofiarnik są w tych czasach rzadcy więc mu deputacja ślą dziękczynną radcy oj dana jeśli zatem Fama publicznie nie kłamię będziemy mieli W rondlu Grunwald w Panoramie oj dana tak to z małych przyczyny skutki są ogromne w niepozornej psiny dzieło wiekopomne oj dana lecz w czym niezbadane losów tajemnice nie wie Nikt o piesku A każdy wstyd
Confidence: 0.8194246292114258
Word: mistrzowice, start_time: 0.0, end_time: 1.3
Word: autorowi, start_time: 1.3, end_time: 2.4
Word: projektu, start_time: 2.4, end_time: 3.0
Word: napełnienia, start_time: 3.0, end_time: 3.9
Word: Krakowskiego, start_time: 3.9, end_time: 4.6
Word: rondla, start_time: 4.6, end_time: 5.3
Word: swoją, start_time: 5.3, end_time: 5.9
Word: Panorama, start_time: 5.9, end_time: 6.7
Word: Luta, start_time: 6.7, end_time: 8.0
Word: Siedziała, start_time: 8.0, end_time: 9.0
Word: na, start_time: 9.0, end_time: 9.2
Word: lipie, start_time: 9.2, end_time: 9.2
Word: zobaczył, start_time: 9.2, end_time: 10.7
Word: pan, start_time: 10.7, end_time: 11.0
Word: styka, start_time: 11.0, end_time: 11.5
Word: jak, start_time: 11.5, end_time: 12.2
Word: raz, start_time: 12.2, end_time: 12.4
Word: mały, start_time: 12.4, end_time: 12.8
Word: kundel, start_time: 12.8, end_time: 13.5
Word: podniósł, start_time: 13.5, end_time: 14.7
Word: żadną, start_time: 14.7, end_time: 15.6
Word: łapkę, start_time: 15.6, end_time: 16.2
Word: is, start_time: 16.2, end_time: 16.7
Word: paskudzi, start_time: 16.7, end_time: 17.3
Word: rondel, start_time: 17.3, end_time: 18.2
Word: oj, start_time: 18.2, end_time: 18.8
Word: dana, start_time: 18.8, end_time: 19.4
Word: i, start_time: 19.4, end_time: 19.5
Word: przyszła, start_time: 19.5, end_time: 20.7
Word: mistrzowie, start_time: 20.7, end_time: 21.3
Word: do, start_time: 21.3, end_time: 21.5
Word: głowy, start_time: 21.5, end_time: 21.9
Word: myśl, start_time: 21.9, end_time: 22.1
Word: słodka, start_time: 22.1, end_time: 22.9
Word: a, start_time: 22.9, end_time: 23.1
Word: gdyby, start_time: 23.1, end_time: 23.8
Word: to, start_time: 23.8, end_time: 23.9
Word: samo, start_time: 23.9, end_time: 24.3
Word: zrobić, start_time: 24.3, end_time: 24.8
Word: o, start_time: 24.8, end_time: 25.1
Word: d, start_time: 25.1, end_time: 25.5
Word: środka, start_time: 25.5, end_time: 25.8
Word: oj, start_time: 25.8, end_time: 26.7
Word: dana, start_time: 26.7, end_time: 27.1
Word: że, start_time: 27.1, end_time: 27.8
Word: ludzie, start_time: 27.8, end_time: 28.0
Word: ofiarnik, start_time: 28.0, end_time: 28.8
Word: są, start_time: 28.8, end_time: 29.0
Word: w, start_time: 29.0, end_time: 29.2
Word: tych, start_time: 29.2, end_time: 29.4
Word: czasach, start_time: 29.4, end_time: 29.6
Word: rzadcy, start_time: 29.6, end_time: 30.5
Word: więc, start_time: 30.5, end_time: 31.1
Word: mu, start_time: 31.1, end_time: 31.3
Word: deputacja, start_time: 31.3, end_time: 32.4
Word: ślą, start_time: 32.4, end_time: 32.7
Word: dziękczynną, start_time: 32.7, end_time: 33.7
Word: radcy, start_time: 33.7, end_time: 34.2
Word: oj, start_time: 34.2, end_time: 34.9
Word: dana, start_time: 34.9, end_time: 35.3
Word: jeśli, start_time: 35.3, end_time: 36.4
Word: zatem, start_time: 36.4, end_time: 36.8
Word: Fama, start_time: 36.8, end_time: 37.4
Word: publicznie, start_time: 37.4, end_time: 38.4
Word: nie, start_time: 38.4, end_time: 38.5
Word: kłamię, start_time: 38.5, end_time: 39.0
Word: będziemy, start_time: 39.0, end_time: 39.9
Word: mieli, start_time: 39.9, end_time: 40.2
Word: W, start_time: 40.2, end_time: 40.2
Word: rondlu, start_time: 40.2, end_time: 40.6
Word: Grunwald, start_time: 40.6, end_time: 41.7
Word: w, start_time: 41.7, end_time: 41.9
Word: Panoramie, start_time: 41.9, end_time: 42.6
Word: oj, start_time: 42.6, end_time: 43.3
Word: dana, start_time: 43.3, end_time: 43.7
Word: tak, start_time: 43.7, end_time: 44.4
Word: to, start_time: 44.4, end_time: 44.5
Word: z, start_time: 44.5, end_time: 44.6
Word: małych, start_time: 44.6, end_time: 45.0
Word: przyczyny, start_time: 45.0, end_time: 45.6
Word: skutki, start_time: 45.6, end_time: 46.1
Word: są, start_time: 46.1, end_time: 46.4
Word: ogromne, start_time: 46.4, end_time: 47.0
Word: w, start_time: 47.0, end_time: 47.2
Word: niepozornej, start_time: 47.2, end_time: 48.3
Word: psiny, start_time: 48.3, end_time: 48.9
