Waiting for operation to complete...
Transcript: 3M ci Blank and Rin najnowszy był wśród pogan męstwem swym dzielny rycerz rozumem dobre ręce swego pana rzeczy królowi nie przerażaj się królu prześlij Karolowi dumne mu hardem władcy słowa powolnej służby i wielkiej przyjaźni dasz mu niedźwiedzie i lwy i psy i 700 wielbłądów i 1000 Wybierz onych Sokołów 400 mułów ładowanych złotem i srebrem i 50 wozów z których on złoży Tabor i daj mu szczerego złota tyle abym mógł Chojnie opłacić swoich najemników Przekaż mu że dość długo wojował już w tej ziemi że powinien by wracać do Francji do akwizgranu że pośpieszyć tam zanim na święty Michał że przyjmiesz
Confidence: 0.9399643540382385
Word: 3M, start_time: 0.0, end_time: 1.5
Word: ci, start_time: 1.5, end_time: 1.7000000000000002
Word: Blank, start_time: 1.7000000000000002, end_time: 2.2
Word: and, start_time: 2.2, end_time: 2.4
Word: Rin, start_time: 2.4, end_time: 2.8
Word: najnowszy, start_time: 2.8, end_time: 4.0
Word: był, start_time: 4.0, end_time: 4.2
Word: wśród, start_time: 4.2, end_time: 4.4
Word: pogan, start_time: 4.4, end_time: 4.9
Word: męstwem, start_time: 4.9, end_time: 6.5
Word: swym, start_time: 6.5, end_time: 6.9
Word: dzielny, start_time: 6.9, end_time: 7.6
Word: rycerz, start_time: 7.6, end_time: 7.7
Word: rozumem, start_time: 7.7, end_time: 9.3
Word: dobre, start_time: 9.3, end_time: 9.9
Word: ręce, start_time: 9.9, end_time: 10.4
Word: swego, start_time: 10.4, end_time: 10.7
Word: pana, start_time: 10.7, end_time: 11.2
Word: rzeczy, start_time: 11.2, end_time: 12.4
Word: królowi, start_time: 12.4, end_time: 12.9
Word: nie, start_time: 12.9, end_time: 13.7
Word: przerażaj, start_time: 13.7, end_time: 14.2
Word: się, start_time: 14.2, end_time: 14.4
Word: królu, start_time: 14.4, end_time: 14.9
Word: prześlij, start_time: 14.9, end_time: 16.2
Word: Karolowi, start_time: 16.2, end_time: 16.8
Word: dumne, start_time: 16.8, end_time: 17.3
Word: mu, start_time: 17.3, end_time: 17.5
Word: hardem, start_time: 17.5, end_time: 18.3
Word: władcy, start_time: 18.3, end_time: 18.9
Word: słowa, start_time: 18.9, end_time: 20.0
Word: powolnej, start_time: 20.0, end_time: 20.6
Word: służby, start_time: 20.6, end_time: 21.2
Word: i, start_time: 21.2, end_time: 21.4
Word: wielkiej, start_time: 21.4, end_time: 22.1
Word: przyjaźni, start_time: 22.1, end_time: 22.5
Word: dasz, start_time: 22.5, end_time: 23.7
Word: mu, start_time: 23.7, end_time: 24.0
Word: niedźwiedzie, start_time: 24.0, end_time: 24.9
Word: i, start_time: 24.9, end_time: 25.1
Word: lwy, start_time: 25.1, end_time: 25.7
Word: i, start_time: 25.7, end_time: 25.9
Word: psy, start_time: 25.9, end_time: 26.8
Word: i, start_time: 26.8, end_time: 27.0
Word: 700, start_time: 27.0, end_time: 28.3
Word: wielbłądów, start_time: 28.3, end_time: 28.6
