Waiting for operation to complete...
Transcript: 77n przybiega margaris z Sewilli ten dzierży ziemię aż do kas maryniu damy radę go widzą dla jego piękności nie masz takiej która by na jego widok nie rozjaśniła się i nie Śmiała się do niego nie masz w śród pogan lepszego rycerza wpada w tłum i ponad innych krzyczy do króla nic się nie bój pojadę do Rewal zabić Rolanda i Oliwier tożsamo nie ocali głowy a 12 par poniesie męczeństwo Widzisz mój miecz rękojeści ze złota to Emir prymuski mi go przysłał w czerwonej krwi Przysięgam królów Kąpię się ten miecz Francuzi zginą Francja okryje się hańbą Karol stary o rozłożystej brodzie przez wszystkie dni swego życia będzie
Confidence: 0.9381046891212463
Word: 77n, start_time: 0.0, end_time: 3.1
Word: przybiega, start_time: 3.1, end_time: 4.0
Word: margaris, start_time: 4.0, end_time: 5.0
Word: z, start_time: 5.0, end_time: 5.2
Word: Sewilli, start_time: 5.2, end_time: 6.2
Word: ten, start_time: 6.2, end_time: 7.4
Word: dzierży, start_time: 7.4, end_time: 8.0
Word: ziemię, start_time: 8.0, end_time: 8.4
Word: aż, start_time: 8.4, end_time: 8.8
Word: do, start_time: 8.8, end_time: 9.0
Word: kas, start_time: 9.0, end_time: 9.4
Word: maryniu, start_time: 9.4, end_time: 9.9
Word: damy, start_time: 9.9, end_time: 11.3
Word: radę, start_time: 11.3, end_time: 11.8
Word: go, start_time: 11.8, end_time: 12.0
Word: widzą, start_time: 12.0, end_time: 12.3
Word: dla, start_time: 12.3, end_time: 12.6
Word: jego, start_time: 12.6, end_time: 12.9
Word: piękności, start_time: 12.9, end_time: 13.7
Word: nie, start_time: 13.7, end_time: 14.4
Word: masz, start_time: 14.4, end_time: 14.6
Word: takiej, start_time: 14.6, end_time: 15.1
Word: która, start_time: 15.1, end_time: 15.8
Word: by, start_time: 15.8, end_time: 15.9
Word: na, start_time: 15.9, end_time: 16.1
Word: jego, start_time: 16.1, end_time: 16.4
Word: widok, start_time: 16.4, end_time: 16.6
Word: nie, start_time: 16.6, end_time: 17.1
Word: rozjaśniła, start_time: 17.1, end_time: 18.0
Word: się, start_time: 18.0, end_time: 18.2
Word: i, start_time: 18.2, end_time: 18.4
Word: nie, start_time: 18.4, end_time: 18.9
Word: Śmiała, start_time: 18.9, end_time: 19.4
Word: się, start_time: 19.4, end_time: 19.5
Word: do, start_time: 19.5, end_time: 19.7
Word: niego, start_time: 19.7, end_time: 19.9
Word: nie, start_time: 19.9, end_time: 20.1
