Waiting for operation to complete...
Transcript: głos dziadkowy o restauracji kościoła parafialnego w porę ci nie no ta do usunięcia dk nie chce se spodnie na chwilę dziedzina Tori wędruje ja zespolenia razem z dziadkiem było no goluda ujrzeć te cuda chodziłeś jeść i po najdalsze strony żetonem miejscu straszne farmazony rozgościł się w diabelskiej kompani W tej plebanii mówią że jakiś boże odpuść malarz co na piechotę tam po prośbie zalazł teraz se żyje niby brat z bratem z księdzem prałatem cała plebania wysługuje mu się na poświęconym Java se obrusie miód mało Mazi Nie znoszą temu lihue w Świętym kielichu zakradł się to na Probostwo chyłkiem na mróz
Confidence: 0.7684752941131592
Word: głos, start_time: 0.0, end_time: 0.6000000000000001
Word: dziadkowy, start_time: 0.6000000000000001, end_time: 1.3
Word: o, start_time: 1.3, end_time: 1.5
Word: restauracji, start_time: 1.5, end_time: 2.3
Word: kościoła, start_time: 2.3, end_time: 2.9
Word: parafialnego, start_time: 2.9, end_time: 3.4
Word: w, start_time: 3.4, end_time: 4.2
Word: porę, start_time: 4.2, end_time: 5.0
Word: ci, start_time: 5.0, end_time: 5.2
Word: nie, start_time: 5.2, end_time: 5.6
Word: no, start_time: 5.6, end_time: 7.2
Word: ta, start_time: 7.2, end_time: 7.4
Word: do, start_time: 7.4, end_time: 7.6
Word: usunięcia, start_time: 7.6, end_time: 8.2
Word: dk, start_time: 8.2, end_time: 9.5
Word: nie, start_time: 9.5, end_time: 10.1
Word: chce, start_time: 10.1, end_time: 10.4
Word: se, start_time: 10.4, end_time: 10.8
Word: spodnie, start_time: 10.8, end_time: 11.2
Word: na, start_time: 11.2, end_time: 11.8
Word: chwilę, start_time: 11.8, end_time: 12.3
Word: dziedzina, start_time: 12.3, end_time: 13.0
Word: Tori, start_time: 13.0, end_time: 13.7
Word: wędruje, start_time: 13.7, end_time: 14.4
Word: ja, start_time: 14.4, end_time: 14.7
Word: zespolenia, start_time: 14.7, end_time: 15.7
Word: razem, start_time: 15.7, end_time: 17.1
Word: z, start_time: 17.1, end_time: 17.2
Word: dziadkiem, start_time: 17.2, end_time: 17.4
Word: było, start_time: 17.4, end_time: 18.3
Word: no, start_time: 18.3, end_time: 18.6
Word: goluda, start_time: 18.6, end_time: 19.1
Word: ujrzeć, start_time: 19.1, end_time: 20.3
Word: te, start_time: 20.3, end_time: 20.5
Word: cuda, start_time: 20.5, end_time: 20.9
Word: chodziłeś, start_time: 20.9, end_time: 22.1
Word: jeść, start_time: 22.1, end_time: 22.3
Word: i, start_time: 22.3, end_time: 22.5
Word: po, start_time: 22.5, end_time: 22.8
Word: najdalsze, start_time: 22.8, end_time: 23.5
Word: strony, start_time: 23.5, end_time: 24.1
Word: żetonem, start_time: 24.1, end_time: 25.1
Word: miejscu, start_time: 25.1, end_time: 26.0
Word: straszne, start_time: 26.0, end_time: 26.8
Word: farmazony, start_time: 26.8, end_time: 27.6
Word: rozgościł, start_time: 27.6, end_time: 28.8
Word: się, start_time: 28.8, end_time: 28.9
Word: w, start_time: 28.9, end_time: 29.3
Word: diabelskiej, start_time: 29.3, end_time: 30.2
Word: kompani, start_time: 30.2, end_time: 30.9
Word: W, start_time: 30.9, end_time: 31.1
Word: tej, start_time: 31.1, end_time: 32.2
Word: plebanii, start_time: 32.2, end_time: 32.8
Word: mówią, start_time: 32.8, end_time: 33.9
Word: że, start_time: 33.9, end_time: 34.6
Word: jakiś, start_time: 34.6, end_time: 34.9
Word: boże, start_time: 34.9, end_time: 35.4
Word: odpuść, start_time: 35.4, end_time: 36.2
Word: malarz, start_time: 36.2, end_time: 36.7
Word: co, start_time: 36.7, end_time: 37.4
Word: na, start_time: 37.4, end_time: 37.6
Word: piechotę, start_time: 37.6, end_time: 38.1
