Waiting for operation to complete...
Transcript: proroctwo Królowej Jadwigi ze śpiewu w historycznych pierwsza melodia zaledwie czas świtania po zamku już ubrania Jagiełło Jagiełło Skąd im się to wzięło krzyżackiej dość intrygi Królowej Jadwigi jadwisia daj Pysia wielka wojna dziś a druga melodia rzeczy w te słowa słodka królowa mój miły Władku masz w bród dostatku po cóż ci diabli nadstawiać szabli jeszcze broń Boże kto w łeb dać może pierwsza melodia ofuknie ją Jagiełło ja wiekopomne dzieło sposobie i zrobię wyperswaduje sobie zrozum że moja śliczna że misja historyczna to karta nie start.ru guzów Warta Trio chytrze królowa śmieje się w głos różne siurpryza chowa kapryśny los
Confidence: 0.870164155960083
Word: proroctwo, start_time: 0.0, end_time: 1.1
Word: Królowej, start_time: 1.1, end_time: 1.3
Word: Jadwigi, start_time: 1.3, end_time: 2.2
Word: ze, start_time: 2.2, end_time: 3.3
Word: śpiewu, start_time: 3.3, end_time: 3.6
Word: w, start_time: 3.6, end_time: 3.7
Word: historycznych, start_time: 3.7, end_time: 4.5
Word: pierwsza, start_time: 4.5, end_time: 5.6
Word: melodia, start_time: 5.6, end_time: 6.0
Word: zaledwie, start_time: 6.0, end_time: 6.9
Word: czas, start_time: 6.9, end_time: 7.2
Word: świtania, start_time: 7.2, end_time: 7.7
Word: po, start_time: 7.7, end_time: 8.1
Word: zamku, start_time: 8.1, end_time: 8.6
Word: już, start_time: 8.6, end_time: 8.8
Word: ubrania, start_time: 8.8, end_time: 9.4
Word: Jagiełło, start_time: 9.4, end_time: 10.4
Word: Jagiełło, start_time: 10.4, end_time: 11.5
Word: Skąd, start_time: 11.5, end_time: 12.3
Word: im, start_time: 12.3, end_time: 12.8
Word: się, start_time: 12.8, end_time: 12.9
Word: to, start_time: 12.9, end_time: 13.0
Word: wzięło, start_time: 13.0, end_time: 13.2
Word: krzyżackiej, start_time: 13.2, end_time: 14.7
Word: dość, start_time: 14.7, end_time: 14.9
Word: intrygi, start_time: 14.9, end_time: 15.5
Word: Królowej, start_time: 15.5, end_time: 16.8
Word: Jadwigi, start_time: 16.8, end_time: 17.2
Word: jadwisia, start_time: 17.2, end_time: 18.1
Word: daj, start_time: 18.1, end_time: 18.7
Word: Pysia, start_time: 18.7, end_time: 19.1
Word: wielka, start_time: 19.1, end_time: 20.1
Word: wojna, start_time: 20.1, end_time: 20.6
Word: dziś, start_time: 20.6, end_time: 20.8
Word: a, start_time: 20.8, end_time: 20.9
Word: druga, start_time: 20.9, end_time: 22.1
Word: melodia, start_time: 22.1, end_time: 22.5
Word: rzeczy, start_time: 22.5, end_time: 23.4
Word: w, start_time: 23.4, end_time: 23.4
Word: te, start_time: 23.4, end_time: 23.6
Word: słowa, start_time: 23.6, end_time: 24.0
Word: słodka, start_time: 24.0, end_time: 24.8
Word: królowa, start_time: 24.8, end_time: 25.3
Word: mój, start_time: 25.3, end_time: 26.0
Word: miły, start_time: 26.0, end_time: 26.3
Word: Władku, start_time: 26.3, end_time: 26.9
Word: masz, start_time: 26.9, end_time: 27.4
Word: w, start_time: 27.4, end_time: 27.6
Word: bród, start_time: 27.6, end_time: 28.0
Word: dostatku, start_time: 28.0, end_time: 28.7
Word: po, start_time: 28.7, end_time: 29.2
Word: cóż, start_time: 29.2, end_time: 29.4
Word: ci, start_time: 29.4, end_time: 29.6
Word: diabli, start_time: 29.6, end_time: 30.2
Word: nadstawiać, start_time: 30.2, end_time: 31.1
Word: szabli, start_time: 31.1, end_time: 31.7
Word: jeszcze, start_time: 31.7, end_time: 32.3
Word: broń, start_time: 32.3, end_time: 32.6
Word: Boże, start_time: 32.6, end_time: 32.9
Word: kto, start_time: 32.9, end_time: 33.5
Word: w, start_time: 33.5, end_time: 33.6
Word: łeb, start_time: 33.6, end_time: 33.9
Word: dać, start_time: 33.9, end_time: 34.3
Word: może, start_time: 34.3, end_time: 34.8
Word: pierwsza, start_time: 34.8, end_time: 36.0
Word: melodia, start_time: 36.0, end_time: 36.5
Word: ofuknie, start_time: 36.5, end_time: 37.5
Word: ją, start_time: 37.5, end_time: 37.7
Word: Jagiełło, start_time: 37.7, end_time: 38.5
Word: ja, start_time: 38.5, end_time: 39.1
Word: wiekopomne, start_time: 39.1, end_time: 40.1
Word: dzieło, start_time: 40.1, end_time: 40.4
Word: sposobie, start_time: 40.4, end_time: 41.3
Word: i, start_time: 41.3, end_time: 41.5
Word: zrobię, start_time: 41.5, end_time: 42.4
Word: wyperswaduje, start_time: 42.4, end_time: 43.5
Word: sobie, start_time: 43.5, end_time: 44.0
Word: zrozum, start_time: 44.0, end_time: 45.1
Word: że, start_time: 45.1, end_time: 45.2
Word: moja, start_time: 45.2, end_time: 45.7
Word: śliczna, start_time: 45.7, end_time: 46.2
Word: że, start_time: 46.2, end_time: 46.7
Word: misja, start_time: 46.7, end_time: 47.2
Word: historyczna, start_time: 47.2, end_time: 48.1
Word: to, start_time: 48.1, end_time: 48.7
Word: karta, start_time: 48.7, end_time: 49.2
Word: nie, start_time: 49.2, end_time: 49.6
Word: start.ru, start_time: 49.6, end_time: 50.9
Word: guzów, start_time: 50.9, end_time: 51.4
Word: Warta, start_time: 51.4, end_time: 52.1
Word: Trio, start_time: 52.1, end_time: 53.0
Word: chytrze, start_time: 53.0, end_time: 54.0
Word: królowa, start_time: 54.0, end_time: 54.6
Word: śmieje, start_time: 54.6, end_time: 55.2
Word: się, start_time: 55.2, end_time: 55.4
Word: w, start_time: 55.4, end_time: 55.5
Word: głos, start_time: 55.5, end_time: 55.5
Word: różne, start_time: 55.5, end_time: 57.0
Word: siurpryza, start_time: 57.0, end_time: 57.4
Word: chowa, start_time: 57.4, end_time: 58.2
Word: kapryśny, start_time: 58.2, end_time: 59.1
Word: los, start_time: 59.1, end_time: 59.3
