Waiting for operation to complete...
Transcript: Akt 5 scena pierwsza Kleant orgon Kleant gdzie chcesz spędzić orgon Czy ja wiem że on mnie by się zdawało że warto się narazić w przód nad sprawą całą i pomyśleć spokojnie Jak obrać drogę orgon przez te szkatułkę zmysłów odzyskać nie mogę bardziej niż wszystko inne to mnie niepokoi Kleant cóż wreszcie się mieściło w tej szkatułce twojej orgon depozyt co Gargas ten o którym wiecie w ręce moje przekazał w najświętszym sekrecie uchodzą stąd mnie obrał w tym za powiernika mieszczą się tam papiery ze słów jego wynika od których nie gojenie i życie zawisło Kleant czemuś więc sam nie trzymał ich pod pieczą ścisłą
Confidence: 0.9507975578308105
Word: Akt, start_time: 0.0, end_time: 0.6000000000000001
Word: 5, start_time: 0.6000000000000001, end_time: 0.9
Word: scena, start_time: 0.9, end_time: 1.2
Word: pierwsza, start_time: 1.2, end_time: 2.5
Word: Kleant, start_time: 2.5, end_time: 4.1
Word: orgon, start_time: 4.1, end_time: 5.0
Word: Kleant, start_time: 5.0, end_time: 6.3
Word: gdzie, start_time: 6.3, end_time: 7.4
Word: chcesz, start_time: 7.4, end_time: 7.7
Word: spędzić, start_time: 7.7, end_time: 8.1
Word: orgon, start_time: 8.1, end_time: 9.2
Word: Czy, start_time: 9.2, end_time: 10.2
Word: ja, start_time: 10.2, end_time: 10.3
Word: wiem, start_time: 10.3, end_time: 10.4
Word: że, start_time: 10.4, end_time: 10.8
Word: on, start_time: 10.8, end_time: 11.8
Word: mnie, start_time: 11.8, end_time: 12.8
Word: by, start_time: 12.8, end_time: 13.0
Word: się, start_time: 13.0, end_time: 13.1
Word: zdawało, start_time: 13.1, end_time: 13.6
Word: że, start_time: 13.6, end_time: 13.8
Word: warto, start_time: 13.8, end_time: 14.7
Word: się, start_time: 14.7, end_time: 14.8
Word: narazić, start_time: 14.8, end_time: 15.6
Word: w, start_time: 15.6, end_time: 15.7
Word: przód, start_time: 15.7, end_time: 16.1
Word: nad, start_time: 16.1, end_time: 16.4
Word: sprawą, start_time: 16.4, end_time: 16.8
