Waiting for operation to complete...
Transcript: Stefania powieść psychologiczna SkyeN to pensjonarki kto poznał panią Stephanie ją ten wolał od innych pani ją coś w niej już takiego było że popatrzeć na nią miło oczy miała jak bławatki i na sobie ładne szmatki chociaż to rzecz dosyć trudna zawsze była bardzo schludne aż mówił każdy przechodzień da się musi kąpać co dzień Choć męża miała filistra innych rzeczach była Bystra jeździła aż do apteki po tematy do konwersacji prócz tego natura Szczodra dała jej ładne biodra oraz ją poznał 1 malarz który często pisał ale jak ją zobaczył na fejsie Zaraz w niej zakochał w miksie miała w uszach wielki Topaz i była wycięta Popas przedtem widział różne panie
Confidence: 0.8652715682983398
Word: Stefania, start_time: 0.0, end_time: 1.0
Word: powieść, start_time: 1.0, end_time: 1.9
Word: psychologiczna, start_time: 1.9, end_time: 2.1
Word: SkyeN, start_time: 2.1, end_time: 3.3
Word: to, start_time: 3.3, end_time: 3.4
Word: pensjonarki, start_time: 3.4, end_time: 4.3
Word: kto, start_time: 4.3, end_time: 5.4
Word: poznał, start_time: 5.4, end_time: 5.9
Word: panią, start_time: 5.9, end_time: 6.2
Word: Stephanie, start_time: 6.2, end_time: 6.8
Word: ją, start_time: 6.8, end_time: 6.9
Word: ten, start_time: 6.9, end_time: 7.5
Word: wolał, start_time: 7.5, end_time: 8.0
Word: od, start_time: 8.0, end_time: 8.3
Word: innych, start_time: 8.3, end_time: 8.8
Word: pani, start_time: 8.8, end_time: 9.3
Word: ją, start_time: 9.3, end_time: 9.6
Word: coś, start_time: 9.6, end_time: 10.6
Word: w, start_time: 10.6, end_time: 10.7
Word: niej, start_time: 10.7, end_time: 10.9
Word: już, start_time: 10.9, end_time: 11.2
Word: takiego, start_time: 11.2, end_time: 11.8
Word: było, start_time: 11.8, end_time: 12.1
Word: że, start_time: 12.1, end_time: 12.7
Word: popatrzeć, start_time: 12.7, end_time: 13.6
Word: na, start_time: 13.6, end_time: 13.7
Word: nią, start_time: 13.7, end_time: 14.0
Word: miło, start_time: 14.0, end_time: 14.5
Word: oczy, start_time: 14.5, end_time: 15.8
Word: miała, start_time: 15.8, end_time: 16.2
Word: jak, start_time: 16.2, end_time: 16.4
Word: bławatki, start_time: 16.4, end_time: 17.2
Word: i, start_time: 17.2, end_time: 17.3
Word: na, start_time: 17.3, end_time: 17.8
Word: sobie, start_time: 17.8, end_time: 18.2
Word: ładne, start_time: 18.2, end_time: 18.8
Word: szmatki, start_time: 18.8, end_time: 19.5
Word: chociaż, start_time: 19.5, end_time: 20.3
Word: to, start_time: 20.3, end_time: 20.4
Word: rzecz, start_time: 20.4, end_time: 20.6
Word: dosyć, start_time: 20.6, end_time: 21.1
Word: trudna, start_time: 21.1, end_time: 21.6
Word: zawsze, start_time: 21.6, end_time: 22.6
Word: była, start_time: 22.6, end_time: 23.0
Word: bardzo, start_time: 23.0, end_time: 23.3
Word: schludne, start_time: 23.3, end_time: 24.0
Word: aż, start_time: 24.0, end_time: 24.7
Word: mówił, start_time: 24.7, end_time: 25.1
Word: każdy, start_time: 25.1, end_time: 25.6
Word: przechodzień, start_time: 25.6, end_time: 26.2
Word: da, start_time: 26.2, end_time: 26.9
Word: się, start_time: 26.9, end_time: 27.1
Word: musi, start_time: 27.1, end_time: 27.5
Word: kąpać, start_time: 27.5, end_time: 28.1
Word: co, start_time: 28.1, end_time: 28.4
Word: dzień, start_time: 28.4, end_time: 28.8
Word: Choć, start_time: 28.8, end_time: 29.6
Word: męża, start_time: 29.6, end_time: 30.0
Word: miała, start_time: 30.0, end_time: 30.3
Word: filistra, start_time: 30.3, end_time: 30.9
Word: innych, start_time: 30.9, end_time: 32.3
Word: rzeczach, start_time: 32.3, end_time: 32.7
Word: była, start_time: 32.7, end_time: 33.3
Word: Bystra, start_time: 33.3, end_time: 33.9
Word: jeździła, start_time: 33.9, end_time: 35.1
Word: aż, start_time: 35.1, end_time: 35.3
Word: do, start_time: 35.3, end_time: 35.5
Word: apteki, start_time: 35.5, end_time: 36.3
Word: po, start_time: 36.3, end_time: 36.5
Word: tematy, start_time: 36.5, end_time: 36.9
Word: do, start_time: 36.9, end_time: 37.0
Word: konwersacji, start_time: 37.0, end_time: 37.1
Word: prócz, start_time: 37.1, end_time: 38.6
Word: tego, start_time: 38.6, end_time: 38.9
Word: natura, start_time: 38.9, end_time: 39.5
Word: Szczodra, start_time: 39.5, end_time: 40.1
Word: dała, start_time: 40.1, end_time: 40.8
Word: jej, start_time: 40.8, end_time: 41.1
Word: ładne, start_time: 41.1, end_time: 42.4
Word: biodra, start_time: 42.4, end_time: 42.7
Word: oraz, start_time: 42.7, end_time: 43.7
Word: ją, start_time: 43.7, end_time: 44.0
Word: poznał, start_time: 44.0, end_time: 44.8
Word: 1, start_time: 44.8, end_time: 45.2
Word: malarz, start_time: 45.2, end_time: 45.7
Word: który, start_time: 45.7, end_time: 46.3
Word: często, start_time: 46.3, end_time: 46.7
Word: pisał, start_time: 46.7, end_time: 47.2
Word: ale, start_time: 47.2, end_time: 47.6
Word: jak, start_time: 47.6, end_time: 48.5
Word: ją, start_time: 48.5, end_time: 48.7
Word: zobaczył, start_time: 48.7, end_time: 49.3
Word: na, start_time: 49.3, end_time: 49.5
Word: fejsie, start_time: 49.5, end_time: 49.8
Word: Zaraz, start_time: 49.8, end_time: 50.8
Word: w, start_time: 50.8, end_time: 51.1
Word: niej, start_time: 51.1, end_time: 51.4
Word: zakochał, start_time: 51.4, end_time: 52.1
Word: w, start_time: 52.1, end_time: 52.2
Word: miksie, start_time: 52.2, end_time: 52.6
Word: miała, start_time: 52.6, end_time: 53.4
Word: w, start_time: 53.4, end_time: 53.5
Word: uszach, start_time: 53.5, end_time: 53.9
Word: wielki, start_time: 53.9, end_time: 54.3
Word: Topaz, start_time: 54.3, end_time: 54.8
Word: i, start_time: 54.8, end_time: 55.0
Word: była, start_time: 55.0, end_time: 55.6
Word: wycięta, start_time: 55.6, end_time: 56.3
Word: Popas, start_time: 56.3, end_time: 56.9
Word: przedtem, start_time: 56.9, end_time: 58.0
Word: widział, start_time: 58.0, end_time: 58.5
Word: różne, start_time: 58.5, end_time: 58.9
Word: panie, start_time: 58.9, end_time: 59.2
Transcript: zawsze bardzo tanie i do tego interesu Miały dosyć podłe desu strasznie się zapalił do niej wszędzie za stefanin goni miał kolorową koszulę i przemawiał bardzo czule żeby dała mu natchnienie ale ona mówi że nie żył mi kochać bez granic ale to też było na nic ode mnie i mówił na raucie dałbym życie żebym miał cię jak zobaczył że nie sposób poszedł znów do tamtych osób ale już zaraz zabrano mówił że to nie to samo takiej dostał dziwnej Mani że chciał tylko o Stefanie bo to zawsze jest najgłupsze kiedy się kto przy czym uprze mówili mi przyjaciele Czemu jesteś taki ciele z kobietami trzeba twardo taniec cackać się z polarną więc jej zaczął szarpać suknie A to jak na niego nie suknie wtedy
Confidence: 0.8679373860359192
Word: zawsze, start_time: 59.9, end_time: 60.3
Word: bardzo, start_time: 60.3, end_time: 60.5
Word: tanie, start_time: 60.5, end_time: 61.2
Word: i, start_time: 61.2, end_time: 61.3
Word: do, start_time: 61.3, end_time: 61.7
Word: tego, start_time: 61.7, end_time: 62.0
Word: interesu, start_time: 62.0, end_time: 62.6
Word: Miały, start_time: 62.6, end_time: 63.5
Word: dosyć, start_time: 63.5, end_time: 64.0
Word: podłe, start_time: 64.0, end_time: 64.7
Word: desu, start_time: 64.7, end_time: 65.3
Word: strasznie, start_time: 65.3, end_time: 66.5
Word: się, start_time: 66.5, end_time: 66.6
Word: zapalił, start_time: 66.6, end_time: 67.3
Word: do, start_time: 67.3, end_time: 67.4
Word: niej, start_time: 67.4, end_time: 67.7
Word: wszędzie, start_time: 67.7, end_time: 68.5
Word: za, start_time: 68.5, end_time: 68.7
Word: stefanin, start_time: 68.7, end_time: 69.3
Word: goni, start_time: 69.3, end_time: 69.9
Word: miał, start_time: 69.9, end_time: 70.5
Word: kolorową, start_time: 70.5, end_time: 71.0
Word: koszulę, start_time: 71.0, end_time: 71.5
Word: i, start_time: 71.5, end_time: 71.6
Word: przemawiał, start_time: 71.6, end_time: 72.3
Word: bardzo, start_time: 72.3, end_time: 73.1
Word: czule, start_time: 73.1, end_time: 73.6
Word: żeby, start_time: 73.6, end_time: 74.4
Word: dała, start_time: 74.4, end_time: 74.7
Word: mu, start_time: 74.7, end_time: 74.8
Word: natchnienie, start_time: 74.8, end_time: 75.9
Word: ale, start_time: 75.9, end_time: 76.8
Word: ona, start_time: 76.8, end_time: 77.3
Word: mówi, start_time: 77.3, end_time: 77.6
Word: że, start_time: 77.6, end_time: 78.2
Word: nie, start_time: 78.2, end_time: 78.4
Word: żył, start_time: 78.4, end_time: 79.4
Word: mi, start_time: 79.4, end_time: 79.6
Word: kochać, start_time: 79.6, end_time: 80.1
Word: bez, start_time: 80.1, end_time: 80.3
Word: granic, start_time: 80.3, end_time: 81.0
Word: ale, start_time: 81.0, end_time: 81.9
Word: to, start_time: 81.9, end_time: 82.1
Word: też, start_time: 82.1, end_time: 82.5
Word: było, start_time: 82.5, end_time: 82.9
Word: na, start_time: 82.9, end_time: 83.1
Word: nic, start_time: 83.1, end_time: 83.4
Word: ode, start_time: 83.4, end_time: 84.3
Word: mnie, start_time: 84.3, end_time: 84.4
Word: i, start_time: 84.4, end_time: 84.6
Word: mówił, start_time: 84.6, end_time: 84.9
Word: na, start_time: 84.9, end_time: 85.1
Word: raucie, start_time: 85.1, end_time: 85.4
Word: dałbym, start_time: 85.4, end_time: 86.4
Word: życie, start_time: 86.4, end_time: 86.9
Word: żebym, start_time: 86.9, end_time: 87.6
Word: miał, start_time: 87.6, end_time: 88.0
Word: cię, start_time: 88.0, end_time: 88.3
Word: jak, start_time: 88.3, end_time: 89.1
Word: zobaczył, start_time: 89.1, end_time: 89.6
Word: że, start_time: 89.6, end_time: 89.7
Word: nie, start_time: 89.7, end_time: 89.9
Word: sposób, start_time: 89.9, end_time: 90.2
Word: poszedł, start_time: 90.2, end_time: 91.4
Word: znów, start_time: 91.4, end_time: 91.8
Word: do, start_time: 91.8, end_time: 92.2
Word: tamtych, start_time: 92.2, end_time: 92.7
Word: osób, start_time: 92.7, end_time: 93.3
Word: ale, start_time: 93.3, end_time: 94.3
Word: już, start_time: 94.3, end_time: 94.5
Word: zaraz, start_time: 94.5, end_time: 94.9
Word: zabrano, start_time: 94.9, end_time: 95.5
Word: mówił, start_time: 95.5, end_time: 96.1
Word: że, start_time: 96.1, end_time: 96.5
Word: to, start_time: 96.5, end_time: 96.6
Word: nie, start_time: 96.6, end_time: 96.8
Word: to, start_time: 96.8, end_time: 96.9
Word: samo, start_time: 96.9, end_time: 97.0
Word: takiej, start_time: 97.0, end_time: 98.1
Word: dostał, start_time: 98.1, end_time: 98.6
Word: dziwnej, start_time: 98.6, end_time: 99.1
Word: Mani, start_time: 99.1, end_time: 99.5
Word: że, start_time: 99.5, end_time: 100.1
Word: chciał, start_time: 100.1, end_time: 100.4
Word: tylko, start_time: 100.4, end_time: 100.9
Word: o, start_time: 100.9, end_time: 101.1
Word: Stefanie, start_time: 101.1, end_time: 101.9
Word: bo, start_time: 101.9, end_time: 102.7
Word: to, start_time: 102.7, end_time: 102.8
Word: zawsze, start_time: 102.8, end_time: 103.0
Word: jest, start_time: 103.0, end_time: 103.3
Word: najgłupsze, start_time: 103.3, end_time: 104.0
Word: kiedy, start_time: 104.0, end_time: 104.6
Word: się, start_time: 104.6, end_time: 104.7
Word: kto, start_time: 104.7, end_time: 104.9
Word: przy, start_time: 104.9, end_time: 105.1
Word: czym, start_time: 105.1, end_time: 105.3
Word: uprze, start_time: 105.3, end_time: 105.8
Word: mówili, start_time: 105.8, end_time: 106.7
Word: mi, start_time: 106.7, end_time: 106.8
Word: przyjaciele, start_time: 106.8, end_time: 106.9
Word: Czemu, start_time: 106.9, end_time: 108.4
Word: jesteś, start_time: 108.4, end_time: 108.8
Word: taki, start_time: 108.8, end_time: 109.1
Word: ciele, start_time: 109.1, end_time: 109.6
Word: z, start_time: 109.6, end_time: 109.6
Word: kobietami, start_time: 109.6, end_time: 110.5
Word: trzeba, start_time: 110.5, end_time: 111.0
Word: twardo, start_time: 111.0, end_time: 111.5
Word: taniec, start_time: 111.5, end_time: 112.2
Word: cackać, start_time: 112.2, end_time: 112.7
Word: się, start_time: 112.7, end_time: 112.8
Word: z, start_time: 112.8, end_time: 113.0
Word: polarną, start_time: 113.0, end_time: 113.5
Word: więc, start_time: 113.5, end_time: 114.6
Word: jej, start_time: 114.6, end_time: 114.9
Word: zaczął, start_time: 114.9, end_time: 115.4
Word: szarpać, start_time: 115.4, end_time: 115.7
Word: suknie, start_time: 115.7, end_time: 116.3
Word: A, start_time: 116.3, end_time: 116.4
Word: to, start_time: 116.4, end_time: 117.0
Word: jak, start_time: 117.0, end_time: 117.5
Word: na, start_time: 117.5, end_time: 117.7
Word: niego, start_time: 117.7, end_time: 118.0
Word: nie, start_time: 118.0, end_time: 118.1
Word: suknie, start_time: 118.1, end_time: 118.7
Word: wtedy, start_time: 118.7, end_time: 119.8
Transcript: całkiem stracił humor i upijam się na umór potem do Stephanie lubej list napisał dosyć gruby że to będzie znakomicie jak sobie odbierzesz życie to ona myślała chytrze to by było nie najbrzydsze lecz jak przyszło co do czego jakoś nic nie było z tego potem znowu za lat Kilka przyszła na nią taka chwilka i myślała czy to warto było być taką opartą lecz tymczasem mu wypadło bo już była Stare Pudło tak to Ludzie trwa nią lata że nie są jak brat dla brata z tym największy jest ambaras żeby dwoje chciało naraz
Confidence: 0.8983241319656372
Word: całkiem, start_time: 119.9, end_time: 120.5
Word: stracił, start_time: 120.5, end_time: 121.1
Word: humor, start_time: 121.1, end_time: 121.6
Word: i, start_time: 121.6, end_time: 121.7
Word: upijam, start_time: 121.7, end_time: 122.8
Word: się, start_time: 122.8, end_time: 122.9
Word: na, start_time: 122.9, end_time: 123.3
Word: umór, start_time: 123.3, end_time: 123.8
Word: potem, start_time: 123.8, end_time: 124.9
Word: do, start_time: 124.9, end_time: 125.1
Word: Stephanie, start_time: 125.1, end_time: 125.6
Word: lubej, start_time: 125.6, end_time: 126.1
Word: list, start_time: 126.1, end_time: 126.9
Word: napisał, start_time: 126.9, end_time: 127.5
Word: dosyć, start_time: 127.5, end_time: 128.0
Word: gruby, start_time: 128.0, end_time: 128.4
Word: że, start_time: 128.4, end_time: 129.0
Word: to, start_time: 129.0, end_time: 129.1
Word: będzie, start_time: 129.1, end_time: 129.3
Word: znakomicie, start_time: 129.3, end_time: 130.0
Word: jak, start_time: 130.0, end_time: 130.8
Word: sobie, start_time: 130.8, end_time: 131.2
Word: odbierzesz, start_time: 131.2, end_time: 132.2
Word: życie, start_time: 132.2, end_time: 132.5
Word: to, start_time: 132.5, end_time: 133.6
Word: ona, start_time: 133.6, end_time: 133.9
Word: myślała, start_time: 133.9, end_time: 134.6
Word: chytrze, start_time: 134.6, end_time: 135.0
Word: to, start_time: 135.0, end_time: 136.1
Word: by, start_time: 136.1, end_time: 136.3
Word: było, start_time: 136.3, end_time: 136.5
Word: nie, start_time: 136.5, end_time: 136.8
Word: najbrzydsze, start_time: 136.8, end_time: 137.6
Word: lecz, start_time: 137.6, end_time: 138.5
Word: jak, start_time: 138.5, end_time: 138.7
Word: przyszło, start_time: 138.7, end_time: 139.2
Word: co, start_time: 139.2, end_time: 139.4
Word: do, start_time: 139.4, end_time: 139.5
Word: czego, start_time: 139.5, end_time: 139.7
Word: jakoś, start_time: 139.7, end_time: 140.5
Word: nic, start_time: 140.5, end_time: 140.9
Word: nie, start_time: 140.9, end_time: 141.1
Word: było, start_time: 141.1, end_time: 141.3
Word: z, start_time: 141.3, end_time: 141.4
Word: tego, start_time: 141.4, end_time: 141.6
Word: potem, start_time: 141.6, end_time: 142.6
Word: znowu, start_time: 142.6, end_time: 143.0
Word: za, start_time: 143.0, end_time: 143.3
Word: lat, start_time: 143.3, end_time: 143.5
Word: Kilka, start_time: 143.5, end_time: 143.7
Word: przyszła, start_time: 143.7, end_time: 145.0
Word: na, start_time: 145.0, end_time: 145.1
Word: nią, start_time: 145.1, end_time: 145.3
Word: taka, start_time: 145.3, end_time: 145.9
Word: chwilka, start_time: 145.9, end_time: 146.4
Word: i, start_time: 146.4, end_time: 146.6
Word: myślała, start_time: 146.6, end_time: 147.8
Word: czy, start_time: 147.8, end_time: 148.4
Word: to, start_time: 148.4, end_time: 148.5
Word: warto, start_time: 148.5, end_time: 148.9
Word: było, start_time: 148.9, end_time: 149.4
Word: być, start_time: 149.4, end_time: 150.0
Word: taką, start_time: 150.0, end_time: 150.5
Word: opartą, start_time: 150.5, end_time: 151.3
Word: lecz, start_time: 151.3, end_time: 152.3
Word: tymczasem, start_time: 152.3, end_time: 153.3
Word: mu, start_time: 153.3, end_time: 153.5
Word: wypadło, start_time: 153.5, end_time: 154.2
Word: bo, start_time: 154.2, end_time: 155.0
Word: już, start_time: 155.0, end_time: 155.5
Word: była, start_time: 155.5, end_time: 155.9
Word: Stare, start_time: 155.9, end_time: 156.7
Word: Pudło, start_time: 156.7, end_time: 157.2
Word: tak, start_time: 157.2, end_time: 158.9
Word: to, start_time: 158.9, end_time: 159.0
Word: Ludzie, start_time: 159.0, end_time: 159.3
Word: trwa, start_time: 159.3, end_time: 159.6
Word: nią, start_time: 159.6, end_time: 159.8
Word: lata, start_time: 159.8, end_time: 160.3
Word: że, start_time: 160.3, end_time: 160.9
Word: nie, start_time: 160.9, end_time: 161.1
Word: są, start_time: 161.1, end_time: 161.2
Word: jak, start_time: 161.2, end_time: 161.7
Word: brat, start_time: 161.7, end_time: 162.1
Word: dla, start_time: 162.1, end_time: 162.5
Word: brata, start_time: 162.5, end_time: 162.6
Word: z, start_time: 162.6, end_time: 163.1
Word: tym, start_time: 163.1, end_time: 164.1
Word: największy, start_time: 164.1, end_time: 165.2
Word: jest, start_time: 165.2, end_time: 165.4
Word: ambaras, start_time: 165.4, end_time: 165.5
Word: żeby, start_time: 165.5, end_time: 166.3
Word: dwoje, start_time: 166.3, end_time: 167.0
Word: chciało, start_time: 167.0, end_time: 167.6
Word: naraz, start_time: 167.6, end_time: 168.9
