Waiting for operation to complete...
Transcript: nowa pieśń O rydzu czyli jak Jan Michalik został mecenasem sztuki czyli niezbadane są drogi opatrzności nuta zdarzyło się raz Jadwidze poszła do lasu na rydze miał se Michalik cukiernie Kupczyk w niej trzeźwo i wiernie kawusia ciastka i pączki zapłata z rączki do rączki kredytu śmiertelny był on wróg To też mu za to poszczęściło że serce dla golców miał składu nie zrobił Bang eui razu Każdy stan swoje smutki to też w czas niezmiernie krótki WF lokal znany z trzeźwości dziwnych sprowadził chart gości w pobliżu świątynia stała sztuk stamtąd się zakradł najpierwszy wróg malarze lokal o psie i żeby w nim pili i jedli dziwi się wszystko w tej budzie cóż to się schodzą
Confidence: 0.867598831653595
Word: nowa, start_time: 0.0, end_time: 0.6000000000000001
Word: pieśń, start_time: 0.6000000000000001, end_time: 1.0
Word: O, start_time: 1.0, end_time: 1.2
Word: rydzu, start_time: 1.2, end_time: 1.8
Word: czyli, start_time: 1.8, end_time: 2.6
Word: jak, start_time: 2.6, end_time: 2.8
Word: Jan, start_time: 2.8, end_time: 3.1
Word: Michalik, start_time: 3.1, end_time: 3.6
Word: został, start_time: 3.6, end_time: 4.2
Word: mecenasem, start_time: 4.2, end_time: 4.7
Word: sztuki, start_time: 4.7, end_time: 4.8
Word: czyli, start_time: 4.8, end_time: 5.8
Word: niezbadane, start_time: 5.8, end_time: 6.6
Word: są, start_time: 6.6, end_time: 6.7
Word: drogi, start_time: 6.7, end_time: 7.2
Word: opatrzności, start_time: 7.2, end_time: 8.1
Word: nuta, start_time: 8.1, end_time: 9.5
Word: zdarzyło, start_time: 9.5, end_time: 10.9
Word: się, start_time: 10.9, end_time: 11.0
Word: raz, start_time: 11.0, end_time: 11.3
Word: Jadwidze, start_time: 11.3, end_time: 11.9
Word: poszła, start_time: 11.9, end_time: 12.8
Word: do, start_time: 12.8, end_time: 13.1
Word: lasu, start_time: 13.1, end_time: 13.3
Word: na, start_time: 13.3, end_time: 13.9
Word: rydze, start_time: 13.9, end_time: 14.3
Word: miał, start_time: 14.3, end_time: 15.3
Word: se, start_time: 15.3, end_time: 15.5
Word: Michalik, start_time: 15.5, end_time: 16.1
Word: cukiernie, start_time: 16.1, end_time: 16.7
Word: Kupczyk, start_time: 16.7, end_time: 17.7
Word: w, start_time: 17.7, end_time: 17.9
Word: niej, start_time: 17.9, end_time: 18.1
Word: trzeźwo, start_time: 18.1, end_time: 18.6
Word: i, start_time: 18.6, end_time: 18.8
Word: wiernie, start_time: 18.8, end_time: 19.4
Word: kawusia, start_time: 19.4, end_time: 20.3
Word: ciastka, start_time: 20.3, end_time: 20.9
Word: i, start_time: 20.9, end_time: 21.1
Word: pączki, start_time: 21.1, end_time: 21.8
Word: zapłata, start_time: 21.8, end_time: 22.6
Word: z, start_time: 22.6, end_time: 22.7
Word: rączki, start_time: 22.7, end_time: 23.3
Word: do, start_time: 23.3, end_time: 23.3
Word: rączki, start_time: 23.3, end_time: 23.4
Word: kredytu, start_time: 23.4, end_time: 24.7
Word: śmiertelny, start_time: 24.7, end_time: 25.6
Word: był, start_time: 25.6, end_time: 25.8
Word: on, start_time: 25.8, end_time: 26.2
Word: wróg, start_time: 26.2, end_time: 26.5
Word: To, start_time: 26.5, end_time: 27.2
Word: też, start_time: 27.2, end_time: 27.3
Word: mu, start_time: 27.3, end_time: 27.5
Word: za, start_time: 27.5, end_time: 27.7
Word: to, start_time: 27.7, end_time: 27.9
Word: poszczęściło, start_time: 27.9, end_time: 29.0
Word: że, start_time: 29.0, end_time: 29.9
Word: serce, start_time: 29.9, end_time: 30.3
Word: dla, start_time: 30.3, end_time: 30.4
Word: golców, start_time: 30.4, end_time: 30.9
Word: miał, start_time: 30.9, end_time: 31.1
Word: składu, start_time: 31.1, end_time: 31.7
Word: nie, start_time: 31.7, end_time: 31.8
Word: zrobił, start_time: 31.8, end_time: 32.7
Word: Bang, start_time: 32.7, end_time: 33.1
Word: eui, start_time: 33.1, end_time: 33.3
Word: razu, start_time: 33.3, end_time: 34.2
Word: Każdy, start_time: 34.2, end_time: 35.0
Word: stan, start_time: 35.0, end_time: 35.4
Word: swoje, start_time: 35.4, end_time: 35.9
Word: smutki, start_time: 35.9, end_time: 36.6
Word: to, start_time: 36.6, end_time: 37.2
Word: też, start_time: 37.2, end_time: 37.4
Word: w, start_time: 37.4, end_time: 37.5
Word: czas, start_time: 37.5, end_time: 37.7
Word: niezmiernie, start_time: 37.7, end_time: 38.5
Word: krótki, start_time: 38.5, end_time: 39.0
Word: WF, start_time: 39.0, end_time: 39.9
Word: lokal, start_time: 39.9, end_time: 40.4
Word: znany, start_time: 40.4, end_time: 41.1
