Waiting for operation to complete...
Transcript: opowieść dziadkowa o cudach Jasnogórskich niech z o.o. syćkie pierony zatrzasną wybrał się dziadek masz pod górę jasną myślał że Grosik uzbiera tymczasem wrócił ciupasem tego widoku dożył dziadek stary w całym klasztorze nic jeno żandary wszystkie osoby duchowne a święte pod klucz zamknięte dziwne to że trzeba ją sobie ludy że się tam działy straszne jakieś cudy niby że ojcem problemy świństwa gwoli Męczeństwa żył jeden z drugim piknie bez turba ci Świątek czy piątek przygodny kolacji bluźnij imieniu tego co go stworzył i cudzołożyć 1 na gorszy Patrzcie Wymyśl Nika chował pod sobą w sofie nieboszczyka że jak bez tego na tej sofie grzeszy
Confidence: 0.8629559874534607
Word: opowieść, start_time: 0.0, end_time: 0.6000000000000001
Word: dziadkowa, start_time: 0.6000000000000001, end_time: 1.4
Word: o, start_time: 1.4, end_time: 1.6
Word: cudach, start_time: 1.6, end_time: 2.3
Word: Jasnogórskich, start_time: 2.3, end_time: 2.6
Word: niech, start_time: 2.6, end_time: 4.4
Word: z, start_time: 4.4, end_time: 4.7
Word: o.o., start_time: 4.7, end_time: 4.9
Word: syćkie, start_time: 4.9, end_time: 5.4
Word: pierony, start_time: 5.4, end_time: 6.0
Word: zatrzasną, start_time: 6.0, end_time: 7.0
Word: wybrał, start_time: 7.0, end_time: 8.1
Word: się, start_time: 8.1, end_time: 8.3
Word: dziadek, start_time: 8.3, end_time: 8.7
Word: masz, start_time: 8.7, end_time: 9.1
Word: pod, start_time: 9.1, end_time: 9.5
Word: górę, start_time: 9.5, end_time: 9.8
Word: jasną, start_time: 9.8, end_time: 10.4
Word: myślał, start_time: 10.4, end_time: 11.5
Word: że, start_time: 11.5, end_time: 11.8
Word: Grosik, start_time: 11.8, end_time: 12.3
Word: uzbiera, start_time: 12.3, end_time: 12.9
Word: tymczasem, start_time: 12.9, end_time: 13.7
Word: wrócił, start_time: 13.7, end_time: 14.7
Word: ciupasem, start_time: 14.7, end_time: 15.4
Word: tego, start_time: 15.4, end_time: 16.6
Word: widoku, start_time: 16.6, end_time: 17.0
Word: dożył, start_time: 17.0, end_time: 17.6
Word: dziadek, start_time: 17.6, end_time: 18.1
Word: stary, start_time: 18.1, end_time: 18.5
Word: w, start_time: 18.5, end_time: 18.7
Word: całym, start_time: 18.7, end_time: 19.4
Word: klasztorze, start_time: 19.4, end_time: 19.6
Word: nic, start_time: 19.6, end_time: 20.5
Word: jeno, start_time: 20.5, end_time: 21.2
Word: żandary, start_time: 21.2, end_time: 22.4
Word: wszystkie, start_time: 22.4, end_time: 23.4
Word: osoby, start_time: 23.4, end_time: 24.0
Word: duchowne, start_time: 24.0, end_time: 24.8
Word: a, start_time: 24.8, end_time: 24.9
Word: święte, start_time: 24.9, end_time: 25.6
Word: pod, start_time: 25.6, end_time: 26.1
Word: klucz, start_time: 26.1, end_time: 26.5
Word: zamknięte, start_time: 26.5, end_time: 27.5
Word: dziwne, start_time: 27.5, end_time: 29.0
Word: to, start_time: 29.0, end_time: 29.1
Word: że, start_time: 29.1, end_time: 29.3
Word: trzeba, start_time: 29.3, end_time: 29.6
Word: ją, start_time: 29.6, end_time: 30.0
Word: sobie, start_time: 30.0, end_time: 30.4
Word: ludy, start_time: 30.4, end_time: 30.7
Word: że, start_time: 30.7, end_time: 31.4
Word: się, start_time: 31.4, end_time: 31.5
Word: tam, start_time: 31.5, end_time: 31.7
Word: działy, start_time: 31.7, end_time: 32.0
Word: straszne, start_time: 32.0, end_time: 32.9
Word: jakieś, start_time: 32.9, end_time: 33.3
Word: cudy, start_time: 33.3, end_time: 33.8
Word: niby, start_time: 33.8, end_time: 34.6
Word: że, start_time: 34.6, end_time: 34.7
Word: ojcem, start_time: 34.7, end_time: 35.3
Word: problemy, start_time: 35.3, end_time: 35.9
Word: świństwa, start_time: 35.9, end_time: 36.6
Word: gwoli, start_time: 36.6, end_time: 37.4
Word: Męczeństwa, start_time: 37.4, end_time: 38.5
Word: żył, start_time: 38.5, end_time: 39.6
Word: jeden, start_time: 39.6, end_time: 40.1
Word: z, start_time: 40.1, end_time: 40.1
Word: drugim, start_time: 40.1, end_time: 40.3
Word: piknie, start_time: 40.3, end_time: 41.3
Word: bez, start_time: 41.3, end_time: 41.8
Word: turba, start_time: 41.8, end_time: 42.3
Word: ci, start_time: 42.3, end_time: 42.6
Word: Świątek, start_time: 42.6, end_time: 43.7
Word: czy, start_time: 43.7, end_time: 43.8
Word: piątek, start_time: 43.8, end_time: 44.4
Word: przygodny, start_time: 44.4, end_time: 45.4
Word: kolacji, start_time: 45.4, end_time: 46.1
Word: bluźnij, start_time: 46.1, end_time: 47.3
Word: imieniu, start_time: 47.3, end_time: 47.8
Word: tego, start_time: 47.8, end_time: 48.2
Word: co, start_time: 48.2, end_time: 48.6
Word: go, start_time: 48.6, end_time: 48.8
Word: stworzył, start_time: 48.8, end_time: 49.4
Word: i, start_time: 49.4, end_time: 49.5
Word: cudzołożyć, start_time: 49.5, end_time: 50.8
Word: 1, start_time: 50.8, end_time: 51.7
Word: na, start_time: 51.7, end_time: 51.9
Word: gorszy, start_time: 51.9, end_time: 52.4
Word: Patrzcie, start_time: 52.4, end_time: 52.8
Word: Wymyśl, start_time: 52.8, end_time: 53.5
Word: Nika, start_time: 53.5, end_time: 53.7
Word: chował, start_time: 53.7, end_time: 54.7
Word: pod, start_time: 54.7, end_time: 55.0
Word: sobą, start_time: 55.0, end_time: 55.4
Word: w, start_time: 55.4, end_time: 55.5
Word: sofie, start_time: 55.5, end_time: 56.0
Word: nieboszczyka, start_time: 56.0, end_time: 57.1
Word: że, start_time: 57.1, end_time: 57.9
Word: jak, start_time: 57.9, end_time: 58.1
Word: bez, start_time: 58.1, end_time: 58.3
Word: tego, start_time: 58.3, end_time: 58.4
Word: na, start_time: 58.4, end_time: 58.8
Word: tej, start_time: 58.8, end_time: 59.0
Word: sofie, start_time: 59.0, end_time: 59.1
Word: grzeszy, start_time: 59.1, end_time: 59.9
Transcript: Pogoń nie cieszy przeor też mówią i ucha jest Murowa ponoć co tydzień zjeżdżał do Krakowa jako że to miał cztery konkubiny samych hrabiny co jaki Grosik na tackę się w Ślicznie to go dzieliły ojce postarzenie a zaś do skarbca każdy zasnę grzechy miał 2 wytrychy jak przyszło księdzu dla dobra klasztoru zaprosić kogo to mu bez Janku bukkita zipie własną dłonią oleje święte codziennie rano na bocznym zwyczajem spowiadałem się ojca i nawzajem który trafił jak przyjdzie potrzeba prosto do nieba różnie dopuszcza Bóg w mądrości swojej ale to jakoś bardzo nie przystoi iżby siedziały ptakiem świętem gronie same pohronie mnie złościsz bierze
Confidence: 0.8175848126411438
Word: Pogoń, start_time: 59.9, end_time: 60.6
Word: nie, start_time: 60.6, end_time: 60.6
Word: cieszy, start_time: 60.6, end_time: 61.1
Word: przeor, start_time: 61.1, end_time: 62.7
Word: też, start_time: 62.7, end_time: 63.3
Word: mówią, start_time: 63.3, end_time: 63.8
Word: i, start_time: 63.8, end_time: 63.9
Word: ucha, start_time: 63.9, end_time: 64.6
Word: jest, start_time: 64.6, end_time: 64.8
Word: Murowa, start_time: 64.8, end_time: 65.3
Word: ponoć, start_time: 65.3, end_time: 66.0
Word: co, start_time: 66.0, end_time: 66.5
Word: tydzień, start_time: 66.5, end_time: 67.0
Word: zjeżdżał, start_time: 67.0, end_time: 68.0
Word: do, start_time: 68.0, end_time: 68.0
Word: Krakowa, start_time: 68.0, end_time: 68.7
Word: jako, start_time: 68.7, end_time: 69.3
Word: że, start_time: 69.3, end_time: 69.5
Word: to, start_time: 69.5, end_time: 69.6
Word: miał, start_time: 69.6, end_time: 69.9
Word: cztery, start_time: 69.9, end_time: 70.6
Word: konkubiny, start_time: 70.6, end_time: 71.4
Word: samych, start_time: 71.4, end_time: 72.3
Word: hrabiny, start_time: 72.3, end_time: 72.9
Word: co, start_time: 72.9, end_time: 73.9
Word: jaki, start_time: 73.9, end_time: 74.1
Word: Grosik, start_time: 74.1, end_time: 74.7
Word: na, start_time: 74.7, end_time: 74.9
Word: tackę, start_time: 74.9, end_time: 75.5
Word: się, start_time: 75.5, end_time: 75.7
Word: w, start_time: 75.7, end_time: 75.8
Word: Ślicznie, start_time: 75.8, end_time: 76.3
Word: to, start_time: 76.3, end_time: 76.9
Word: go, start_time: 76.9, end_time: 77.0
Word: dzieliły, start_time: 77.0, end_time: 77.6
Word: ojce, start_time: 77.6, end_time: 78.2
Word: postarzenie, start_time: 78.2, end_time: 79.5
Word: a, start_time: 79.5, end_time: 79.6
Word: zaś, start_time: 79.6, end_time: 80.2
Word: do, start_time: 80.2, end_time: 80.4
Word: skarbca, start_time: 80.4, end_time: 80.9
Word: każdy, start_time: 80.9, end_time: 81.5
Word: zasnę, start_time: 81.5, end_time: 82.0
Word: grzechy, start_time: 82.0, end_time: 82.4
Word: miał, start_time: 82.4, end_time: 83.1
Word: 2, start_time: 83.1, end_time: 83.4
Word: wytrychy, start_time: 83.4, end_time: 84.0
Word: jak, start_time: 84.0, end_time: 85.3
Word: przyszło, start_time: 85.3, end_time: 85.7
