Waiting for operation to complete...
Transcript: opowieść dziadkowa o cudach rapperswilskie napisał Boy e-traper Posłuchajcie ludkowie co Wam dziadek opowie niech odpocznie sobie chwila wędruje jaspers Villa straszne cuda tam widział siedzi tam moiściewy Jerzy dziaduś poczciwy na ślub serce się rozumie różne pasy kleić oni zrobili go Kopera jeżdżą ludzie z bliska dolnego zamczyska samego DNA cudzoziemce Young League i córki i Niemce tyczko gęby otwiera jest tam kijek Kościuszki króla Piasta garnuszki i fajeczka Kopernika w której se pan kustosz pyka jak jest w dobrym humorze Szuwarowa nahajka i Kolumba 2 jajka kierezyja Venezia
Confidence: 0.972016453742981
Word: opowieść, start_time: 0.0, end_time: 0.8
Word: dziadkowa, start_time: 0.8, end_time: 1.6
Word: o, start_time: 1.6, end_time: 1.8
Word: cudach, start_time: 1.8, end_time: 2.4
Word: rapperswilskie, start_time: 2.4, end_time: 3.7
Word: napisał, start_time: 3.7, end_time: 5.6
Word: Boy, start_time: 5.6, end_time: 6.0
Word: e-traper, start_time: 6.0, end_time: 6.7
Word: Posłuchajcie, start_time: 6.7, end_time: 8.1
Word: ludkowie, start_time: 8.1, end_time: 8.7
Word: co, start_time: 8.7, end_time: 9.1
Word: Wam, start_time: 9.1, end_time: 9.4
Word: dziadek, start_time: 9.4, end_time: 9.9
Word: opowie, start_time: 9.9, end_time: 10.7
Word: niech, start_time: 10.7, end_time: 11.5
Word: odpocznie, start_time: 11.5, end_time: 12.5
Word: sobie, start_time: 12.5, end_time: 12.6
Word: chwila, start_time: 12.6, end_time: 13.3
Word: wędruje, start_time: 13.3, end_time: 14.6
Word: jaspers, start_time: 14.6, end_time: 15.9
Word: Villa, start_time: 15.9, end_time: 16.3
Word: straszne, start_time: 16.3, end_time: 17.4
Word: cuda, start_time: 17.4, end_time: 17.8
Word: tam, start_time: 17.8, end_time: 17.9
Word: widział, start_time: 17.9, end_time: 18.5
Word: siedzi, start_time: 18.5, end_time: 19.6
Word: tam, start_time: 19.6, end_time: 19.8
Word: moiściewy, start_time: 19.8, end_time: 20.5
Word: Jerzy, start_time: 20.5, end_time: 21.7
Word: dziaduś, start_time: 21.7, end_time: 22.3
Word: poczciwy, start_time: 22.3, end_time: 23.1
Word: na, start_time: 23.1, end_time: 23.6
Word: ślub, start_time: 23.6, end_time: 24.0
Word: serce, start_time: 24.0, end_time: 24.5
Word: się, start_time: 24.5, end_time: 24.7
Word: rozumie, start_time: 24.7, end_time: 25.2
Word: różne, start_time: 25.2, end_time: 26.4
Word: pasy, start_time: 26.4, end_time: 27.2
Word: kleić, start_time: 27.2, end_time: 27.8
Word: oni, start_time: 27.8, end_time: 28.2
Word: zrobili, start_time: 28.2, end_time: 29.2
Word: go, start_time: 29.2, end_time: 29.5
Word: Kopera, start_time: 29.5, end_time: 30.4
Word: jeżdżą, start_time: 30.4, end_time: 31.4
Word: ludzie, start_time: 31.4, end_time: 31.8
Word: z, start_time: 31.8, end_time: 31.9
Word: bliska, start_time: 31.9, end_time: 32.6
Word: dolnego, start_time: 32.6, end_time: 33.4
Word: zamczyska, start_time: 33.4, end_time: 34.1
Word: samego, start_time: 34.1, end_time: 35.3
Word: DNA, start_time: 35.3, end_time: 35.5
Word: cudzoziemce, start_time: 35.5, end_time: 36.5
Word: Young, start_time: 36.5, end_time: 37.3
Word: League, start_time: 37.3, end_time: 37.5
Word: i, start_time: 37.5, end_time: 37.6
Word: córki, start_time: 37.6, end_time: 38.7
Word: i, start_time: 38.7, end_time: 38.9
Word: Niemce, start_time: 38.9, end_time: 39.6
Word: tyczko, start_time: 39.6, end_time: 40.6
Word: gęby, start_time: 40.6, end_time: 41.2
Word: otwiera, start_time: 41.2, end_time: 41.9
Word: jest, start_time: 41.9, end_time: 43.0
Word: tam, start_time: 43.0, end_time: 43.3
Word: kijek, start_time: 43.3, end_time: 43.9
Word: Kościuszki, start_time: 43.9, end_time: 44.9
Word: króla, start_time: 44.9, end_time: 45.8
Word: Piasta, start_time: 45.8, end_time: 46.4
Word: garnuszki, start_time: 46.4, end_time: 47.1
Word: i, start_time: 47.1, end_time: 47.2
Word: fajeczka, start_time: 47.2, end_time: 48.3
Word: Kopernika, start_time: 48.3, end_time: 49.1
Word: w, start_time: 49.1, end_time: 49.2
Word: której, start_time: 49.2, end_time: 50.0
Word: se, start_time: 50.0, end_time: 50.3
Word: pan, start_time: 50.3, end_time: 50.6
Word: kustosz, start_time: 50.6, end_time: 51.2
Word: pyka, start_time: 51.2, end_time: 51.7
Word: jak, start_time: 51.7, end_time: 52.7
Word: jest, start_time: 52.7, end_time: 52.9
Word: w, start_time: 52.9, end_time: 53.0
Word: dobrym, start_time: 53.0, end_time: 53.4
Word: humorze, start_time: 53.4, end_time: 53.6
Word: Szuwarowa, start_time: 53.6, end_time: 55.5
Word: nahajka, start_time: 55.5, end_time: 56.0
Word: i, start_time: 56.0, end_time: 56.2
Word: Kolumba, start_time: 56.2, end_time: 57.3
Word: 2, start_time: 57.3, end_time: 57.5
Word: jajka, start_time: 57.5, end_time: 57.9
Word: kierezyja, start_time: 57.9, end_time: 59.1
Word: Venezia, start_time: 59.1, end_time: 59.9
