Waiting for operation to complete...
Transcript: surfing best friend and daggers pieśni poświęcona krajowemu towarzystwo turystyczne mu pewien gość przejezdny tęskniąc za niewiastą wyszedł szukać przygód w Krakowie na miasto gościu gościu miły gościu gościu nasz Zdaje mi się że ty coś źle w głowie masz nakładać cylinder i cudne lakierki z grubym polarem szeleszczą im papierki stanął Przed zwierciadłem by poprawić strój drżyjcie krakowianki wychodzi nabój elastycznym krokiem obchodzi plantację patrzy komu by to postawić kolację wyszło w prawdzie z krzaków panienek z 100 lecz zdawały mu się nie dość Komfort nieco już nerwowy przebiega ulicę coś gdzieś kiedyś słyszał o Cygan fabryce zatem w tamtą stronę szybko zwraca
Confidence: 0.8585358262062073
Word: surfing, start_time: 0.0, end_time: 1.5
Word: best, start_time: 1.5, end_time: 2.0
Word: friend, start_time: 2.0, end_time: 2.5
Word: and, start_time: 2.5, end_time: 2.7
Word: daggers, start_time: 2.7, end_time: 3.0
Word: pieśni, start_time: 3.0, end_time: 4.4
Word: poświęcona, start_time: 4.4, end_time: 5.1
Word: krajowemu, start_time: 5.1, end_time: 5.6
Word: towarzystwo, start_time: 5.6, end_time: 6.4
Word: turystyczne, start_time: 6.4, end_time: 7.1
Word: mu, start_time: 7.1, end_time: 7.3
Word: pewien, start_time: 7.3, end_time: 8.6
Word: gość, start_time: 8.6, end_time: 8.9
Word: przejezdny, start_time: 8.9, end_time: 9.8
Word: tęskniąc, start_time: 9.8, end_time: 10.9
Word: za, start_time: 10.9, end_time: 11.0
Word: niewiastą, start_time: 11.0, end_time: 11.6
Word: wyszedł, start_time: 11.6, end_time: 12.5
Word: szukać, start_time: 12.5, end_time: 12.9
Word: przygód, start_time: 12.9, end_time: 13.4
Word: w, start_time: 13.4, end_time: 13.5
Word: Krakowie, start_time: 13.5, end_time: 14.4
Word: na, start_time: 14.4, end_time: 14.7
Word: miasto, start_time: 14.7, end_time: 15.2
Word: gościu, start_time: 15.2, end_time: 16.4
Word: gościu, start_time: 16.4, end_time: 16.7
Word: miły, start_time: 16.7, end_time: 17.4
Word: gościu, start_time: 17.4, end_time: 18.2
Word: gościu, start_time: 18.2, end_time: 18.6
Word: nasz, start_time: 18.6, end_time: 19.2
Word: Zdaje, start_time: 19.2, end_time: 20.3
Word: mi, start_time: 20.3, end_time: 20.5
Word: się, start_time: 20.5, end_time: 20.6
Word: że, start_time: 20.6, end_time: 20.9
Word: ty, start_time: 20.9, end_time: 21.2
Word: coś, start_time: 21.2, end_time: 21.3
Word: źle, start_time: 21.3, end_time: 22.1
Word: w, start_time: 22.1, end_time: 22.4
Word: głowie, start_time: 22.4, end_time: 23.0
Word: masz, start_time: 23.0, end_time: 23.2
Word: nakładać, start_time: 23.2, end_time: 24.5
Word: cylinder, start_time: 24.5, end_time: 25.1
Word: i, start_time: 25.1, end_time: 25.3
Word: cudne, start_time: 25.3, end_time: 26.0
Word: lakierki, start_time: 26.0, end_time: 26.6
Word: z, start_time: 26.6, end_time: 26.7
Word: grubym, start_time: 26.7, end_time: 27.6
Word: polarem, start_time: 27.6, end_time: 27.9
Word: szeleszczą, start_time: 27.9, end_time: 29.3
Word: im, start_time: 29.3, end_time: 29.4
Word: papierki, start_time: 29.4, end_time: 29.4
Word: stanął, start_time: 29.4, end_time: 31.1
Word: Przed, start_time: 31.1, end_time: 31.4
Word: zwierciadłem, start_time: 31.4, end_time: 31.6
Word: by, start_time: 31.6, end_time: 32.5
Word: poprawić, start_time: 32.5, end_time: 32.9
Word: strój, start_time: 32.9, end_time: 33.5
Word: drżyjcie, start_time: 33.5, end_time: 34.7
Word: krakowianki, start_time: 34.7, end_time: 35.7
Word: wychodzi, start_time: 35.7, end_time: 36.7
Word: nabój, start_time: 36.7, end_time: 37.2
Word: elastycznym, start_time: 37.2, end_time: 38.4
Word: krokiem, start_time: 38.4, end_time: 38.9
Word: obchodzi, start_time: 38.9, end_time: 39.7
Word: plantację, start_time: 39.7, end_time: 40.5
Word: patrzy, start_time: 40.5, end_time: 41.3
Word: komu, start_time: 41.3, end_time: 42.0
Word: by, start_time: 42.0, end_time: 42.3
Word: to, start_time: 42.3, end_time: 42.5
Word: postawić, start_time: 42.5, end_time: 43.2
Word: kolację, start_time: 43.2, end_time: 43.8
Word: wyszło, start_time: 43.8, end_time: 44.8
Word: w, start_time: 44.8, end_time: 44.8
Word: prawdzie, start_time: 44.8, end_time: 45.2
Word: z, start_time: 45.2, end_time: 45.3
Word: krzaków, start_time: 45.3, end_time: 45.7
Word: panienek, start_time: 45.7, end_time: 46.5
Word: z, start_time: 46.5, end_time: 46.6
Word: 100, start_time: 46.6, end_time: 46.9
Word: lecz, start_time: 46.9, end_time: 47.7
Word: zdawały, start_time: 47.7, end_time: 48.2
Word: mu, start_time: 48.2, end_time: 48.4
Word: się, start_time: 48.4, end_time: 48.5
Word: nie, start_time: 48.5, end_time: 48.8
Word: dość, start_time: 48.8, end_time: 49.1
Word: Komfort, start_time: 49.1, end_time: 50.8
Word: nieco, start_time: 50.8, end_time: 51.6
Word: już, start_time: 51.6, end_time: 51.8
Word: nerwowy, start_time: 51.8, end_time: 52.5
Word: przebiega, start_time: 52.5, end_time: 53.0
Word: ulicę, start_time: 53.0, end_time: 53.5
Word: coś, start_time: 53.5, end_time: 54.3
Word: gdzieś, start_time: 54.3, end_time: 54.8
Word: kiedyś, start_time: 54.8, end_time: 55.1
Word: słyszał, start_time: 55.1, end_time: 55.8
Word: o, start_time: 55.8, end_time: 55.9
Word: Cygan, start_time: 55.9, end_time: 56.6
Word: fabryce, start_time: 56.6, end_time: 57.2
Word: zatem, start_time: 57.2, end_time: 58.0
Word: w, start_time: 58.0, end_time: 58.1
Word: tamtą, start_time: 58.1, end_time: 58.5
Word: stronę, start_time: 58.5, end_time: 58.7
Word: szybko, start_time: 58.7, end_time: 59.5
Word: zwraca, start_time: 59.5, end_time: 59.8
Transcript: patrzy dobra Nasza jest Towaru w bród zajął pod latarnią dogodną pozycję zwraca do dziewczęcia grzeczną propozycję lecz nim jeszcze zdążył w rozmowę się stać tak ci go zwołała że Psia jego mać zwabił do cukierni wreszcie 2 kobietki Panny salce zrywkę polskie midinetka zjadłem kolację po 6 ciastek też Cóż kiedy ta pedia others Chicken ryż ulicę już puste więc Zresztą nadziei pospiesza tworzywo na dworzec kolei może tam przynajmniej będzie jakiś ruch cholera nie miasto powiada na brzuch odsuwa się chyłkiem do jakiejś kobiety w tango łapie za kark dama Świętej Rity rozjuszony głosem krzyczy prosto w twarz katolickich dziewcząt tknąć się ani wasz
Confidence: 0.832761287689209
Word: patrzy, start_time: 59.9, end_time: 61.0
Word: dobra, start_time: 61.0, end_time: 61.8
Word: Nasza, start_time: 61.8, end_time: 62.2
Word: jest, start_time: 62.2, end_time: 63.0
Word: Towaru, start_time: 63.0, end_time: 63.6
Word: w, start_time: 63.6, end_time: 63.7
Word: bród, start_time: 63.7, end_time: 64.0
Word: zajął, start_time: 64.0, end_time: 65.5
Word: pod, start_time: 65.5, end_time: 65.7
Word: latarnią, start_time: 65.7, end_time: 66.2
Word: dogodną, start_time: 66.2, end_time: 66.9
Word: pozycję, start_time: 66.9, end_time: 67.5
Word: zwraca, start_time: 67.5, end_time: 68.6
Word: do, start_time: 68.6, end_time: 68.9
Word: dziewczęcia, start_time: 68.9, end_time: 69.4
Word: grzeczną, start_time: 69.4, end_time: 70.1
Word: propozycję, start_time: 70.1, end_time: 70.9
Word: lecz, start_time: 70.9, end_time: 71.6
Word: nim, start_time: 71.6, end_time: 71.9
Word: jeszcze, start_time: 71.9, end_time: 72.0
Word: zdążył, start_time: 72.0, end_time: 72.7
Word: w, start_time: 72.7, end_time: 72.9
Word: rozmowę, start_time: 72.9, end_time: 73.4
Word: się, start_time: 73.4, end_time: 73.6
Word: stać, start_time: 73.6, end_time: 73.9
Word: tak, start_time: 73.9, end_time: 74.7
Word: ci, start_time: 74.7, end_time: 74.9
Word: go, start_time: 74.9, end_time: 75.1
Word: zwołała, start_time: 75.1, end_time: 76.2
Word: że, start_time: 76.2, end_time: 76.7
Word: Psia, start_time: 76.7, end_time: 77.0
Word: jego, start_time: 77.0, end_time: 77.3
Word: mać, start_time: 77.3, end_time: 77.6
Word: zwabił, start_time: 77.6, end_time: 78.8
Word: do, start_time: 78.8, end_time: 78.9
Word: cukierni, start_time: 78.9, end_time: 79.5
Word: wreszcie, start_time: 79.5, end_time: 80.0
Word: 2, start_time: 80.0, end_time: 80.3
Word: kobietki, start_time: 80.3, end_time: 81.1
Word: Panny, start_time: 81.1, end_time: 82.0
Word: salce, start_time: 82.0, end_time: 82.7
Word: zrywkę, start_time: 82.7, end_time: 83.5
Word: polskie, start_time: 83.5, end_time: 84.7
Word: midinetka, start_time: 84.7, end_time: 85.8
Word: zjadłem, start_time: 85.8, end_time: 86.9
Word: kolację, start_time: 86.9, end_time: 87.4
Word: po, start_time: 87.4, end_time: 87.7
Word: 6, start_time: 87.7, end_time: 88.2
Word: ciastek, start_time: 88.2, end_time: 88.9
Word: też, start_time: 88.9, end_time: 89.2
Word: Cóż, start_time: 89.2, end_time: 89.9
Word: kiedy, start_time: 89.9, end_time: 90.3
Word: ta, start_time: 90.3, end_time: 90.8
Word: pedia, start_time: 90.8, end_time: 91.1
Word: others, start_time: 91.1, end_time: 92.0
Word: Chicken, start_time: 92.0, end_time: 92.4
Word: ryż, start_time: 92.4, end_time: 92.7
Word: ulicę, start_time: 92.7, end_time: 94.0
Word: już, start_time: 94.0, end_time: 94.3
Word: puste, start_time: 94.3, end_time: 94.8
Word: więc, start_time: 94.8, end_time: 95.4
Word: Zresztą, start_time: 95.4, end_time: 96.2
Word: nadziei, start_time: 96.2, end_time: 96.7
Word: pospiesza, start_time: 96.7, end_time: 97.9
Word: tworzywo, start_time: 97.9, end_time: 98.6
Word: na, start_time: 98.6, end_time: 98.7
Word: dworzec, start_time: 98.7, end_time: 99.4
Word: kolei, start_time: 99.4, end_time: 99.9
Word: może, start_time: 99.9, end_time: 100.7
Word: tam, start_time: 100.7, end_time: 101.0
Word: przynajmniej, start_time: 101.0, end_time: 101.3
Word: będzie, start_time: 101.3, end_time: 102.1
Word: jakiś, start_time: 102.1, end_time: 102.4
Word: ruch, start_time: 102.4, end_time: 102.7
Word: cholera, start_time: 102.7, end_time: 104.0
Word: nie, start_time: 104.0, end_time: 104.3
Word: miasto, start_time: 104.3, end_time: 104.6
Word: powiada, start_time: 104.6, end_time: 105.5
Word: na, start_time: 105.5, end_time: 105.6
Word: brzuch, start_time: 105.6, end_time: 105.9
Word: odsuwa, start_time: 105.9, end_time: 107.0
Word: się, start_time: 107.0, end_time: 107.0
Word: chyłkiem, start_time: 107.0, end_time: 107.4
Word: do, start_time: 107.4, end_time: 108.1
Word: jakiejś, start_time: 108.1, end_time: 108.4
Word: kobiety, start_time: 108.4, end_time: 108.6
Word: w, start_time: 108.6, end_time: 109.1
Word: tango, start_time: 109.1, end_time: 109.9
Word: łapie, start_time: 109.9, end_time: 110.3
Word: za, start_time: 110.3, end_time: 110.4
Word: kark, start_time: 110.4, end_time: 110.8
Word: dama, start_time: 110.8, end_time: 111.5
Word: Świętej, start_time: 111.5, end_time: 112.3
Word: Rity, start_time: 112.3, end_time: 112.6
Word: rozjuszony, start_time: 112.6, end_time: 113.9
Word: głosem, start_time: 113.9, end_time: 114.4
Word: krzyczy, start_time: 114.4, end_time: 114.8
Word: prosto, start_time: 114.8, end_time: 115.3
Word: w, start_time: 115.3, end_time: 115.3
Word: twarz, start_time: 115.3, end_time: 115.5
Word: katolickich, start_time: 115.5, end_time: 117.1
Word: dziewcząt, start_time: 117.1, end_time: 117.7
