Waiting for operation to complete...
Transcript: 97a jego towarzysz terier Waligóra Kruszyn tarcze rozdziela koszule drucianą wbijam w trzewiach robią włócznie przyciska mocno przeżywam użalać ten ciało i drzewcem ściąga martwego na ziemię Oliwier powiada dobra nasza bitwa
Confidence: 0.8798303008079529
Word: 97a, start_time: 0.0, end_time: 1.3
Word: jego, start_time: 1.3, end_time: 2.2
Word: towarzysz, start_time: 2.2, end_time: 2.9
Word: terier, start_time: 2.9, end_time: 3.6
Word: Waligóra, start_time: 3.6, end_time: 5.0
Word: Kruszyn, start_time: 5.0, end_time: 6.1
Word: tarcze, start_time: 6.1, end_time: 6.6
Word: rozdziela, start_time: 6.6, end_time: 7.6
Word: koszule, start_time: 7.6, end_time: 8.3
Word: drucianą, start_time: 8.3, end_time: 8.9
Word: wbijam, start_time: 8.9, end_time: 9.9
Word: w, start_time: 9.9, end_time: 10.0
Word: trzewiach, start_time: 10.0, end_time: 10.5
Word: robią, start_time: 10.5, end_time: 11.0
Word: włócznie, start_time: 11.0, end_time: 11.6
Word: przyciska, start_time: 11.6, end_time: 12.5
Word: mocno, start_time: 12.5, end_time: 13.0
Word: przeżywam, start_time: 13.0, end_time: 14.0
Word: użalać, start_time: 14.0, end_time: 14.5
Word: ten, start_time: 14.5, end_time: 14.8
Word: ciało, start_time: 14.8, end_time: 15.3
Word: i, start_time: 15.3, end_time: 15.5
Word: drzewcem, start_time: 15.5, end_time: 16.4
Word: ściąga, start_time: 16.4, end_time: 17.0
Word: martwego, start_time: 17.0, end_time: 17.5
Word: na, start_time: 17.5, end_time: 17.7
Word: ziemię, start_time: 17.7, end_time: 18.1
Word: Oliwier, start_time: 18.1, end_time: 19.3
Word: powiada, start_time: 19.3, end_time: 19.8
Word: dobra, start_time: 19.8, end_time: 21.0
Word: nasza, start_time: 21.0, end_time: 21.4
Word: bitwa, start_time: 21.4, end_time: 21.8
