Waiting for operation to complete...
Transcript: piosenka w stylu klasycznym gdy twojej miłości kwiat już z nim w kraj daleki pójdę stąd O mój aniele w rozstania smutnej chwili tej wysłuchać mojej prośby chcieli to tak niewiele sentymentalnych zaklętych słów nie lękaj się usłyszeć znów ani rozpaczy nie będę budził dawnych Marczak musiał prysnąć szczęścia czar tak lub inaczej na wieki pomnieć będę ten o twej miłości cudny sen upojeni tyle lecz nim me serce stron ciszy w grupach pozwól zostać u twych stóp jeszcze choć chwilę nim pójdę cicho i bez skarg scałować pozwól z twoich warg ten wdzięk dziewczęcy Niech twoich ust nie starty ślad na ustach mych wniosek świat nie Pragnę więcej w tych sukniach pozwu
Confidence: 0.8760864734649658
Word: piosenka, start_time: 0.0, end_time: 0.7000000000000001
Word: w, start_time: 0.7000000000000001, end_time: 0.7000000000000001
Word: stylu, start_time: 0.7000000000000001, end_time: 0.9
Word: klasycznym, start_time: 0.9, end_time: 1.2
Word: gdy, start_time: 1.2, end_time: 2.5
Word: twojej, start_time: 2.5, end_time: 2.7
Word: miłości, start_time: 2.7, end_time: 2.9
Word: kwiat, start_time: 2.9, end_time: 3.4
Word: już, start_time: 3.4, end_time: 3.8
Word: z, start_time: 3.8, end_time: 4.0
Word: nim, start_time: 4.0, end_time: 5.2
Word: w, start_time: 5.2, end_time: 5.3
Word: kraj, start_time: 5.3, end_time: 5.8
Word: daleki, start_time: 5.8, end_time: 6.0
Word: pójdę, start_time: 6.0, end_time: 6.8
Word: stąd, start_time: 6.8, end_time: 7.0
Word: O, start_time: 7.0, end_time: 7.5
Word: mój, start_time: 7.5, end_time: 8.1
Word: aniele, start_time: 8.1, end_time: 8.5
Word: w, start_time: 8.5, end_time: 8.9
Word: rozstania, start_time: 8.9, end_time: 9.9
Word: smutnej, start_time: 9.9, end_time: 10.5
Word: chwili, start_time: 10.5, end_time: 10.9
Word: tej, start_time: 10.9, end_time: 11.1
Word: wysłuchać, start_time: 11.1, end_time: 12.1
Word: mojej, start_time: 12.1, end_time: 12.5
Word: prośby, start_time: 12.5, end_time: 13.0
Word: chcieli, start_time: 13.0, end_time: 13.5
Word: to, start_time: 13.5, end_time: 13.9
Word: tak, start_time: 13.9, end_time: 14.2
