Waiting for operation to complete...
Transcript: Juliusz Słowacki Hymn o zachodzie słońca na morzu Smutno mi Boże dla mnie na zachodzie rozlałeś tęczę blasków promienistą przede mną grać w Lazurowej wodzie gwiazda ognistą chodź mi tak nie bo ty złociszy małża Smutno mi Boże jak puste kłosy z podniesioną głową z tej rozkoszy próżni dose to dla obcych ludzi mają twarz jednakową cisza błękitu ale przed tobą głąb serca otworzę Smutno mi Boże jak ona matki odejście się żali małe dzieci na takie Ja płaczę bliski patrząc na słońce co mi rzucać fali ostatnio były ski choć wiem że jutro byś nie nowe Zorza Smutno mi Boże dzisiaj na wielkie morze obłąkana 100 mil od brzegu i Stomil przed brzegiem widziałem lotne w powietrzu bociany długim szeregiem że mi
Confidence: 0.8534809947013855
Word: Juliusz, start_time: 0.0, end_time: 0.9
Word: Słowacki, start_time: 0.9, end_time: 1.0
Word: Hymn, start_time: 1.0, end_time: 1.7000000000000002
Word: o, start_time: 1.7000000000000002, end_time: 2.8
Word: zachodzie, start_time: 2.8, end_time: 2.9
Word: słońca, start_time: 2.9, end_time: 3.3
Word: na, start_time: 3.3, end_time: 3.9
Word: morzu, start_time: 3.9, end_time: 4.0
Word: Smutno, start_time: 4.0, end_time: 7.1
Word: mi, start_time: 7.1, end_time: 7.2
Word: Boże, start_time: 7.2, end_time: 7.5
Word: dla, start_time: 7.5, end_time: 9.4
Word: mnie, start_time: 9.4, end_time: 9.5
Word: na, start_time: 9.5, end_time: 9.7
Word: zachodzie, start_time: 9.7, end_time: 9.7
Word: rozlałeś, start_time: 9.7, end_time: 10.3
Word: tęczę, start_time: 10.3, end_time: 10.6
Word: blasków, start_time: 10.6, end_time: 11.0
Word: promienistą, start_time: 11.0, end_time: 11.5
Word: przede, start_time: 11.5, end_time: 13.6
Word: mną, start_time: 13.6, end_time: 13.8
Word: grać, start_time: 13.8, end_time: 14.0
Word: w, start_time: 14.0, end_time: 14.1
Word: Lazurowej, start_time: 14.1, end_time: 14.7
Word: wodzie, start_time: 14.7, end_time: 14.8
Word: gwiazda, start_time: 14.8, end_time: 15.5
Word: ognistą, start_time: 15.5, end_time: 16.1
Word: chodź, start_time: 16.1, end_time: 17.3
Word: mi, start_time: 17.3, end_time: 17.4
Word: tak, start_time: 17.4, end_time: 17.6
Word: nie, start_time: 17.6, end_time: 17.7
Word: bo, start_time: 17.7, end_time: 17.9
Word: ty, start_time: 17.9, end_time: 18.0
Word: złociszy, start_time: 18.0, end_time: 18.5
Word: małża, start_time: 18.5, end_time: 19.0
Word: Smutno, start_time: 19.0, end_time: 19.8
Word: mi, start_time: 19.8, end_time: 20.0
Word: Boże, start_time: 20.0, end_time: 20.3
Word: jak, start_time: 20.3, end_time: 22.0
Word: puste, start_time: 22.0, end_time: 22.4
