Waiting for operation to complete...
Transcript: Jezus Malusieńki leży wśród stajenki płacze z zimna nie dała mu Matula sukienki płacze z zimna Matula sukienki Boga była rąbek z głowy zdjęła w których dziedzinach życia na ziemi
Confidence: 0.8836507797241211
Word: Jezus, start_time: 0.2, end_time: 13.0
Word: Malusieńki, start_time: 13.0, end_time: 14.1
Word: leży, start_time: 14.1, end_time: 16.9
Word: wśród, start_time: 16.9, end_time: 18.4
Word: stajenki, start_time: 18.4, end_time: 19.1
Word: płacze, start_time: 19.1, end_time: 22.6
Word: z, start_time: 22.6, end_time: 23.4
Word: zimna, start_time: 23.4, end_time: 23.5
Word: nie, start_time: 23.5, end_time: 25.2
Word: dała, start_time: 25.2, end_time: 25.6
Word: mu, start_time: 25.6, end_time: 27.0
Word: Matula, start_time: 27.0, end_time: 27.8
Word: sukienki, start_time: 27.8, end_time: 29.6
Word: płacze, start_time: 29.6, end_time: 33.6
Word: z, start_time: 33.6, end_time: 33.8
Word: zimna, start_time: 33.8, end_time: 33.9
Word: Matula, start_time: 33.9, end_time: 39.0
Word: sukienki, start_time: 39.0, end_time: 39.9
Word: Boga, start_time: 39.9, end_time: 45.1
Word: była, start_time: 45.1, end_time: 46.3
Word: rąbek, start_time: 46.3, end_time: 49.0
Word: z, start_time: 49.0, end_time: 49.3
Word: głowy, start_time: 49.3, end_time: 49.4
Word: zdjęła, start_time: 49.4, end_time: 51.0
Word: w, start_time: 51.0, end_time: 52.4
Word: których, start_time: 52.4, end_time: 54.2
Word: dziedzinach, start_time: 54.2, end_time: 57.6
Word: życia, start_time: 57.6, end_time: 57.7
Word: na, start_time: 57.7, end_time: 59.0
Word: ziemi, start_time: 59.0, end_time: 59.1
Transcript: w który dzień ci minął czy się ciebie o krakowski koszyczki wielkanocne babeczki sianka Pod łóżeczkiem
Confidence: 0.7911241054534912
Word: w, start_time: 60.1, end_time: 60.2
Word: który, start_time: 60.2, end_time: 64.2
Word: dzień, start_time: 64.2, end_time: 64.5
Word: ci, start_time: 64.5, end_time: 65.5
Word: minął, start_time: 65.5, end_time: 67.1
Word: czy, start_time: 67.1, end_time: 68.1
Word: się, start_time: 68.1, end_time: 68.9
Word: ciebie, start_time: 68.9, end_time: 69.5
Word: o, start_time: 69.5, end_time: 70.5
Word: krakowski, start_time: 70.5, end_time: 77.5
Word: koszyczki, start_time: 77.5, end_time: 82.6
Word: wielkanocne, start_time: 82.6, end_time: 84.1
Word: babeczki, start_time: 84.1, end_time: 92.4
Word: sianka, start_time: 92.4, end_time: 99.9
Word: Pod, start_time: 99.9, end_time: 101.0
Word: łóżeczkiem, start_time: 101.0, end_time: 102.9
Transcript: dzieci nasze chwili matricaria wnuczki zimowek twardy stajenka z włóczki zimowe czarny stanik roz Natusia truchleje serdeczne łzy leje o mój synu Wola
Confidence: 0.7760859131813049
Word: dzieci, start_time: 120.1, end_time: 135.9
Word: nasze, start_time: 135.9, end_time: 137.1
Word: chwili, start_time: 137.1, end_time: 138.7
Word: matricaria, start_time: 138.7, end_time: 142.9
Word: wnuczki, start_time: 142.9, end_time: 145.8
Word: zimowek, start_time: 145.8, end_time: 148.5
Word: twardy, start_time: 148.5, end_time: 149.6
Word: stajenka, start_time: 149.6, end_time: 151.3
Word: z, start_time: 151.3, end_time: 152.1
Word: włóczki, start_time: 152.1, end_time: 156.2
Word: zimowe, start_time: 156.2, end_time: 158.7
Word: czarny, start_time: 158.7, end_time: 159.9
Word: stanik, start_time: 159.9, end_time: 161.1
Word: roz, start_time: 161.1, end_time: 162.3
Word: Natusia, start_time: 162.3, end_time: 167.1
Word: truchleje, start_time: 167.1, end_time: 169.3
Word: serdeczne, start_time: 169.3, end_time: 172.0
Word: łzy, start_time: 172.0, end_time: 172.8
Word: leje, start_time: 172.8, end_time: 174.5
Word: o, start_time: 174.5, end_time: 175.3
Word: mój, start_time: 175.3, end_time: 176.7
Word: synu, start_time: 176.7, end_time: 177.9
Word: Wola, start_time: 177.9, end_time: 179.1
Transcript: moja nie moja się dzieje o mój synu wola twoja nie moja się dzieje
Confidence: 0.9224176406860352
Word: moja, start_time: 180.1, end_time: 180.4
Word: nie, start_time: 180.4, end_time: 181.3
Word: moja, start_time: 181.3, end_time: 181.6
Word: się, start_time: 181.6, end_time: 182.9
Word: dzieje, start_time: 182.9, end_time: 184.6
Word: o, start_time: 184.6, end_time: 185.5
Word: mój, start_time: 185.5, end_time: 186.7
Word: synu, start_time: 186.7, end_time: 188.2
Word: wola, start_time: 188.2, end_time: 189.4
Word: twoja, start_time: 189.4, end_time: 189.9
Word: nie, start_time: 189.9, end_time: 191.7
Word: moja, start_time: 191.7, end_time: 192.7
Word: się, start_time: 192.7, end_time: 193.6
Word: dzieje, start_time: 193.6, end_time: 196.0
