Waiting for operation to complete...
Transcript: wiersz inauguracyjny na otwarcie Piątego sezonu zielonego balonika już się piąta zima znaczy jak w tych starych murów cieniu walczymy z odwagą rozpaczy przeciw mózgów rozmiękczenie walczymy mężnie lecz bez wiary przeciw tej Krakowskiej hydrze patrząc rychło ofiary i z naszego grona wydrze przeżyliśmy to w tej sali 5 lat naszych młodych rojem tutaj życie się czerpali z tak zwanej czary upojeni weszliśmy w te ciche bramy w naszych lat młodzieńczych wiośnie niewinni jak dzieci mamy gdy piersi etui radośnie weszliśmy w sercu naszych bieli do tej komnaty zdradzieckiej czyści niby po kąpieli Szambelan dr Lubecki weszliśmy pełni zapału że zmienimy świata kolei że stworzymy Chodź pomału
Confidence: 0.8800098299980164
Word: wiersz, start_time: 0.0, end_time: 0.6000000000000001
Word: inauguracyjny, start_time: 0.6000000000000001, end_time: 2.2
Word: na, start_time: 2.2, end_time: 2.4
Word: otwarcie, start_time: 2.4, end_time: 3.0
Word: Piątego, start_time: 3.0, end_time: 3.5
Word: sezonu, start_time: 3.5, end_time: 3.8
Word: zielonego, start_time: 3.8, end_time: 5.0
Word: balonika, start_time: 5.0, end_time: 5.2
Word: już, start_time: 5.2, end_time: 6.5
Word: się, start_time: 6.5, end_time: 6.7
Word: piąta, start_time: 6.7, end_time: 7.2
Word: zima, start_time: 7.2, end_time: 7.6
Word: znaczy, start_time: 7.6, end_time: 8.1
Word: jak, start_time: 8.1, end_time: 8.8
Word: w, start_time: 8.8, end_time: 8.9
Word: tych, start_time: 8.9, end_time: 9.1
Word: starych, start_time: 9.1, end_time: 9.4
Word: murów, start_time: 9.4, end_time: 9.9
Word: cieniu, start_time: 9.9, end_time: 10.4
Word: walczymy, start_time: 10.4, end_time: 11.4
Word: z, start_time: 11.4, end_time: 11.5
Word: odwagą, start_time: 11.5, end_time: 12.3
Word: rozpaczy, start_time: 12.3, end_time: 12.9
Word: przeciw, start_time: 12.9, end_time: 13.7
Word: mózgów, start_time: 13.7, end_time: 14.5
