Waiting for operation to complete...
Transcript: kuplet posła Bad Ugly szopki zielonego balonika na rok 1970 A nie masz nad żołnierza szczęśliwego człowieka nie masz nad battaglia szczęśliwego człowieka w przyszłym gabinecie nie minie goteka za Pracował na nią to rzecz oczywista ochrypły od gadania teraz ino śwista żadnych politycznych nie zna On przesądów każda partia Dobra byle dojść do rządów z jednym i tak ludzie od drugich skorzysta dalej maszeruje ino sobie śwista na każdego sposób jest u tego ćwika na proboszcza Miodek szampan na Stańczyka a dla wszechpolaków Baczewskiego czyta Tak on agituje ino sobie śwista pachnie w parlamencie 3 interpelacje potem w Moulin Rouge smacznie
Confidence: 0.8708762526512146
Word: kuplet, start_time: 0.0, end_time: 0.8
Word: posła, start_time: 0.8, end_time: 1.3
Word: Bad, start_time: 1.3, end_time: 1.6
Word: Ugly, start_time: 1.6, end_time: 1.9
Word: szopki, start_time: 1.9, end_time: 3.3
Word: zielonego, start_time: 3.3, end_time: 3.8
Word: balonika, start_time: 3.8, end_time: 4.0
Word: na, start_time: 4.0, end_time: 4.5
Word: rok, start_time: 4.5, end_time: 5.0
Word: 1970, start_time: 5.0, end_time: 8.0
Word: A, start_time: 8.0, end_time: 8.1
Word: nie, start_time: 8.1, end_time: 8.8
Word: masz, start_time: 8.8, end_time: 8.9
Word: nad, start_time: 8.9, end_time: 9.2
Word: żołnierza, start_time: 9.2, end_time: 9.3
Word: szczęśliwego, start_time: 9.3, end_time: 11.0
Word: człowieka, start_time: 11.0, end_time: 11.1
Word: nie, start_time: 11.1, end_time: 12.6
Word: masz, start_time: 12.6, end_time: 12.8
Word: nad, start_time: 12.8, end_time: 13.1
Word: battaglia, start_time: 13.1, end_time: 13.9
Word: szczęśliwego, start_time: 13.9, end_time: 14.8
Word: człowieka, start_time: 14.8, end_time: 15.0
Word: w, start_time: 15.0, end_time: 15.5
Word: przyszłym, start_time: 15.5, end_time: 16.4
Word: gabinecie, start_time: 16.4, end_time: 17.0
Word: nie, start_time: 17.0, end_time: 17.2
Word: minie, start_time: 17.2, end_time: 17.9
Word: goteka, start_time: 17.9, end_time: 18.5
Word: za, start_time: 18.5, end_time: 19.2
Word: Pracował, start_time: 19.2, end_time: 19.7
